row_label_raw,row_label_full,Đối tượng cho vay,Mục đích vay,Kỳ hạn và hình thứcbảo đảm,31/12/2020,01/01/2020,numeric__Mục đích vay,numeric__Kỳ hạn và hình thứcbảo đảm,numeric__31/12/2020,numeric__01/01/2020
,,,,,VND,VND,,,,
Công ty Cổ phần Đầu tư và Phát triển Bất động sản Thế kỳ,Công ty Cổ phần Đầu tư và Phát triển Bất động sản Thế kỳ,Công ty Cổ phần Đầu tư và Phát triển Bất động sản Thế kỳ,Vay vốn hoạt động kinh doanh,"Tín chấp - kỳ hạn 6 tháng, lãi suất 9,5%/năm",1.196.285.782,30.000.000.000,,,1196285782.0,30000000000.0
Công ty Cổ phần Bất động sản Cen Sài Gòn,Công ty Cổ phần Bất động sản Cen Sài Gòn,Công ty Cổ phần Bất động sản Cen Sài Gòn,Vay vốn kinh doanh,"Tín chấp - kỳ hạn từ 6 đến 12 tháng, lãi suất 9,5%/năm",53.000.000.000,10.000.000.000,,,53000000000.0,10000000000.0
Công ty Cổ Phần VMF,Công ty Cổ Phần VMF,Công ty Cổ Phần VMF,Vay vốn đầu tư dự án,"Tín chấp - kỳ hạn 3 tháng đến 6 tháng, lãi suất 9,5%/năm",-,113.000.000.000,,,,113000000000.0
Công ty Cổ phần Tư vấn Thiết kế và Đầu tư Xây dựng Đại Nam Sơn,Công ty Cổ phần Tư vấn Thiết kế và Đầu tư Xây dựng Đại Nam Sơn,Công ty Cổ phần Tư vấn Thiết kế và Đầu tư Xây dựng Đại Nam Sơn,"Thanh toán các chi phí đầu tư của dự án ""Xây dựng khu nhà ở thương mại An Bình Cần Thơ""",Tín chấp - kỳ hạn 20 ngày lãi suất 20%/năm,3.760.700.000,11.500.000.000,,,3760700000.0,11500000000.0
