row_label_raw,row_label_full,col_0,Năm này,Năm trước (Trình bày lại),Năm trước (Đã trình bày),numeric__Năm này,numeric__Năm trước (Trình bày lại),numeric__Năm trước (Đã trình bày)
,,,VND,VND,VND,,,
Lãi cơ bản trên cổ phiếu,Lãi cơ bản trên cổ phiếu,Lãi cơ bản trên cổ phiếu,610,1.663,1.786,610.0,1663.0,1786.0
