row_label_raw,row_label_full,STT,CHỈ TIÊU,Thuyết minh,Số cuối năm,Số đầu năm,numeric__CHỈ TIÊU,numeric__Thuyết minh,numeric__Số cuối năm,numeric__Số đầu năm
B.,B.,B.,NỘ' PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮ'U,,,,,,,
I.,B. > I.,I.,Các khoản nợ NHNN,16,4.389.250,2.079.510,,16.0,4389250.0,2079510.0
1.,B. > 1.,1.,Vay NHNN,,4.389.250,2.079.510,,,4389250.0,2079510.0
II.,B. > II.,II.,Tiền gửi và vay các TCTD khác,17,40.908.083,29.670.330,,17.0,40908083.0,29670330.0
1.,B. > 1.,1.,Tiền gửi của các TCTD khác,17.1,30.835.216,22.067.863,,171.0,30835216.0,22067863.0
2.,B. > 2.,2.,Vay các TCTD khác,17.2,10.072.867,7.602.467,,172.0,10072867.0,7602467.0
III.,B. > III.,III.,Tiền gửi của khách hàng,18,177.303.877,167.447.644,,18.0,177303877.0,167447644.0
IV.,B. > IV.,IV.,Phát hành giấy tờ có giá,20,20.067.657,10.864.503,,20.0,20067657.0,10864503.0
V.,B. > V.,V.,Các khoản nợ khác,,4.595.197,4.606.601,,,4595197.0,4606601.0
1.,B. > 1.,1.,"Các khoản lãi, phí phải trả",,2.943.938,2.119.353,,,2943938.0,2119353.0
2.,B. > 2.,2.,Các khoản phải trả và công nợ khác,21,1.651.259,2.487.248,,21.0,1651259.0,2487248.0
,,,TỔNG NỘ' PHẢI TRẢ,,247.264.064,214.668.588,,,247264064.0,214668588.0
VI.,B. > VI.,VI.,Vốn và các quỹ,23,26.006.343,25.099.406,,23.0,26006343.0,25099406.0
1.,B. > 1.,1.,Vốn của TCTD,,18.781.551,18.781.551,,,18781551.0,18781551.0
a.,B. > a.,a.,Vốn điều lệ,,18.688.106,18.688.106,,,18688106.0,18688106.0
b.,B. > b.,b.,Vốn đầu tư xây dựng cơ bản,,15.396,15.396,,,15396.0,15396.0
c.,B. > c.,c.,Thặng dư vốn cổ phần,,156.322,156.322,,,156322.0,156322.0
d.,B. > d.,d.,Cổ phiếu quỹ,,(78.273),(78.273),,,-78273.0,-78273.0
2.,B. > 2.,2.,Quỹ của TCTD,,3.789.921,3.562.209,,,3789921.0,3562209.0
3.,B. > 3.,3.,Lợi nhuận chu'α phân phối,,3.434.871,2.755.646,,,3434871.0,2755646.0
,,,TỔNG NỘ' PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮ'U,,273.270.407,239.767.994,,,273270407.0,239767994.0
