row_label_raw,row_label_full,col_0,Năm nay,Năm trước(Trình bày lại),Năm trước(Đã trình bày),numeric__Năm nay,numeric__Năm trước(Trình bày lại),numeric__Năm trước(Đã trình bày)
,,,Triệu VND,Triệu VND,Triệu VND,,,
Lợi nhuận sau thuế,Lợi nhuận sau thuế,Lợi nhuận sau thuế,1.136.939,3.326.804,3.326.804,1136939.0,3326804.0,3326804.0
"Trích quỹ khen thưởng, phúc lợi (*)","Trích quỹ khen thưởng, phúc lợi (*)","Trích quỹ khen thưởng, phúc lợi (*)",-,(230.000),-,,-230000.0,
Lợi nhuận phân bổ cho cổ đôngsở hữu cổ phiếu phổ thông,Lợi nhuận phân bổ cho cổ đôngsở hữu cổ phiếu phổ thông,Lợi nhuận phân bổ cho cổ đôngsở hữu cổ phiếu phổ thông,1.136.939,3.096.804,3.326.804,1136939.0,3096804.0,3326804.0
