row_label_raw,row_label_full,col_0,Chứng khoán đầu tư'sản sàng để bán,Chứng khoán đầu tư'sản sàng để bán_1,Chứng khoán đầu tư'sản sàng để bán_2,Chứng khoán đầu tưgiữ đến ngày đáo hạn,Chứng khoán đầu tưgiữ đến ngày đáo hạn_1,Tổng cộng,numeric__Chứng khoán đầu tư'sản sàng để bán,numeric__Chứng khoán đầu tư'sản sàng để bán_1,numeric__Chứng khoán đầu tư'sản sàng để bán_2,numeric__Chứng khoán đầu tưgiữ đến ngày đáo hạn,numeric__Chứng khoán đầu tưgiữ đến ngày đáo hạn_1,numeric__Tổng cộng
,,,Dự phòngchung,Dự phòngcụ thể,Dự phònggiám giá,Dự phòngchung,Dự phòngcụ thể,Tổng cộng,,,,,,
,,,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,,,,,,
Số dư đầu năm,Số dư đầu năm,Số dư đầu năm,16.501,-,145.679,-,75.000,237.180,16501.0,,145679.0,,75000.0,237180.0
Dự phòng (hoànnhập)/trích lậptrong năm,Dự phòng (hoànnhập)/trích lậptrong năm,Dự phòng (hoànnhập)/trích lậptrong năm,(7.211),-,16.442,-,-,9.231,-7211.0,,16442.0,,,9231.0
Sử dụng dự phòngtrong năm,Sử dụng dự phòngtrong năm,Sử dụng dự phòngtrong năm,-,-,-,-,(75.000),(75.000),,,,,-75000.0,-75000.0
Số dư cuối năm,Số dư cuối năm,Số dư cuối năm,9.290,-,162.121,-,-,171.411,9290.0,,162121.0,,,171411.0
