row_label_raw,row_label_full,STT,CHỈ TIÊU,Miền Bắc > Triệu VND,Miền Trung > Triệu VND,Miền Nam (*) > Triệu VND,Điều chỉnh > Triệu VND,Tổng cộng > Triệu VND,numeric__CHỈ TIÊU,numeric__Miền Bắc > Triệu VND,numeric__Miền Trung > Triệu VND,numeric__Miền Nam (*) > Triệu VND,numeric__Điều chỉnh > Triệu VND,numeric__Tổng cộng > Triệu VND
I.,I.,I.,Kết quả kinh doanh bộ phận trước thuế,634.740,225.960,651.092,-,1.511.792,,634740.0,225960.0,651092.0,,1511792.0
I.,I.,I.,Chi phí thuế TNDN,-,-,(374.853),-,(374.853),,,,-374853.0,,-374853.0
II.,II.,II.,Kết quả kinh doanh bộ phận sau thuế,634.740,225.960,276.239,-,1.136.939,,634740.0,225960.0,276239.0,,1136939.0
III.,III.,III.,Tài sản bộ phận,58.180.830,16.444.734,224.283.422,(25.638.579),273.270.407,,58180830.0,16444734.0,224283422.0,-25638579.0,273270407.0
IV.,IV.,IV.,Ng phải trả bộ phận,57.546.090,16.218.774,199.137.779,(25.638.579),247.264.064,,57546090.0,16218774.0,199137779.0,-25638579.0,247264064.0
