row_label_raw,row_label_full,STT,CHỈ TIỀU,Dịch vụ tài chính ngân hàng,Dịch vụ tài chính phi ngân hàng,Điều chỉnh,Tổng cộng,numeric__CHỈ TIỀU,numeric__Dịch vụ tài chính ngân hàng,numeric__Dịch vụ tài chính phi ngân hàng,numeric__Điều chỉnh,numeric__Tổng cộng
STT,STT,STT,CHỈ TIỀU,Triệu VND,Triệu VND,Triệu VND,Triệu VND,,,,,
I.,STT > I.,I.,Doanh thu,25.799.543,63.852,(116.260),25.747.135,,25799543.0,63852.0,-116260.0,25747135.0
1.,STT > 1.,1.,Doanh thu lãi,15.521.993,14.479,(14.479),15.521.993,,15521993.0,14479.0,-14479.0,15521993.0
2.,STT > 2.,2.,Doanh thu từ hoạt động dịch vụ,1.794.464,49.302,(40.159),1.803.607,,1794464.0,49302.0,-40159.0,1803607.0
3.,STT > 3.,3.,Doanh thu từ hoạt động kinh doanh khác,8.483.086,71,(61.622),8.421.535,,8483086.0,71.0,-61622.0,8421535.0
II.,STT > II.,II.,Chi phí,(22.714.284),(49.362),54.705,(22.708.941),,-22714284.0,-49362.0,54705.0,-22708941.0
1.,STT > 1.,1.,Chi phí lãi,(9.556.787),-,14.479,(9.542.308),,-9556787.0,,14479.0,-9542308.0
2.,STT > 2.,2.,Chi phí khấu hao tài sản cố định,(287.404),(207),-,(287.611),,-287404.0,-207.0,,-287611.0
3.,STT > 3.,3.,Chi phí liên quan trực tiếp đến hoạt động kinh doanh,(12.870.093),(49.155),40.226,(12.879.022),,-12870093.0,-49155.0,40226.0,-12879022.0
,,,Kết quả kinh doanh trước chi phí dự phòng rủi ro,3.085.259,14.490,(61.555),3.038.194,,3085259.0,14490.0,-61555.0,3038194.0
,,,Chi phí dự phòng rủi ro,(1.526.402),-,-,(1.526.402),,-1526402.0,,,-1526402.0
,,,Kết quả kinh doanh bộ phận trước thuế,1.558.857,14.490,(61.555),1.511.792,,1558857.0,14490.0,-61555.0,1511792.0
,,,Chi phí thuế TNDN,(371.856),(2.997),-,(374.853),,-371856.0,-2997.0,,-374853.0
,,,Kết quả kinh doanh bộ phận sau thuế,1.187.001,11.493,(61.555),1.136.939,,1187001.0,11493.0,-61555.0,1136939.0
III.,STT > III.,III.,Tài sản,273.523.841,363.989,(617.423),273.270.407,,273523841.0,363989.0,-617423.0,273270407.0
1.,STT > 1.,1.,"Tiền mặt, vàng",2.135.895,-,-,2.135.895,,2135895.0,,,2135895.0
2.,STT > 2.,2.,Tài sản cố định,3.827.720,24.446,-,3.852.166,,3827720.0,24446.0,,3852166.0
3.,STT > 3.,3.,Tài sản khác,267.560.226,339.543,(617.423),267.282.346,,267560226.0,339543.0,-617423.0,267282346.0
IV.,STT > IV.,IV.,Nợ phải trả,247.553.711,27.776,(317.423),247.264.064,,247553711.0,27776.0,-317423.0,247264064.0
1.,STT > 1.,1.,Nợ phải trả bên ngoài,247.147.576,24.092,(317.423),246.854.245,,247147576.0,24092.0,-317423.0,246854245.0
2.,STT > 2.,2.,Nợ phải trả nội bộ,406.135,3.684,-,409.819,,406135.0,3684.0,,409819.0
