row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúc","Máy móc,thiết bị",Phươngtiện vận tải và thiết bịtruyền dẫn,Thiết bị dụng cụquản lý vàTSCĐ hữuhình khác,Tổng cộng,"numeric__Nhà cửa,vật kiến trúc","numeric__Máy móc,thiết bị",numeric__Phươngtiện vận tải và thiết bịtruyền dẫn,numeric__Thiết bị dụng cụquản lý vàTSCĐ hữuhình khác,numeric__Tổng cộng
,,,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,,,,,
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,457.620,1.089.198,422.066,604.124,2.573.008,457620.0,1089198.0,422066.0,604124.0,2573008.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,15.887,99.385,36.600,130.471,282.343,15887.0,99385.0,36600.0,130471.0,282343.0
"Thanh lý, nhượng bán","Nguyên giá > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,(2.546),(118.068),(18.833),(139.447),,-2546.0,-118068.0,-18833.0,-139447.0
Phân loại lại,Nguyên giá > Phân loại lại,Phân loại lại,839,(12.534),(2.118),13.813,-,839.0,-12534.0,-2118.0,13813.0,
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,474.346,1.173.503,338.480,729.575,2.715.904,474346.0,1173503.0,338480.0,729575.0,2715904.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,115.397,767.649,207.332,373.476,1.463.854,115397.0,767649.0,207332.0,373476.0,1463854.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,12.098,77.330,49.327,80.661,219.416,12098.0,77330.0,49327.0,80661.0,219416.0
"Thanh lý, nhượng bán","Giá trị hao mòn lũy kế > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,(2.546),(83.915),(17.387),(103.848),,-2546.0,-83915.0,-17387.0,-103848.0
Phân loại lại,Giá trị hao mòn lũy kế > Phân loại lại,Phân loại lại,865,(12.460),(2.118),13.713,-,865.0,-12460.0,-2118.0,13713.0,
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,128.360,829.973,170.626,450.463,1.579.422,128360.0,829973.0,170626.0,450463.0,1579422.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,342.223,321.549,214.734,230.648,1.109.154,342223.0,321549.0,214734.0,230648.0,1109154.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,345.986,343.530,167.854,279.112,1.136.482,345986.0,343530.0,167854.0,279112.0,1136482.0
