row_label_raw,row_label_full,STT,CHỈ TIÊU,Thuyết minh,Số cuối năm,Số đầu năm,numeric__CHỈ TIÊU,numeric__Thuyết minh,numeric__Số cuối năm,numeric__Số đầu năm
A.,A.,A.,TÀI SẢN,,,,,,,
I.,A. > I.,I.,"Tiền mặt, vàng",5,2.135.895,2.095.973,,5.0,2135895.0,2095973.0
II.,A. > II.,II.,"Tiền gửi tại Ngân hàng Nhà nước (""NHNN"")",6,6.358.545,4.335.534,,6.0,6358545.0,4335534.0
III.,A. > III.,III.,Tiền gửi tại các TCTD khác,7,42.348.308,29.829.638,,7.0,42348308.0,29829638.0
1.,A. > 1.,1.,Tiền gửi tại các TCTD khác,,42.348.308,29.829.638,,,42348308.0,29829638.0
IV.,A. > IV.,IV.,Chứng khoán kinh doanh,8,-,3.031.363,,8.0,,3031363.0
1.,A. > 1.,1.,Chứng khoán kinh doanh,,-,3.031.363,,,,3031363.0
V.,A. > V.,V.,Các công cụ tài chính phải sinh và các tài sản tài chính khác,19,129.928,291.886,,19.0,129928.0,291886.0
VI.,A. > VI.,VI.,Cho vay khách hàng,,181.901.791,163.385.744,,,181901791.0,163385744.0
1.,A. > 1.,1.,Cho vay khách hàng,9,184.215.863,165.154.897,,9.0,184215863.0,165154897.0
2.,A. > 2.,2.,Dự phòng rủi ro cho vay khách hàng,10,(2.314.072),(1.769.153),,10.0,-2314072.0,-1769153.0
VII.,A. > VII.,VII.,Hoạt động mua nợ,11,10.543.699,794.000,,11.0,10543699.0,794000.0
1.,A. > 1.,1.,Mua nợ,,10.623.374,800.000,,,10623374.0,800000.0
2.,A. > 2.,2.,Dự phòng rủi ro hoạt động mua nợ,,(79.675),(6.000),,,-79675.0,-6000.0
VIII.,A. > VIII.,VIII.,Chứng khoán đầu tư,12,22.782.269,29.119.180,,12.0,22782269.0,29119180.0
1.,A. > 1.,1.,Chứng khoán đầu tư sẵn sàng để bán,12.1,6.854.657,13.506.598,,121.0,6854657.0,13506598.0
2.,A. > 2.,2.,Chứng khoán đầu tư giữ đến ngày đáo hạn,12.2,16.099.023,15.849.762,,122.0,16099023.0,15849762.0
3.,A. > 3.,3.,Dự phòng rủi ro chứng khoán đầu tư,12.5,(171.411),(237.180),,125.0,-171411.0,-237180.0
IX.,A. > IX.,IX.,Tài sản cố định,,3.852.166,3.775.847,,,3852166.0,3775847.0
1.,A. > 1.,1.,Tài sản cố định hữu hình,13,1.136.482,1.109.154,,13.0,1136482.0,1109154.0
a.,A. > a.,a.,Nguyên giá TSCĐ,,2.715.904,2.573.008,,,2715904.0,2573008.0
b.,A. > b.,b.,Hao mòn TSCĐ,,(1.579.422),(1.463.854),,,-1579422.0,-1463854.0
2.,A. > 2.,2.,Tài sản cố định vô hình,14,2.715.684,2.666.693,,14.0,2715684.0,2666693.0
a.,A. > a.,a.,Nguyên giá TSCĐ,,3.187.084,3.069.898,,,3187084.0,3069898.0
b.,A. > b.,b.,Hao mòn TSCĐ,,(471.400),(403.205),,,-471400.0,-403205.0
X.,A. > X.,X.,Tài sản Có khác,15,3.217.806,3.108.829,,15.0,3217806.0,3108829.0
1.,A. > 1.,1.,Các khoản phải thu,15.1,1.308.543,1.364.559,,151.0,1308543.0,1364559.0
2.,A. > 2.,2.,"Các khoản lãi, phí phải thu",,1.593.454,1.540.576,,,1593454.0,1540576.0
3,A. > 3,3,Tài sản thuế TNDN hoãn lại,,20.726,20.727,,,20726.0,20727.0
4.,A. > 4.,4.,Tài sản Có khác,15.2,761.096,648.947,,152.0,761096.0,648947.0
5.,A. > 5.,5.,Dự phòng rủi ro cho các tài sản Có nội bằng khác,15.3,(466.013),(465.980),,153.0,-466013.0,-465980.0
,,,TỔNG TÀI SẢN CÓ,,273.270.407,239.767.994,,,273270407.0,239767994.0
