row_label_raw,row_label_full,col_0,Vốn góp của chủ sở hữu,Thặng dư vốn cổ phần,Lợi nhuận chưa phân phối,Nguồn vốn đầu tư XDCB,Cộng,numeric__Vốn góp của chủ sở hữu,numeric__Thặng dư vốn cổ phần,numeric__Lợi nhuận chưa phân phối,numeric__Nguồn vốn đầu tư XDCB,numeric__Cộng
,,,VND,VND,VND,VND,VND,,,,,
Số dư đầu năm trước,Số dư đầu năm trước,Số dư đầu năm trước,2.645.000.000.000,18.687.162,-,-,2.645.018.687.162,2645000000000.0,18687162.0,,,2645018687162.0
Lãi trong năm trước,Lãi trong năm trước,Lãi trong năm trước,-,-,156.841.691.135,-,156.841.691.135,,,156841691135.0,,156841691135.0
Phân chia kết quả cho đối tác theo hợp đồng hợp tác kinh doanh,Phân chia kết quả cho đối tác theo hợp đồng hợp tác kinh doanh,Phân chia kết quả cho đối tác theo hợp đồng hợp tác kinh doanh,-,-,794.690.494,-,794.690.494,,,794690494.0,,794690494.0
Số dư cuối năm trước,Số dư cuối năm trước,Số dư cuối năm trước,2.645.000.000.000,18.687.162,157.636.381.629,-,2.802.655.068.791,2645000000000.0,18687162.0,157636381629.0,,2802655068791.0
Lãi trong năm nay,Lãi trong năm nay,Lãi trong năm nay,-,-,180.892.282.220,-,180.892.282.220,,,180892282220.0,,180892282220.0
Trả cổ tức bằng tiền,Trả cổ tức bằng tiền,Trả cổ tức bằng tiền,-,-,(66.125.000.000),-,(66.125.000.000),,,-66125000000.0,,-66125000000.0
Trích lập quỹ khen thưởng phúc lợi,Trích lập quỹ khen thưởng phúc lợi,Trích lập quỹ khen thưởng phúc lợi,-,-,(2.000.000.000),-,(2.000.000.000),,,-2000000000.0,,-2000000000.0
Tăng khác,Tăng khác,Tăng khác,-,-,343.640.806,67.000.000.000,67.343.640.806,,,343640806.0,67000000000.0,67343640806.0
Phân chia kết quả cho đối tác theo hợp đồng hợp tác kinh doanh,Phân chia kết quả cho đối tác theo hợp đồng hợp tác kinh doanh,Phân chia kết quả cho đối tác theo hợp đồng hợp tác kinh doanh,,,(592.186.062),-,(592.186.062),,,-592186062.0,,-592186062.0
Số dư cuối năm nay,Số dư cuối năm nay,Số dư cuối năm nay,2.645.000.000.000,18.687.162,270.155.118.593,67.000.000.000,2.982.173.805.755,2645000000000.0,18687162.0,270155118593.0,67000000000.0,2982173805755.0
