row_label_raw,row_label_full,col_0,Từ 1 năm trở xuống,Trên 1 năm,Cộng,numeric__Từ 1 năm trở xuống,numeric__Trên 1 năm,numeric__Cộng
,,,VND,VND,VND,,,
Tại ngày 31/12/2015,Tại ngày 31/12/2015,Tại ngày 31/12/2015,Tại ngày 31/12/2015,Tại ngày 31/12/2015,Tại ngày 31/12/2015,,,
Vay và nợ,Tại ngày 31/12/2015 > Vay và nợ,Vay và nợ,631.258.886.356,317.679.344.357,948.938.230.713,631258886356.0,317679344357.0,948938230713.0
"Phải trả người bán, phải trả khác","Tại ngày 31/12/2015 > Phải trả người bán, phải trả khác","Phải trả người bán, phải trả khác",815.319.959.525,16.520.188.209,831.840.147.734,815319959525.0,16520188209.0,831840147734.0
Chi phí phải trả,Tại ngày 31/12/2015 > Chi phí phải trả,Chi phí phải trả,496.903.859.713,-,496.903.859.713,496903859713.0,,496903859713.0
Cộng,Tại ngày 31/12/2015 > Cộng,Cộng,1.943.482.705.594,334.199.532.566,2.277.682.238.160,1943482705594.0,334199532566.0,2277682238160.0
Tại ngày 01/01/2015,Tại ngày 01/01/2015,Tại ngày 01/01/2015,Tại ngày 01/01/2015,Tại ngày 01/01/2015,Tại ngày 01/01/2015,,,
Vay và nợ,Tại ngày 01/01/2015 > Vay và nợ,Vay và nợ,667.616.841.900,650.495.049.611,1.318.111.891.511,667616841900.0,650495049611.0,1318111891511.0
"Phải trả người bán, phải trả khác","Tại ngày 01/01/2015 > Phải trả người bán, phải trả khác","Phải trả người bán, phải trả khác",1.047.947.333.318,9.605.529.005,1.057.552.862.323,1047947333318.0,9605529005.0,1057552862323.0
Chi phí phải trả,Tại ngày 01/01/2015 > Chi phí phải trả,Chi phí phải trả,1.046.643.211.772,-,1.046.643.211.772,1046643211772.0,,1046643211772.0
Cộng,Tại ngày 01/01/2015 > Cộng,Cộng,2.762.207.386.990,660.100.578.616,3.422.307.965.606,2762207386990.0,660100578616.0,3422307965606.0
