row_label_raw,row_label_full,col_0,BẢNG CÂN ĐỐI KẾ TOÁN,Sau điều chỉnh,Trước điều chỉnh,Chênh lệch,numeric__BẢNG CÂN ĐỐI KẾ TOÁN,numeric__Sau điều chỉnh,numeric__Trước điều chỉnh,numeric__Chênh lệch
,,,BẢNG CÂN ĐỐI KẾ TOÁN,VND,VND,VND,,,,
136,136,136,Phải thu ngắn hạn khác,170.560.523.033,80.505.754.295,90.054.768.738,,170560523033.0,80505754295.0,90054768738.0
141,141,141,Hàng tồn kho,2.815.013.841.680,2.808.078.007.717,6.935.833.963,,2815013841680.0,2808078007717.0,6935833963.0
319,319,319,Phải trả ngắn hạn khác,310.085.158.644,314.118.827.411,(4.033.668.767),,310085158644.0,314118827411.0,-4033668767.0
321,321,321,Dự phòng phải trả ngắn hạn,150.211.722.172,56.123.284.667,94.088.437.505,,150211722172.0,56123284667.0,94088437505.0
421,421,421,Lợi nhuận sau thuế chưa phân phối,157.636.381.629,150.700.547.666,6.935.833.963,,157636381629.0,150700547666.0,6935833963.0
,,,BẢO CÁO KẾT QUẢ HOẠT ĐỘNG KINH DOANH,BẢO CÁO KẾT QUẢ HOẠT ĐỘNG KINH DOANH,BẢO CÁO KẾT QUẢ HOẠT ĐỘNG KINH DOANH,BẢO CÁO KẾT QUẢ HOẠT ĐỘNG KINH DOANH,,,,
11,11,11,Giá vốn hàng bán,1.592.986.266.356,1.599.922.100.319,(6.935.833.963),,1592986266356.0,1599922100319.0,-6935833963.0
