row_label_raw,row_label_full,col_0,Năm 2015,Từ 22/07/2014đến 31/12/2014,numeric__Năm 2015,numeric__Từ 22/07/2014đến 31/12/2014
,,,VND,VND,,
Giá trị còn lại của Tài sản cố định thanh lý,Giá trị còn lại của Tài sản cố định thanh lý,Giá trị còn lại của Tài sản cố định thanh lý,-,5.982.565.122,,5982565122.0
"Chi phí bán phế phẩm, thanh lý vật tư","Chi phí bán phế phẩm, thanh lý vật tư","Chi phí bán phế phẩm, thanh lý vật tư",2.239.284.539,-,2239284539.0,
Giá vốn của vật tư,Giá vốn của vật tư,Giá vốn của vật tư,2.471.639.838,9.631.564.706,2471639838.0,9631564706.0
"Phạt hợp đồng, phạt hành chính","Phạt hợp đồng, phạt hành chính","Phạt hợp đồng, phạt hành chính",38.074.823,865.550.548,38074823.0,865550548.0
Thuế truy thu và các khoản phải nộp ngân sách khác,Thuế truy thu và các khoản phải nộp ngân sách khác,Thuế truy thu và các khoản phải nộp ngân sách khác,13.405.284.795,17.756.755,13405284795.0,17756755.0
Trích dự phòng phải nộp Ngân sách Nhà nước,Trích dự phòng phải nộp Ngân sách Nhà nước,Trích dự phòng phải nộp Ngân sách Nhà nước,59.095.577.685,-,59095577685.0,
"Chi phí các dịch vụ điện, nước khác","Chi phí các dịch vụ điện, nước khác","Chi phí các dịch vụ điện, nước khác",14.937.346.721,5.151.755.023,14937346721.0,5151755023.0
Chi phí khác,Chi phí khác,Chi phí khác,920.593.050,179.585.969,920593050.0,179585969.0
,,,93.107.801.451,21.828.778.123,93107801451.0,21828778123.0
