row_label_raw,row_label_full,Mã số,CHỈ TIÊU,Thuyết minh,Năm 2015 > VND,Từ 22/07/2014đến 31/12/2014 > VND,numeric__CHỈ TIÊU,numeric__Thuyết minh,numeric__Năm 2015 > VND,numeric__Từ 22/07/2014đến 31/12/2014 > VND
III. LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH,III. LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH,III. LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH,III. LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH,III. LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH,III. LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH,III. LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH,,,,
33,III. LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH > 33,33,1. Tiền thu từ đi vay,,784.026.472.059,406.440.035.610,,,784026472059.0,406440035610.0
34,III. LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH > 34,34,2. Tiền trả nợ gốc vay,,(1.132.736.090.642),(462.193.405.237),,,-1132736090642.0,-462193405237.0
35,III. LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH > 35,35,3. Tiền trả nợ gốc thuê tài chính,,(1.349.248.473),(890.091.207),,,-1349248473.0,-890091207.0
36,III. LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH > 36,36,"4. Cổ tức, lợi nhuận đã trả cho chủ sở hữu",,(62.054.015.402),-,,,-62054015402.0,
40,III. LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH > 40,40,Lưu chuyển tiền thuần từ hoạt động tài chính,,(412.112.882.458),(56.643.460.834),,,-412112882458.0,-56643460834.0
50,III. LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH > 50,50,Lưu chuyển tiền thuần trong năm,,(227.085.595.602),47.694.678.410,,,-227085595602.0,47694678410.0
60,III. LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH > 60,60,Tiền và tương đương tiền đầu năm,,753.829.010.563,705.800.450.427,,,753829010563.0,705800450427.0
61,III. LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH > 61,61,Ảnh hưởng của thay đổi tỷ giá hối đoái quy đổi ngoại tệ,,1.862.949.564,333.881.726,,,1862949564.0,333881726.0
70,III. LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH > 70,70,Tiền và tương đương tiền cuối năm,3,528.606.364.525,753.829.010.563,,3.0,528606364525.0,753829010563.0
