row_label_raw,row_label_full,"Tên công ty liên doanh, liên kết",Nơi thành lập và hoạt động,Tỷ lệ lợi ích,Tỷ lệ biểu quyết,Hoạt động kinh doanh chính,numeric__Nơi thành lập và hoạt động,numeric__Tỷ lệ lợi ích,numeric__Tỷ lệ biểu quyết,numeric__Hoạt động kinh doanh chính
Công ty TNHH Kính nổi Việt Nam,Công ty TNHH Kính nổi Việt Nam,Công ty TNHH Kính nổi Việt Nam,Bắc Ninh,"29,28%","29,28%",Sản xuất và kinh doanh kính,,0.2928,0.2928,
Công ty CP Viglacera Từ Sơn,Công ty CP Viglacera Từ Sơn,Công ty CP Viglacera Từ Sơn,Bắc Ninh,"24,93%","24,93%",Sản xuất và kinh doanh gạch,,0.2493,0.2493,
Công ty CP Viglacera Hạ Long I,Công ty CP Viglacera Hạ Long I,Công ty CP Viglacera Hạ Long I,Quảng Ninh,"26,00%","26,00%",Sản xuất và kinh doanh gạch,,0.26,0.26,
Công ty CP Đầu tư và Xuất nhập khẩu Viglacera,Công ty CP Đầu tư và Xuất nhập khẩu Viglacera,Công ty CP Đầu tư và Xuất nhập khẩu Viglacera,Hà Nội,"25,00%","25,00%",Kinh doanh xuất nhập khẩu,,0.25,0.25,
Công ty CP Vật liệu chịu lửa Viglacera Cầu Dương,Công ty CP Vật liệu chịu lửa Viglacera Cầu Dương,Công ty CP Vật liệu chịu lửa Viglacera Cầu Dương,Hà Nội,"25,00%","25,00%",Sản xuất và kinh doanh gạch chịu lửa,,0.25,0.25,
Công ty CP Vinafacade,Công ty CP Vinafacade,Công ty CP Vinafacade,Hà Nội,"42,37%","42,37%","Kinh doanh, lắp dụng kính",,0.42369999999999997,0.42369999999999997,
