row_label_raw,row_label_full,col_0,Số phải thu đầu năm,Số phải nộp đầu năm,Số phải nộp trong năm,Số đã thực nộp trong năm,Số phải thu cuối năm,Số phải nộp cuối năm,numeric__Số phải thu đầu năm,numeric__Số phải nộp đầu năm,numeric__Số phải nộp trong năm,numeric__Số đã thực nộp trong năm,numeric__Số phải thu cuối năm,numeric__Số phải nộp cuối năm
,,,VND,VND,VND,VND,VND,VND,,,,,,
Thuế giá trị gia tăng,Thuế giá trị gia tăng,Thuế giá trị gia tăng,9.142.319.674,46.743.421.301,95.156.595.059,139.473.235.930,31.187.377.047,24.471.837.803,9142319674.0,46743421301.0,95156595059.0,139473235930.0,31187377047.0,24471837803.0
"Thuế xuất, nhập khẩu","Thuế xuất, nhập khẩu","Thuế xuất, nhập khẩu",1.912.140,-,1.597.001.563,1.660.362.985,65.273.562,-,1912140.0,,1597001563.0,1660362985.0,65273562.0,
Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,169.923.163,52.711.385.850,65.808.148.300,78.345.328.328,169.923.163,40.174.205.822,169923163.0,52711385850.0,65808148300.0,78345328328.0,169923163.0,40174205822.0
Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,59.705.069,1.619.653.768,5.424.080.990,4.914.889.552,88.872.738,2.158.012.875,59705069.0,1619653768.0,5424080990.0,4914889552.0,88872738.0,2158012875.0
Thuế tài nguyên,Thuế tài nguyên,Thuế tài nguyên,-,1.438.593,450.302.772,417.996.527,-,33.744.838,,1438593.0,450302772.0,417996527.0,,33744838.0
Thuế nhà đất và tiền thuê đất,Thuế nhà đất và tiền thuê đất,Thuế nhà đất và tiền thuê đất,-,526.129.178.171,15.260.389.674,395.632.634.743,-,145.756.933.102,,526129178171.0,15260389674.0,395632634743.0,,145756933102.0
Các loại thuế khác,Các loại thuế khác,Các loại thuế khác,-,14.127.997.913,11.353.311.429,8.902.213.089,-,16.579.096.253,,14127997913.0,11353311429.0,8902213089.0,,16579096253.0
"Các khoản phí, lệ phí và các khoản phải nộp khác","Các khoản phí, lệ phí và các khoản phải nộp khác","Các khoản phí, lệ phí và các khoản phải nộp khác",-,13.200.235.991,3.359.876.895,13.423.490.361,-,3.136.622.525,,13200235991.0,3359876895.0,13423490361.0,,3136622525.0
,,,9.373.860.046,654.533.311.587,198.409.706.682,642.770.151.515,31.511.446.510,232.310.453.218,9373860046.0,654533311587.0,198409706682.0,642770151515.0,31511446510.0,232310453218.0
