row_label_raw,row_label_full,Tên công ty con,Nơi thành lập và hoạt động,Tỷ lệ lợi ích,Tỷ lệ biểu quyết,Hoạt động kinh doanh chính,numeric__Nơi thành lập và hoạt động,numeric__Tỷ lệ lợi ích,numeric__Tỷ lệ biểu quyết,numeric__Hoạt động kinh doanh chính
Công ty CP Viglacera Thăng Long,Công ty CP Viglacera Thăng Long,Công ty CP Viglacera Thăng Long,Vĩnh Phúc,"51,07%","51,07%",Sản xuất và kinh doanh gạch men,,0.5107,0.5107,
Công ty CP Bao bì và Má Phanh Viglacera,Công ty CP Bao bì và Má Phanh Viglacera,Công ty CP Bao bì và Má Phanh Viglacera,Hà Nội,"51,00%","51,00%","Sản xuất và kinh doanh bao bì, má phanh",,0.51,0.51,
Công ty CP Viglacera Bá Hiến,Công ty CP Viglacera Bá Hiến,Công ty CP Viglacera Bá Hiến,Vĩnh Phúc,"52,64%","52,64%",Sản xuất và kinh doanh gạch,,0.5264,0.5264,
Công ty CP Viglacera Từ Liêm,Công ty CP Viglacera Từ Liêm,Công ty CP Viglacera Từ Liêm,Hà Nội,"55,92%","55,92%",Sản xuất và kinh doanh gạch,,0.5592,0.5592,
Công ty CP Viglacera Đông Anh,Công ty CP Viglacera Đông Anh,Công ty CP Viglacera Đông Anh,Hà Nội,"51,00%","51,00%",Sản xuất và kinh doanh gạch,,0.51,0.51,
Công ty CP Tư vấn Viglacera,Công ty CP Tư vấn Viglacera,Công ty CP Tư vấn Viglacera,Hà Nội,"76,89%","76,89%","Lập dự án, thiết kế các công trình",,0.7689,0.7689,
Công ty CP Việt Trì Viglacera,Công ty CP Việt Trì Viglacera,Công ty CP Việt Trì Viglacera,Vĩnh Phúc,"97,47%","97,47%",Sản xuất và kinh doanh sứ vệ sinh,,0.9747,0.9747,
Công ty CP Kính Viglacera Đáp Cầu,Công ty CP Kính Viglacera Đáp Cầu,Công ty CP Kính Viglacera Đáp Cầu,Bắc Ninh,"51,00%","51,00%",Sản xuất và kinh doanh kính,,0.51,0.51,
Công ty CP Cơ khí và Xây dựng,Công ty CP Cơ khí và Xây dựng,Công ty CP Cơ khí và Xây dựng,Hà Nội,"52,72%","52,72%",Xây dựng,,0.5272,0.5272,
Công ty CP Viglacera Hữu Hưng,Công ty CP Viglacera Hữu Hưng,Công ty CP Viglacera Hữu Hưng,Hà Nội,"51,00%","51,00%",Sản xuất và kinh doanh gạch,,0.51,0.51,
Công ty CP Viglacera Tiên Sơn,Công ty CP Viglacera Tiên Sơn,Công ty CP Viglacera Tiên Sơn,Bắc Ninh,"51,00%","51,00%",Sản xuất và kinh doanh gạch,,0.51,0.51,
Công ty CP Thương mại Viglacera,Công ty CP Thương mại Viglacera,Công ty CP Thương mại Viglacera,Hà Nội,"62,66%","62,66%",Kinh doanh vật liệu xây dựng,,0.6265999999999999,0.6265999999999999,
Công ty CP Viglacera Vân Hải,Công ty CP Viglacera Vân Hải,Công ty CP Viglacera Vân Hải,Quảng Ninh,"60,00%","60,00%",Khai thác và kinh doanh cát,,0.6,0.6,
Công ty CP Khoáng sản Viglacera,Công ty CP Khoáng sản Viglacera,Công ty CP Khoáng sản Viglacera,Yên Bái,"51,00%","51,00%",Khai thác và kinh doanh khoáng sản,,0.51,0.51,
Công ty CP Sử Viglacera Thanh Trì,Công ty CP Sử Viglacera Thanh Trì,Công ty CP Sử Viglacera Thanh Trì,Hà Nội,"62,96%","60,00%",Sản xuất và kinh doanh sứ vệ sinh,,0.6296,0.6,
Công ty CP Viglacera Hạ Long,Công ty CP Viglacera Hạ Long,Công ty CP Viglacera Hạ Long,Quảng Ninh,"50,48%","50,48%",Sản xuất và kinh doanh gạch,,0.5047999999999999,0.5047999999999999,
Công ty CP Viglacera Hà Nội,Công ty CP Viglacera Hà Nội,Công ty CP Viglacera Hà Nội,Hà Nội,"51,00%","51,00%",Sản xuất và kinh doanh gạch,,0.51,0.51,
Công ty CP Bê tông khí Viglacera,Công ty CP Bê tông khí Viglacera,Công ty CP Bê tông khí Viglacera,Bắc Ninh,"95,69%","95,69%",Sản xuất gạch chịu áp,,0.9569,0.9569,
Công ty CP Viglacera Đông Triều,Công ty CP Viglacera Đông Triều,Công ty CP Viglacera Đông Triều,Quảng Ninh,"67,47%","67,47%",Sản xuất và kinh doanh gạch,,0.6747,0.6747,
