row_label_raw,row_label_full,col_0,col_1,Mối quan hệ,31/12/2015,01/01/2015,numeric__col_1,numeric__Mối quan hệ,numeric__31/12/2015,numeric__01/01/2015
,,,,Mối quan hệ,VND,VND,,,,
Phải trả người bán,Phải trả người bán,Phải trả người bán,Phải trả người bán,,29.459.010.772,115.400.792.946,,,29459010772.0,115400792946.0
-,-,-,Công ty Cổ phần Viglacera Thăng Long,Công ty con,9.775.035,82.875.293,,,9775035.0,82875293.0
-,-,-,Công ty Cổ phần Bao bì và Má phanh Viglacera,Công ty con,-,78.579.476,,,,78579476.0
-,-,-,Công ty Cổ phần Viglacera Từ Liêm,Công ty con,-,742.291.489,,,,742291489.0
-,-,-,Công ty Cổ phần Tư vấn Viglacera,Công ty con,7.599.611.063,2.338.103.030,,,7599611063.0,2338103030.0
-,-,-,Công ty Cổ phần Kính Viglacera Đáp Cầu,Công ty con,514.590.736,216.137.695,,,514590736.0,216137695.0
-,-,-,Công ty Cổ phần Cơ khí và Xây dựng Viglacera,Công ty con,156.052.850,10.978.450.438,,,156052850.0,10978450438.0
-,-,-,Công ty Cổ phần Viglacera Hữu Hưng,Công ty con,37.174.146,37.174.146,,,37174146.0,37174146.0
-,-,-,Công ty Cổ phần Viglacera Tiên Sơn,Công ty con,1.125.146.104,8.312.875.282,,,1125146104.0,8312875282.0
-,-,-,Công ty Cổ phần Thương mại Viglacera,Công ty con,1.715.564.097,235.128.165,,,1715564097.0,235128165.0
-,-,-,Công ty Cổ phần Khoáng sản Viglacera,Công ty con,2.207.268.926,6.129.433.067,,,2207268926.0,6129433067.0
-,-,-,Công ty Cổ phần Sử Viglacera Thanh Trì,Công ty con,490.036.419,3.147.095.913,,,490036419.0,3147095913.0
-,-,-,Công ty Cổ phần Viglacera Hạ Long,Công ty con,1.146.947.320,-,,,1146947320.0,
-,-,-,Công ty Cổ phần Viglacera Hà Nội,Công ty con,9.415.227.820,41.357.597.457,,,9415227820.0,41357597457.0
-,-,-,Công ty Cổ phần Bê tông khí Viglacera,Công ty con,1.703.572.561,1.153.016.793,,,1703572561.0,1153016793.0
-,-,-,Công ty Cổ phần Kinh doanh Gạch Óp Lát Viglacera,Công ty con,-,1.822.036.943,,,,1822036943.0
-,-,-,Công ty Cổ phần Vinafacade,Công ty con,3.203.931.695,-,,,3203931695.0,
-,-,-,Công ty Cổ phần Viglacera Từ Sơn,Công ty liên kết,134.112.000,-,,,134112000.0,
-,-,-,Công ty Cổ phần Đầu tư và Xuất nhập khẩu Viglacera,Công ty liên kết,-,38.769.997.759,,,,38769997759.0
