row_label_raw,row_label_full,col_0,Quyền sử dụng đất,Phần mềm kế toán,"Chi phí đến bù, san lắp mặt bằng",Cộng,numeric__Quyền sử dụng đất,numeric__Phần mềm kế toán,"numeric__Chi phí đến bù, san lắp mặt bằng",numeric__Cộng
,,,VND,VND,VND,VND,,,,
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,68.545.687.797,3.316.845.307,28.446.087.957,100.308.621.061,68545687797.0,3316845307.0,28446087957.0,100308621061.0
- Mua trong năm,Nguyên giá > - Mua trong năm,- Mua trong năm,-,40.500.000,-,40.500.000,,40500000.0,,40500000.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,68.545.687.797,3.357.345.307,28.446.087.957,100.349.121.061,68545687797.0,3357345307.0,28446087957.0,100349121061.0
Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,,,,
Số dư đầu năm,Giá trị hao mòn luỹ kế > Số dư đầu năm,Số dư đầu năm,5.453.838.543,2.746.621.825,5.207.173.860,13.407.634.228,5453838543.0,2746621825.0,5207173860.0,13407634228.0
- Khấu hao trong năm,Giá trị hao mòn luỹ kế > - Khấu hao trong năm,- Khấu hao trong năm,515.531.976,185.816.784,632.699.860,1.334.048.620,515531976.0,185816784.0,632699860.0,1334048620.0
Số dư cuối năm,Giá trị hao mòn luỹ kế > Số dư cuối năm,Số dư cuối năm,5.969.370.519,2.932.438.609,5.839.873.720,14.741.682.848,5969370519.0,2932438609.0,5839873720.0,14741682848.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,
Tại ngày đầu năm,Giá trị còn lại > Tại ngày đầu năm,Tại ngày đầu năm,63.091.849.254,570.223.482,23.238.914.097,86.900.986.833,63091849254.0,570223482.0,23238914097.0,86900986833.0
Tại ngày cuối năm,Giá trị còn lại > Tại ngày cuối năm,Tại ngày cuối năm,62.576.317.278,424.906.698,22.606.214.237,85.607.438.213,62576317278.0,424906698.0,22606214237.0,85607438213.0
