row_label_raw,row_label_full,Mã số,CHỈ TIÊU,Thuyết minh,Năm 2015 > VND,Từ 22/07/2014 đến 31/12/2014 > VND,numeric__CHỈ TIÊU,numeric__Thuyết minh,numeric__Năm 2015 > VND,numeric__Từ 22/07/2014 đến 31/12/2014 > VND
01,01,01,1. Doanh thu bán hàng và cung cấp dịch vụ,26,3.500.275.987.115,1.978.950.015.578,,26.0,3500275987115.0,1978950015578.0
02,02,02,2. Các khoản giảm trừ doanh thu,27,48.470.273.695,22.668.255.008,,27.0,48470273695.0,22668255008.0
10,10,10,3. Doanh thu thuần bán hàng và cung cấp dịch vụ,28,3.451.805.713.420,1.956.281.760.570,,28.0,3451805713420.0,1956281760570.0
11,11,11,4. Giá vốn hàng bán,29,2.791.695.410.821,1.592.986.266.356,,29.0,2791695410821.0,1592986266356.0
20,20,20,5. Lợi nhuận gộp về bán hàng và cung cấp dịch,,660.110.302.599,363.295.494.214,,,660110302599.0,363295494214.0
21,21,21,6. Doanh thu hoạt động tài chính,30,58.029.395.148,21.023.125.832,,30.0,58029395148.0,21023125832.0
22,22,22,7. Chi phí tài chính,31,101.249.975.184,26.635.771.046,,31.0,101249975184.0,26635771046.0
23,23,23,Trong đó: Chi phí lãi vay,,46.043.140.283,20.084.885.775,,,46043140283.0,20084885775.0
25,25,25,8. Chi phí bán hàng,32,119.489.644.587,66.034.132.121,,32.0,119489644587.0,66034132121.0
26,26,26,9. Chi phí quản lý doanh nghiệp,33,203.911.741.002,97.675.356.862,,33.0,203911741002.0,97675356862.0
30,30,30,10. Lợi nhuận thuần từ hoạt động kinh doanh,,293.488.336.974,193.973.360.017,,,293488336974.0,193973360017.0
31,31,31,11. Thu nhập khác,34,45.490.705.627,26.373.518.122,,34.0,45490705627.0,26373518122.0
32,32,32,12. Chi phí khác,35,93.107.801.451,21.828.778.123,,35.0,93107801451.0,21828778123.0
40,40,40,13. Lợi nhuận khác,,(47.617.095.824),4.544.739.999,,,-47617095824.0,4544739999.0
50,50,50,14. Tổng lợi nhuận kế toán trước thuế,,245.871.241.150,198.518.100.016,,,245871241150.0,198518100016.0
51,51,51,15. Chi phí thuế thu nhập doanh nghiệp hiện hành,36,64.978.958.930,41.676.408.881,,36.0,64978958930.0,41676408881.0
60,60,60,16. Lợi nhuận sau thuế thu nhập doanh nghiệp,,180.892.282.220,156.841.691.135,,,180892282220.0,156841691135.0
