row_label_raw,row_label_full,col_0,Vốn đầu tư củaChủ sở hữu,Vốn khác củaChủ sở hữu,Chênh lệch đánhgiá lại tài sản,Chênh lệch tỷ giáhối đoái,Quỹ đầu tư pháttriển,Lợi nhuận chưaphân phối,Lợi ích cổ đôngkhông kiểm soát,Cộng,numeric__Vốn đầu tư củaChủ sở hữu,numeric__Vốn khác củaChủ sở hữu,numeric__Chênh lệch đánhgiá lại tài sản,numeric__Chênh lệch tỷ giáhối đoái,numeric__Quỹ đầu tư pháttriển,numeric__Lợi nhuận chưaphân phối,numeric__Lợi ích cổ đôngkhông kiểm soát,numeric__Cộng
,,,VND,VND,VND,VND,VND,VND,VND,VND,,,,,,,,
Số dư đầu năm trước,Số dư đầu năm trước,Số dư đầu năm trước,3.000.000.000.000,11.949.349.305,(35.469.525.274),(139.410.416.402),55.367.268.821,815.894.014.217,417.911.705.891,4.126.242.396.558,3000000000000.0,11949349305.0,-35469525274.0,-139410416402.0,55367268821.0,815894014217.0,417911705891.0,4126242396558.0
Lãi trong năm trước,Lãi trong năm trước,Lãi trong năm trước,-,-,-,-,-,103.621.125.313,14.889.285.653,118.510.410.966,,,,,,103621125313.0,14889285653.0,118510410966.0
Chia cổ tức trong năm,Chia cổ tức trong năm,Chia cổ tức trong năm,-,-,-,-,-,(150.000.000.000),-,(150.000.000.000),,,,,,-150000000000.0,,-150000000000.0
Trích quỹ đầu tư phát triển,Trích quỹ đầu tư phát triển,Trích quỹ đầu tư phát triển,-,-,-,-,8.336.271.145,(8.336.271.145),-,-,,,,,8336271145.0,-8336271145.0,,
"Tạm trích thù lao Hội đồng Quản trị,Ban Kiểm soát năm 2022","Tạm trích thù lao Hội đồng Quản trị,Ban Kiểm soát năm 2022","Tạm trích thù lao Hội đồng Quản trị,Ban Kiểm soát năm 2022",-,-,-,-,-,(1.900.800.000),-,(1.900.800.000),,,,,,-1900800000.0,,-1900800000.0
"Trích thù lao Hội đồng Quản trị,Ban Kiểm soát năm 2021","Trích thù lao Hội đồng Quản trị,Ban Kiểm soát năm 2021","Trích thù lao Hội đồng Quản trị,Ban Kiểm soát năm 2021",-,-,-,-,-,(1.296.000.000),-,(1.296.000.000),,,,,,-1296000000.0,,-1296000000.0
Trích Quỹ khen thưởng Ban điều hành,Trích Quỹ khen thưởng Ban điều hành,Trích Quỹ khen thưởng Ban điều hành,-,-,-,-,-,(486.000.000),-,(486.000.000),,,,,,-486000000.0,,-486000000.0
Trích Quỹ khen thưởng phúc lợi,Trích Quỹ khen thưởng phúc lợi,Trích Quỹ khen thưởng phúc lợi,-,-,-,-,-,(8.336.271.145),-,(8.336.271.145),,,,,,-8336271145.0,,-8336271145.0
Chênh lệch tỷ giá do chuyển đổiBCTC,Chênh lệch tỷ giá do chuyển đổiBCTC,Chênh lệch tỷ giá do chuyển đổiBCTC,-,-,-,(36.939.478.031),-,-,(41.151.573.646),(78.091.051.677),,,,-36939478031.0,,,-41151573646.0,-78091051677.0
