row_label_raw,row_label_full,Các quy của Tóng Cóng ty,31/12/2024,01/01/2024,numeric__31/12/2024,numeric__01/01/2024
Các quy của Tóng Cóng ty,Các quy của Tóng Cóng ty,Các quy của Tóng Cóng ty,VND,VND,,
Quỹ đầu tư phát triển,Các quy của Tóng Cóng ty > Quỹ đầu tư phát triển,Quỹ đầu tư phát triển,67.803.316.727,63.703.539.966,67803316727.0,63703539966.0
,,,67.803.316.727,63.703.539.966,67803316727.0,63703539966.0
