row_label_raw,row_label_full,col_0,31/12/2024 > Giá trị,31/12/2024 > Dự phòng,01/01/2024 > Giá trị,01/01/2024 > Dự phòng,numeric__31/12/2024 > Giá trị,numeric__31/12/2024 > Dự phòng,numeric__01/01/2024 > Giá trị,numeric__01/01/2024 > Dự phòng
,,,VND,VND,VND,VND,,,,
a) Ngắn hạn,a) Ngắn hạn,a) Ngắn hạn,a) Ngắn hạn,a) Ngắn hạn,a) Ngắn hạn,a) Ngắn hạn,,,,
Bên liên quan,a) Ngắn hạn > Bên liên quan,Bên liên quan,471.136.702,-,730.556.584,-,471136702.0,,730556584.0,
- Công ty Cổ phần Phát triển Phú Mỹ,a) Ngắn hạn > - Công ty Cổ phần Phát triển Phú Mỹ,- Công ty Cổ phần Phát triển Phú Mỹ,346.024.800,-,603.196.000,-,346024800.0,,603196000.0,
- Công ty Cổ phần May mặc Bình Dương,a) Ngắn hạn > - Công ty Cổ phần May mặc Bình Dương,- Công ty Cổ phần May mặc Bình Dương,72.708.500,-,43.889.382,-,72708500.0,,43889382.0,
- Công ty Cổ phần Hưng Vương,a) Ngắn hạn > - Công ty Cổ phần Hưng Vương,- Công ty Cổ phần Hưng Vương,52.403.402,-,83.471.202,-,52403402.0,,83471202.0,
Bên khác,a) Ngắn hạn > Bên khác,Bên khác,37.350.735.546,(4.203.850.588),158.115.984.108,(4.982.180.088),37350735546.0,-4203850588.0,158115984108.0,-4982180088.0
- Công ty TNHH Thực nghiệp HL-VT Việt Nam,a) Ngắn hạn > - Công ty TNHH Thực nghiệp HL-VT Việt Nam,- Công ty TNHH Thực nghiệp HL-VT Việt Nam,-,-,25.961.994.916,-,,,25961994916.0,
- Công ty TNHH Đông Tuấn Việt Nam,a) Ngắn hạn > - Công ty TNHH Đông Tuấn Việt Nam,- Công ty TNHH Đông Tuấn Việt Nam,-,-,4.341.940.834,-,,,4341940834.0,
- Công ty TNHH Summer Wind,a) Ngắn hạn > - Công ty TNHH Summer Wind,- Công ty TNHH Summer Wind,-,-,20.803.783.790,-,,,20803783790.0,
- Các khách hàng khác,a) Ngắn hạn > - Các khách hàng khác,- Các khách hàng khác,37.350.735.546,(4.203.850.588),107.008.264.568,(4.982.180.088),37350735546.0,-4203850588.0,107008264568.0,-4982180088.0
,,,37.821.872.248,(4.203.850.588),158.846.540.692,(4.982.180.088),37821872248.0,-4203850588.0,158846540692.0,-4982180088.0
