row_label_raw,row_label_full,Tổng giá trị các khoản phải thu quá hạn thanh toán hoặc chưa quá hạn nhưng khó có khả năng thu hồi,31/12/2024 > Giá gốcVND > Tổng giá trị các khoản phải thu quá hạn thanh toán hoặc chưa quá hạn nhưng khó có khả năng thu hồi,31/12/2024 > Giá trị có thể thu hồiVND > Tổng giá trị các khoản phải thu quá hạn thanh toán hoặc chưa quá hạn nhưng khó có khả năng thu hồi,01/01/2024 > Giá gốcVND > Tổng giá trị các khoản phải thu quá hạn thanh toán hoặc chưa quá hạn nhưng khó có khả năng thu hồi,01/01/2024 > Giá trị có thể thu hồiVND > Tổng giá trị các khoản phải thu quá hạn thanh toán hoặc chưa quá hạn nhưng khó có khả năng thu hồi,numeric__31/12/2024 > Giá gốcVND > Tổng giá trị các khoản phải thu quá hạn thanh toán hoặc chưa quá hạn nhưng khó có khả năng thu hồi,numeric__31/12/2024 > Giá trị có thể thu hồiVND > Tổng giá trị các khoản phải thu quá hạn thanh toán hoặc chưa quá hạn nhưng khó có khả năng thu hồi,numeric__01/01/2024 > Giá gốcVND > Tổng giá trị các khoản phải thu quá hạn thanh toán hoặc chưa quá hạn nhưng khó có khả năng thu hồi,numeric__01/01/2024 > Giá trị có thể thu hồiVND > Tổng giá trị các khoản phải thu quá hạn thanh toán hoặc chưa quá hạn nhưng khó có khả năng thu hồi
Phải thu khách hàng,Phải thu khách hàng,Phải thu khách hàng,Phải thu khách hàng,Phải thu khách hàng,Phải thu khách hàng,Phải thu khách hàng,,,,
+ Các khách hàng khác,Phải thu khách hàng > + Các khách hàng khác,+ Các khách hàng khác,2.293.793.650,-,2.361.793.650,-,2293793650.0,,2361793650.0,
Người mua trả tiền trước,Người mua trả tiền trước,Người mua trả tiền trước,Người mua trả tiền trước,Người mua trả tiền trước,Người mua trả tiền trước,Người mua trả tiền trước,,,,
+ Ông Bùi Thanh Hải,Người mua trả tiền trước > + Ông Bùi Thanh Hải,+ Ông Bùi Thanh Hải,10.207.700.000,7.145.390.000,10.207.700.000,10.207.700.000,10207700000.0,7145390000.0,10207700000.0,10207700000.0
Phải thu về cho vay,Phải thu về cho vay,Phải thu về cho vay,Phải thu về cho vay,Phải thu về cho vay,Phải thu về cho vay,Phải thu về cho vay,,,,
+ Công ty CP Đầu tư & Phát triển Tân Thành,Phải thu về cho vay > + Công ty CP Đầu tư & Phát triển Tân Thành,+ Công ty CP Đầu tư & Phát triển Tân Thành,107.347.102.061,75.142.971.443,148.547.102.061,116.342.971.443,107347102061.0,75142971443.0,148547102061.0,116342971443.0
Phải thu khác,Phải thu khác,Phải thu khác,Phải thu khác,Phải thu khác,Phải thu khác,Phải thu khác,,,,
+ Công ty CP Đầu tư & Phát triển Tân Thành (*),Phải thu khác > + Công ty CP Đầu tư & Phát triển Tân Thành (*),+ Công ty CP Đầu tư & Phát triển Tân Thành (*),172.913.753.054,144.311.387.345,172.913.753.054,148.829.022.221,172913753054.0,144311387345.0,172913753054.0,148829022221.0
+ Phải thu các khoản tạm nộp chờ xử lý quyết toán cổ phần hóa (**),Phải thu khác > + Phải thu các khoản tạm nộp chờ xử lý quyết toán cổ phần hóa (**),+ Phải thu các khoản tạm nộp chờ xử lý quyết toán cổ phần hóa (**),972.238.328.857,830.875.028.663,972.238.328.857,901.556.678.760,972238328857.0,830875028663.0,972238328857.0,901556678760.0
+ Đối tượng khác,Phải thu khác > + Đối tượng khác,+ Đối tượng khác,2.598.731.274,688.674.336,3.309.060.774,688.674.336,2598731274.0,688674336.0,3309060774.0,688674336.0
,,,1.267.599.408.896,1.058.163.451.787,1.309.577.738.396,1.177.625.046.760,1267599408896.0,1058163451787.0,1309577738396.0,1177625046760.0
