row_label_raw,row_label_full,Tỷ lệ,Cuối năm,Tỷ lệ_1,Đầu năm,numeric__Cuối năm,numeric__Tỷ lệ_1,numeric__Đầu năm
%,%,%,VND,%,VND,,,
"60,98","% > 60,98","60,98",1.829.274.000.000,"60,98",1.829.274.000.000,1829274000000.0,60.98,1829274000000.0
"8,00","% > 8,00","8,00",240.000.000.000,"8,00",240.000.000.000,240000000000.0,8.0,240000000000.0
"6,00","% > 6,00","6,00",180.000.000.000,"6,00",180.000.000.000,180000000000.0,6.0,180000000000.0
"5,00","% > 5,00","5,00",150.000.000.000,"5,00",150.000.000.000,150000000000.0,5.0,150000000000.0
"20,02","% > 20,02","20,02",600.726.000.000,"20,02",600.726.000.000,600726000000.0,20.02,600726000000.0
100,% > 100,100,3.000.000.000.000,100,3.000.000.000.000,3000000000000.0,100.0,3000000000000.0
