row_label_raw,row_label_full,col_0,Số phải thuđầu năm,Số phải nộp đầu năm,Số phải nộp trong năm,Số đã thực nộp trong năm,Chênh lệch tỷ giá do chuyển đổi,Số phải thu cuối năm,Số phải nộp cuối năm,numeric__Số phải thuđầu năm,numeric__Số phải nộp đầu năm,numeric__Số phải nộp trong năm,numeric__Số đã thực nộp trong năm,numeric__Chênh lệch tỷ giá do chuyển đổi,numeric__Số phải thu cuối năm,numeric__Số phải nộp cuối năm
,,,VND,VND,VND,VND,VND,VND,VND,,,,,,,
- Thuế giá trị gia tăng,- Thuế giá trị gia tăng,- Thuế giá trị gia tăng,2.337.904.655,2.355.187.524,34.065.472.484,34.737.567.555,6.761.618,-,1.689.854.071,2337904655.0,2355187524.0,34065472484.0,34737567555.0,6761618.0,,1689854071.0
- Thuế tiêu thụ đặc biệt,- Thuế tiêu thụ đặc biệt,- Thuế tiêu thụ đặc biệt,-,2.699.017.776,26.738.047.886,26.918.855.466,-,-,2.518.210.196,,2699017776.0,26738047886.0,26918855466.0,,,2518210196.0
"- Thuế xuất, nhập khẩu","- Thuế xuất, nhập khẩu","- Thuế xuất, nhập khẩu",-,-,8.181.073,8.181.073,-,-,-,,,8181073.0,8181073.0,,,
- Thuế thu nhập doanh nghiệp,- Thuế thu nhập doanh nghiệp,- Thuế thu nhập doanh nghiệp,18.662.011.088,40.144.473.485,33.701.979.732,55.659.887.501,535.869.305,18.191.384.363,18.251.808.297,18662011088.0,40144473485.0,33701979732.0,55659887501.0,535869305.0,18191384363.0,18251808297.0
- Thuế thu nhập cá nhân,- Thuế thu nhập cá nhân,- Thuế thu nhập cá nhân,217.588.603,790.948.580,12.800.035.412,12.805.262.788,9.254.273,239.225.578,816.612.452,217588603.0,790948580.0,12800035412.0,12805262788.0,9254273.0,239225578.0,816612452.0
- Thuế tài nguyên,- Thuế tài nguyên,- Thuế tài nguyên,-,19.522.400,462.780.400,469.204.400,-,-,13.098.400,,19522400.0,462780400.0,469204400.0,,,13098400.0
- Thuế nhà đất và tiền thuê đất,- Thuế nhà đất và tiền thuê đất,- Thuế nhà đất và tiền thuê đất,267.727.149,9.126,6.587.464.284,6.587.473.410,-,267.727.149,-,267727149.0,9126.0,6587464284.0,6587473410.0,,267727149.0,
- Các khoản phải nộp khác,- Các khoản phải nộp khác,- Các khoản phải nộp khác,-,1.842.909.472,2.700.940.952,2.860.236.416,91.394.470,-,1.775.008.478,,1842909472.0,2700940952.0,2860236416.0,91394470.0,,1775008478.0
,,,21.485.231.495,47.852.068.363,117.064.902.223,140.046.668.609,643.279.666,18.698.337.090,25.064.591.894,21485231495.0,47852068363.0,117064902223.0,140046668609.0,643279666.0,18698337090.0,25064591894.0
