row_label_raw,row_label_full,7 . PHÀI THU VỀ CHO VAY,7 . PHÀI THU VỀ CHO VAY_1,01/01/2024 > Giá trị,01/01/2024 > Dự phòng,Trong năm > Tăng,Trong năm > Giảm,31/12/2024 > Giá trị,31/12/2024 > Dự phòng,numeric__7 . PHÀI THU VỀ CHO VAY_1,numeric__01/01/2024 > Giá trị,numeric__01/01/2024 > Dự phòng,numeric__Trong năm > Tăng,numeric__Trong năm > Giảm,numeric__31/12/2024 > Giá trị,numeric__31/12/2024 > Dự phòng
7 . PHÀI THU VỀ CHO VAY,7 . PHÀI THU VỀ CHO VAY,7 . PHÀI THU VỀ CHO VAY,7 . PHÀI THU VỀ CHO VAY,VND,VND,VND,VND,VND,VND,,,,,,,
a),a),a),Ngắn hạn,,,,,,,,,,,,,
a),a),a),Bên liên quan,,,,,,,,,,,,,
a),a) > a),a),- Công ty Cổ phần Đầu tư & Phát triển Tân Thành (1),148.547.102.061,(32.204.130.618),-,41.200.000.000,107.347.102.061,(32.204.130.618),,148547102061.0,-32204130618.0,,41200000000.0,107347102061.0,-32204130618.0
a),a),a),Bên khác,,,,,,,,,,,,,
a),a) > a),a),- Điện lực Bình Dương (2),1.135.873.550,-,-,1.135.873.550,-,-,,1135873550.0,,,1135873550.0,,
a),a) > a),a),,149.682.975.611,(32.204.130.618),-,42.335.873.550,107.347.102.061,(32.204.130.618),,149682975611.0,-32204130618.0,,42335873550.0,107347102061.0,-32204130618.0
b),b),b),Dài hạn,,,,,,,,,,,,,
b),b),b),Bên khác,,,,,,,,,,,,,
b),b) > b),b),- Công ty TNHH Du lịch D&M (3),9.896.049.652,-,-,-,9.896.049.652,-,,9896049652.0,,,,9896049652.0,
b),b) > b),b),,9.896.049.652,-,-,-,9.896.049.652,-,,9896049652.0,,,,9896049652.0,
