row_label_raw,row_label_full,col_0,Quyền sử dụng đất,Phần mềm,TSCĐ vô hình khác,Cộng,numeric__Quyền sử dụng đất,numeric__Phần mềm,numeric__TSCĐ vô hình khác,numeric__Cộng
,,,VND,VND,VND,VND,,,,
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,713.996.996.361,5.032.755.175,87.000.000,719.116.751.536,713996996361.0,5032755175.0,87000000.0,719116751536.0
"- Thanh lý, nhượng bán","Nguyên giá > - Thanh lý, nhượng bán","- Thanh lý, nhượng bán",-,(238.980.000),-,(238.980.000),,-238980000.0,,-238980000.0
- Chênh lệch tỷ giá do chuyển đổi báo cáo tài chính,Nguyên giá > - Chênh lệch tỷ giá do chuyển đổi báo cáo tài chính,- Chênh lệch tỷ giá do chuyển đổi báo cáo tài chính,141.691.000,26.436.741,-,168.127.741,141691000.0,26436741.0,,168127741.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,714.138.687.361,4.820.211.916,87.000.000,719.045.899.277,714138687361.0,4820211916.0,87000000.0,719045899277.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,155.581.201.958,3.948.389.481,30.496.774,159.560.088.213,155581201958.0,3948389481.0,30496774.0,159560088213.0
- Khấu hao trong năm,Giá trị hao mòn lũy kế > - Khấu hao trong năm,- Khấu hao trong năm,23.481.241.041,302.527.650,17.400.000,23.801.168.691,23481241041.0,302527650.0,17400000.0,23801168691.0
"- Thanh lý, nhượng bán","Giá trị hao mòn lũy kế > - Thanh lý, nhượng bán","- Thanh lý, nhượng bán",-,(238.980.000),-,(238.980.000),,-238980000.0,,-238980000.0
- Chênh lệch tỷ giá do chuyển đổi báo cáo tài chính,Giá trị hao mòn lũy kế > - Chênh lệch tỷ giá do chuyển đổi báo cáo tài chính,- Chênh lệch tỷ giá do chuyển đổi báo cáo tài chính,137.266.971,-,-,137.266.971,137266971.0,,,137266971.0
- Chênh lệch đánh giá lại tài sản thực hiện trong năm,Giá trị hao mòn lũy kế > - Chênh lệch đánh giá lại tài sản thực hiện trong năm,- Chênh lệch đánh giá lại tài sản thực hiện trong năm,2.628.833.440,-,-,2.628.833.440,2628833440.0,,,2628833440.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,181.828.543.410,4.011.937.131,47.896.774,185.888.377.315,181828543410.0,4011937131.0,47896774.0,185888377315.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,
Tại ngày đầu năm,Giá trị còn lại > Tại ngày đầu năm,Tại ngày đầu năm,558.415.794.403,1.084.365.694,56.503.226,559.556.663.323,558415794403.0,1084365694.0,56503226.0,559556663323.0
Tại ngày cuối năm,Giá trị còn lại > Tại ngày cuối năm,Tại ngày cuối năm,532.310.143.951,808.274.785,39.103.226,533.157.521.962,532310143951.0,808274785.0,39103226.0,533157521962.0
