row_label_raw,row_label_full,col_0,col_1,01/01/2024 > Giá trị,01/01/2024 > Số có khả năng trả nợ,Trong năm > Tăng,Trong năm > Giảm,Trong năm > Chênh lệch tỷ giá do chuyển đổi BCTC,31/12/2024 > Giá trị,31/12/2024 > Số có khả năng trả nợ,numeric__col_1,numeric__01/01/2024 > Giá trị,numeric__01/01/2024 > Số có khả năng trả nợ,numeric__Trong năm > Tăng,numeric__Trong năm > Giảm,numeric__Trong năm > Chênh lệch tỷ giá do chuyển đổi BCTC,numeric__31/12/2024 > Giá trị,numeric__31/12/2024 > Số có khả năng trả nợ
,,,,VND,VND,VND,VND,VND,VND,VND,,,,,,,,
a),a),a),Vay ngắn hạn,,,,,,,,,,,,,,,
a),a) > a),a),Vay ngắn hạn,168.227.107.982,168.227.107.982,66.572.691.765,234.373.294.694,(426.505.053),-,-,,168227107982.0,168227107982.0,66572691765.0,234373294694.0,-426505053.0,,
a),a) > a),a),- Ngân hàng TMCP Công thương Việt Nam - Chi nhánh Lào,16.874.913.626,16.874.913.626,4.738.235.600,21.358.173.196,(254.976.030),-,-,,16874913626.0,16874913626.0,4738235600.0,21358173196.0,-254976030.0,,
a),a) > a),a),- Ngân hàng TMCP Sài Gòn - Hà Nội - Chi nhánh Lào,11.352.194.356,11.352.194.356,61.834.456.165,73.015.121.498,(171.529.023),-,-,,11352194356.0,11352194356.0,61834456165.0,73015121498.0,-171529023.0,,
a),a) > a),a),- Ngân hàng TMCP Đầu tư và Phát triển Việt Nam - Chi nhánh Bình Dương,140.000.000.000,140.000.000.000,-,140.000.000.000,-,-,-,,140000000000.0,140000000000.0,,140000000000.0,,,
a),a) > a),a),Vay dài hạn đến hạn trả,34.427.424.852,34.427.424.852,-,33.907.234.449,(520.190.403),-,-,,34427424852.0,34427424852.0,,33907234449.0,-520190403.0,,
a),a) > a),a),- Ngân hàng TNHH Sài Gòn - Hà Nội Lào Chi nhánh Champasak,34.427.424.852,34.427.424.852,-,33.907.234.449,(520.190.403),-,-,,34427424852.0,34427424852.0,,33907234449.0,-520190403.0,,
a),a) > a),a),,202.654.532.834,202.654.532.834,66.572.691.765,268.280.529.143,(946.695.456),-,-,,202654532834.0,202654532834.0,66572691765.0,268280529143.0,-946695456.0,,
b),b),b),Vay dài hạn,,,,,,,,,,,,,,,
b),b) > b),b),- Ngân hàng TNHH Sài Gòn - Hà Nội Lào Chi nhánh Champasak,34.427.424.852,34.427.424.852,-,33.907.234.449,(520.190.403),-,-,,34427424852.0,34427424852.0,,33907234449.0,-520190403.0,,
b),b) > b),b),,34.427.424.852,34.427.424.852,-,33.907.234.449,(520.190.403),-,-,,34427424852.0,34427424852.0,,33907234449.0,-520190403.0,,
b),b) > b),b),Vay dài hạn đến hạn trả trong vòng 12 tháng,(34.427.424.852),(34.427.424.852),-,(33.907.234.449),520.190.403,-,-,,-34427424852.0,-34427424852.0,,-33907234449.0,520190403.0,,
b),b),b),Vay dài hạn đến hạn trả sau 12 tháng,-,-,,,,-,-,,,,,,,,
