row_label_raw,row_label_full,Khoản mục,Số đầu kỳ,Tăng trong kỳ,Giảm trong kỳ,Số cuối kỳ,numeric__Số đầu kỳ,numeric__Tăng trong kỳ,numeric__Giảm trong kỳ,numeric__Số cuối kỳ
a) BĐS đầu tư cho thuê,a) BĐS đầu tư cho thuê,a) BĐS đầu tư cho thuê,a) BĐS đầu tư cho thuê,a) BĐS đầu tư cho thuê,a) BĐS đầu tư cho thuê,a) BĐS đầu tư cho thuê,,,,
Nguyên giá,a) BĐS đầu tư cho thuê > Nguyên giá,Nguyên giá,313.330.296.020,100.270.635.696,,413.600.931.716,313330296020.0,100270635696.0,,413600931716.0
- Quyền sử dụng đất,a) BĐS đầu tư cho thuê > - Quyền sử dụng đất,- Quyền sử dụng đất,65.240.590.451,27.838.517.442,,93.079.107.893,65240590451.0,27838517442.0,,93079107893.0
- Nhà,a) BĐS đầu tư cho thuê > - Nhà,- Nhà,248.089.705.569,72.432.118.254,,320.521.823.823,248089705569.0,72432118254.0,,320521823823.0
- Nhà và quyền sử dụng đất,- Nhà và quyền sử dụng đất,- Nhà và quyền sử dụng đất,,,,,,,,
- Cơ sở hạ tầng,- Cơ sở hạ tầng,- Cơ sở hạ tầng,,,,,,,,
Giá trị hao mòn lũy kế,- Cơ sở hạ tầng > Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,72.199.728.781,14.103.465.035,,86.303.193.816,72199728781.0,14103465035.0,,86303193816.0
- Quyền sử dụng đất,- Cơ sở hạ tầng > - Quyền sử dụng đất,- Quyền sử dụng đất,1.958.465.022,392.211.852,,2.350.676.874,1958465022.0,392211852.0,,2350676874.0
- Nhà,- Cơ sở hạ tầng > - Nhà,- Nhà,70.241.263.759,13.711.253.183,,83.952.516.942,70241263759.0,13711253183.0,,83952516942.0
- Nhà và quyền sử dụng đất,- Nhà và quyền sử dụng đất,- Nhà và quyền sử dụng đất,,,,,,,,
- Cơ sở hạ tầng,- Cơ sở hạ tầng,- Cơ sở hạ tầng,,,,,,,,
Giá trị còn lại,- Cơ sở hạ tầng > Giá trị còn lại,Giá trị còn lại,241.130.567.239,,,327.297.737.900,241130567239.0,,,327297737900.0
- Quyền sử dụng đất,- Cơ sở hạ tầng > - Quyền sử dụng đất,- Quyền sử dụng đất,63.282.125.429,,,90.728.431.019,63282125429.0,,,90728431019.0
- Nhà,- Cơ sở hạ tầng > - Nhà,- Nhà,177.848.441.810,,,236.569.306.881,177848441810.0,,,236569306881.0
- Nhà và quyền sử dụng đất,- Nhà và quyền sử dụng đất,- Nhà và quyền sử dụng đất,,,,,,,,
- Cơ sở hạ tầng,- Cơ sở hạ tầng,- Cơ sở hạ tầng,,,,,,,,
b) BĐS đầu tư nắm giữ chờ tăng giá,b) BĐS đầu tư nắm giữ chờ tăng giá,b) BĐS đầu tư nắm giữ chờ tăng giá,b) BĐS đầu tư nắm giữ chờ tăng giá,b) BĐS đầu tư nắm giữ chờ tăng giá,b) BĐS đầu tư nắm giữ chờ tăng giá,b) BĐS đầu tư nắm giữ chờ tăng giá,,,,
Nguyên giá,Nguyên giá,Nguyên giá,,,,,,,,
- Quyền sử dụng đất,- Quyền sử dụng đất,- Quyền sử dụng đất,,,,,,,,
- Nhà,- Nhà,- Nhà,,,,,,,,
- Nhà và quyền sử dụng đất,- Nhà và quyền sử dụng đất,- Nhà và quyền sử dụng đất,,,,,,,,
- Cơ sở hạ tầng,- Cơ sở hạ tầng,- Cơ sở hạ tầng,,,,,,,,
Tổn thất do suy giảm giá trị,Tổn thất do suy giảm giá trị,Tổn thất do suy giảm giá trị,,,,,,,,
- Quyền sử dụng đất,- Quyền sử dụng đất,- Quyền sử dụng đất,,,,,,,,
- Nhà,- Nhà,- Nhà,,,,,,,,
- Nhà và quyền sử dụng đất,- Nhà và quyền sử dụng đất,- Nhà và quyền sử dụng đất,,,,,,,,
- Cơ sở hạ tầng,- Cơ sở hạ tầng,- Cơ sở hạ tầng,,,,,,,,
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,,,
- Quyền sử dụng đất,- Quyền sử dụng đất,- Quyền sử dụng đất,,,,,,,,
- Nhà,- Nhà,- Nhà,,,,,,,,
- Nhà và quyền sử dụng đất,- Nhà và quyền sử dụng đất,- Nhà và quyền sử dụng đất,,,,,,,,
- Cơ sở hạ tầng,- Cơ sở hạ tầng,- Cơ sở hạ tầng,,,,,,,,
