row_label_raw,row_label_full,03. PHẢI THU KHÁCH HÀNG,03. PHẢI THU KHÁCH HÀNG_1,03. PHẢI THU KHÁCH HÀNG_2,numeric__03. PHẢI THU KHÁCH HÀNG_1,numeric__03. PHẢI THU KHÁCH HÀNG_2
,,,31/12/2020,01/01/2020,,
a) Ngắn hạn,a) Ngắn hạn,a) Ngắn hạn,1.440.262.277.327,1.402.608.381.286,1440262277327.0,1402608381286.0
+ Công ty Mua Bán Điện - Tập Đoàn Điện Lục Việt Nam,+ Công ty Mua Bán Điện - Tập Đoàn Điện Lục Việt Nam,+ Công ty Mua Bán Điện - Tập Đoàn Điện Lục Việt Nam,46.408.909.966,,46408909966.0,
+ Công ty CP Xuất Khẩu Thủy Hải Sản Sạch,+ Công ty CP Xuất Khẩu Thủy Hải Sản Sạch,+ Công ty CP Xuất Khẩu Thủy Hải Sản Sạch,17.796.711.000,79.120.839.160,17796711000.0,79120839160.0
+ Công ty CP SATRA Thái Sơn,+ Công ty CP SATRA Thái Sơn,+ Công ty CP SATRA Thái Sơn,6.974.620.468,6.974.620.468,6974620468.0,6974620468.0
+ Công ty TNHH MTV Kiểm Định & Đầu Tư Toàn Cầu,+ Công ty TNHH MTV Kiểm Định & Đầu Tư Toàn Cầu,+ Công ty TNHH MTV Kiểm Định & Đầu Tư Toàn Cầu,210.304.909.219,56.807.155.831,210304909219.0,56807155831.0
+ Công ty CP Dầu cá Châu Á,+ Công ty CP Dầu cá Châu Á,+ Công ty CP Dầu cá Châu Á,240.448.210.256,262.045.812.242,240448210256.0,262045812242.0
+ Hợp Tác Xã Nười Trồng Thủy Sân - Chợ Mới,+ Hợp Tác Xã Nười Trồng Thủy Sân - Chợ Mới,+ Hợp Tác Xã Nười Trồng Thủy Sân - Chợ Mới,13.070.615.674,12.365.051.796,13070615674.0,12365051796.0
+ Khách hàng khác,+ Khách hàng khác,+ Khách hàng khác,905.258.300.744,985.294.901.789,905258300744.0,985294901789.0
b) Dải hạn,b) Dải hạn,b) Dải hạn,,,,
Cộng,b) Dải hạn > Cộng,Cộng,1.440.262.277.327,1.402.608.381.286,1440262277327.0,1402608381286.0
04. PHẢI THU VỀ CHO VAY,04. PHẢI THU VỀ CHO VAY,04. PHẢI THU VỀ CHO VAY,04. PHẢI THU VỀ CHO VAY,04. PHẢI THU VỀ CHO VAY,,
,,,31/12/2020,01/01/2020,,
a) Ngắn hạn,04. PHẢI THU VỀ CHO VAY > a) Ngắn hạn,a) Ngắn hạn,1.000.000.000,1.000.000.000,1000000000.0,1000000000.0
+ Phan Văn A (*),04. PHẢI THU VỀ CHO VAY > + Phan Văn A (*),+ Phan Văn A (*),1.000.000.000,1.000.000.000,1000000000.0,1000000000.0
b) Dải hạn,b) Dải hạn,b) Dải hạn,,,,
Cộng,b) Dải hạn > Cộng,Cộng,1.000.000.000,1.000.000.000,1000000000.0,1000000000.0
