row_label_raw,row_label_full,BẢN THUYẾT MINH BẢO CẢO TÀI CHÍNH HỢP NHẤT Năm 2020 > Chỉ tiêu,BẢN THUYẾT MINH BẢO CẢO TÀI CHÍNH HỢP NHẤT Năm 2020 > Năm 2020 > An Giang,BẢN THUYẾT MINH BẢO CẢO TÀI CHÍNH HỢP NHẤT Năm 2020 > Năm 2020 > Đồng Tháp,BẢN THUYẾT MINH BẢO CẢO TÀI CHÍNH HỢP NHẤT Năm 2020 > Năm 2020 > Địa bàn khác,BẢN THUYẾT MINH BẢO CẢO TÀI CHÍNH HỢP NHẤT Năm 2020 > Năm 2020 > Tổng cộng,BẢN THUYẾT MINH BẢO CẢO TÀI CHÍNH HỢP NHẤT Năm 2020 > Năm 2019 > An Giang,BẢN THUYẾT MINH BẢO CẢO TÀI CHÍNH HỢP NHẤT Năm 2020 > Năm 2019 > Đồng Tháp,BẢN THUYẾT MINH BẢO CẢO TÀI CHÍNH HỢP NHẤT Năm 2020 > Năm 2019 > Địa bàn khác,BẢN THUYẾT MINH BẢO CẢO TÀI CHÍNH HỢP NHẤT Năm 2020 > Năm 2019 > Tổng cộng,numeric__BẢN THUYẾT MINH BẢO CẢO TÀI CHÍNH HỢP NHẤT Năm 2020 > Năm 2020 > An Giang,numeric__BẢN THUYẾT MINH BẢO CẢO TÀI CHÍNH HỢP NHẤT Năm 2020 > Năm 2020 > Đồng Tháp,numeric__BẢN THUYẾT MINH BẢO CẢO TÀI CHÍNH HỢP NHẤT Năm 2020 > Năm 2020 > Địa bàn khác,numeric__BẢN THUYẾT MINH BẢO CẢO TÀI CHÍNH HỢP NHẤT Năm 2020 > Năm 2020 > Tổng cộng,numeric__BẢN THUYẾT MINH BẢO CẢO TÀI CHÍNH HỢP NHẤT Năm 2020 > Năm 2019 > An Giang,numeric__BẢN THUYẾT MINH BẢO CẢO TÀI CHÍNH HỢP NHẤT Năm 2020 > Năm 2019 > Đồng Tháp,numeric__BẢN THUYẾT MINH BẢO CẢO TÀI CHÍNH HỢP NHẤT Năm 2020 > Năm 2019 > Địa bàn khác,numeric__BẢN THUYẾT MINH BẢO CẢO TÀI CHÍNH HỢP NHẤT Năm 2020 > Năm 2019 > Tổng cộng
Doanh thu thuần về bán hàng và cung cấp dịch vụ ra bên ngoài,Doanh thu thuần về bán hàng và cung cấp dịch vụ ra bên ngoài,Doanh thu thuần về bán hàng và cung cấp dịch vụ ra bên ngoài,4.051.856.958.143,8.178.986.459.117,293.770.394.597,12.524.613.811.857,4.109.484.380.617,9.870.268.324.471,244.020.636.017,14.223.773.341.105,4051856958143.0,8178986459117.0,293770394597.0,12524613811857.0,4109484380617.0,9870268324471.0,244020636017.0,14223773341105.0
Tổng doanh thu thuần bán hàng và cung cấp dịch vụ,Tổng doanh thu thuần bán hàng và cung cấp dịch vụ,Tổng doanh thu thuần bán hàng và cung cấp dịch vụ,4.051.856.958.143,8.178.986.459.117,293.770.394.597,12.524.613.811.857,4.109.484.380.617,9.870.268.324.471,244.020.636.017,14.223.773.341.105,4051856958143.0,8178986459117.0,293770394597.0,12524613811857.0,4109484380617.0,9870268324471.0,244020636017.0,14223773341105.0
Kết quả kinh doanh theo bộ phận,Kết quả kinh doanh theo bộ phận,Kết quả kinh doanh theo bộ phận,563.940.351.952,619.572.136.473,166.905.114.988,1.350.417.603.413,335.719.025.470,966.548.067.205,66.477.941.221,1.368.745.033.896,563940351952.0,619572136473.0,166905114988.0,1350417603413.0,335719025470.0,966548067205.0,66477941221.0,1368745033896.0
Các chi phí không phân bổ theo bộ phận,Các chi phí không phân bổ theo bộ phận,Các chi phí không phân bổ theo bộ phận,,,,(426.237.626.781),,,,(488.777.098.660),,,,-426237626781.0,,,,-488777098660.0
Lợi nhuận từ hoạt động kinh doanh,Lợi nhuận từ hoạt động kinh doanh,Lợi nhuận từ hoạt động kinh doanh,,,,924.179.976.632,,,,879.967.935.236,,,,924179976632.0,,,,879967935236.0
Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,,,,232.360.452.111,,,,201.952.760.812,,,,232360452111.0,,,,201952760812.0
Chi phí tài chính,Chi phí tài chính,Chi phí tài chính,,,,(534.709.026.110),,,,(275.682.838.120),,,,-534709026110.0,,,,-275682838120.0
Phần lãi hoặc lỗ trong Công ty liên doanh liên kết,Phần lãi hoặc lỗ trong Công ty liên doanh liên kết,Phần lãi hoặc lỗ trong Công ty liên doanh liên kết,,,,,,,,,,,,,,,,
Thu nhập khác,Phần lãi hoặc lỗ trong Công ty liên doanh liên kết > Thu nhập khác,Thu nhập khác,,,,9.105.254.803,,,,90.897.495.085,,,,9105254803.0,,,,90897495085.0
Chi phí khác,Phần lãi hoặc lỗ trong Công ty liên doanh liên kết > Chi phí khác,Chi phí khác,,,,(6.631.214.547),,,,(25.395.885.583),,,,-6631214547.0,,,,-25395885583.0
Chi phí thuế TNDN hiện hành,Phần lãi hoặc lỗ trong Công ty liên doanh liên kết > Chi phí thuế TNDN hiện hành,Chi phí thuế TNDN hiện hành,,,,(50.355.245.844),,,,(43.991.472.933),,,,-50355245844.0,,,,-43991472933.0
Chi phí thuế TNDN hoãn lại,Phần lãi hoặc lỗ trong Công ty liên doanh liên kết > Chi phí thuế TNDN hoãn lại,Chi phí thuế TNDN hoãn lại,,,,(1.592.929.337),,,,(4.400.487.945),,,,-1592929337.0,,,,-4400487945.0
Lợi nhuận sau thuế TNDN,Phần lãi hoặc lỗ trong Công ty liên doanh liên kết > Lợi nhuận sau thuế TNDN,Lợi nhuận sau thuế TNDN,,,,572.357.267.708,,,,823.347.506.552,,,,572357267708.0,,,,823347506552.0
