row_label_raw,row_label_full,06.1. Chi phí bán hàng,06.1. Chi phí bán hàng_1,06.1. Chi phí bán hàng_2,numeric__06.1. Chi phí bán hàng_1,numeric__06.1. Chi phí bán hàng_2
"Chi phí nguyên, vật liệu","Chi phí nguyên, vật liệu","Chi phí nguyên, vật liệu",170.015.785,131.766.760,170015785.0,131766760.0
"Chi phí công cụ, dụng cụ","Chi phí công cụ, dụng cụ","Chi phí công cụ, dụng cụ",1.147.793.333,1.767.539.057,1147793333.0,1767539057.0
Chi phí nhân viên,Chi phí nhân viên,Chi phí nhân viên,40.905.125.566,53.038.042.356,40905125566.0,53038042356.0
Chi phí khấu hao,Chi phí khấu hao,Chi phí khấu hao,1.183.642.209,2.642.679.090,1183642209.0,2642679090.0
Chi phí dịch vụ mua ngoài,Chi phí dịch vụ mua ngoài,Chi phí dịch vụ mua ngoài,42.137.128.490,46.913.714.313,42137128490.0,46913714313.0
Chi phí vận chuyển hàng hoá,Chi phí vận chuyển hàng hoá,Chi phí vận chuyển hàng hoá,77.243.858.427,72.782.367.896,77243858427.0,72782367896.0
"Thuế, phí, lệ phí","Thuế, phí, lệ phí","Thuế, phí, lệ phí",1.317.748.614,677.435.147,1317748614.0,677435147.0
Các khoản chi phí QLDN khác,Các khoản chi phí QLDN khác,Các khoản chi phí QLDN khác,35.576.729.125,83.858.888.793,35576729125.0,83858888793.0
Cộng,Cộng,Cộng,199.682.041.549,261.812.433.412,199682041549.0,261812433412.0
06.2. Chi phí quản lý doanh nghiệp,06.2. Chi phí quản lý doanh nghiệp,06.2. Chi phí quản lý doanh nghiệp,Năm 2020,Năm 2019,,
"Chi phí nguyên, vật liệu","06.2. Chi phí quản lý doanh nghiệp > Chi phí nguyên, vật liệu","Chi phí nguyên, vật liệu",,2.545.989,,2545989.0
Chi phí nhân viên,06.2. Chi phí quản lý doanh nghiệp > Chi phí nhân viên,Chi phí nhân viên,84.464.565.260,85.843.020.461,84464565260.0,85843020461.0
"Chi phí công cụ, dụng cụ","06.2. Chi phí quản lý doanh nghiệp > Chi phí công cụ, dụng cụ","Chi phí công cụ, dụng cụ",10.182.663.824,16.037.315.381,10182663824.0,16037315381.0
Chi phí khấu hao,06.2. Chi phí quản lý doanh nghiệp > Chi phí khấu hao,Chi phí khấu hao,12.703.825.255,13.389.740.998,12703825255.0,13389740998.0
Dự phòng nợ phải thu khó đòi,06.2. Chi phí quản lý doanh nghiệp > Dự phòng nợ phải thu khó đòi,Dự phòng nợ phải thu khó đòi,(251.306.166),10.471.583.315,-251306166.0,10471583315.0
Chi phí dịch vụ mua ngoài,06.2. Chi phí quản lý doanh nghiệp > Chi phí dịch vụ mua ngoài,Chi phí dịch vụ mua ngoài,21.635.055.778,24.240.115.578,21635055778.0,24240115578.0
"Thuế, phí, lệ phí","06.2. Chi phí quản lý doanh nghiệp > Thuế, phí, lệ phí","Thuế, phí, lệ phí",1.304.763.177,800.556.787,1304763177.0,800556787.0
Các khoản chi phí QLDN khác,06.2. Chi phí quản lý doanh nghiệp > Các khoản chi phí QLDN khác,Các khoản chi phí QLDN khác,96.516.018.104,76.179.786.739,96516018104.0,76179786739.0
Cộng,06.2. Chi phí quản lý doanh nghiệp > Cộng,Cộng,226.555.585.232,226.964.665.248,226555585232.0,226964665248.0
