row_label_raw,row_label_full,col_0,Giá trị số sách > 31/12/2020 > Giá trị,Giá trị số sách > 31/12/2020 > Dự phòng,Giá trị số sách > 01/01/2020 > Giá trị,Giá trị số sách > 01/01/2020 > Dự phòng,Giá trị hợp lý > 31/12/2020,Giá trị hợp lý > 01/01/2020,numeric__Giá trị số sách > 31/12/2020 > Giá trị,numeric__Giá trị số sách > 31/12/2020 > Dự phòng,numeric__Giá trị số sách > 01/01/2020 > Giá trị,numeric__Giá trị số sách > 01/01/2020 > Dự phòng,numeric__Giá trị hợp lý > 31/12/2020,numeric__Giá trị hợp lý > 01/01/2020
Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,,,,,,
Tiền và các khoản tương đương tiền,Tài sản tài chính > Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,783.217.339.870,,822.987.169.585,,783.217.339.870,822.987.169.585,783217339870.0,,822987169585.0,,783217339870.0,822987169585.0
Phải thu khách hàng,Tài sản tài chính > Phải thu khách hàng,Phải thu khách hàng,1.440.262.277.327,(67.670.567.895),1.402.608.381.286,(67.921.874.061),1.372.591.709.432,1.334.686.507.225,1440262277327.0,-67670567895.0,1402608381286.0,-67921874061.0,1372591709432.0,1334686507225.0
Trả trước cho người bán,Tài sản tài chính > Trả trước cho người bán,Trả trước cho người bán,1.413.282.888.970,,1.221.622.128.381,,1.413.282.888.970,1.221.622.128.381,1413282888970.0,,1221622128381.0,,1413282888970.0,1221622128381.0
Các khoản phải thu khác,Tài sản tài chính > Các khoản phải thu khác,Các khoản phải thu khác,442.255.951.974,,481.755.501.606,,442.255.951.974,481.755.501.606,442255951974.0,,481755501606.0,,442255951974.0,481755501606.0
Đầu tư tài chính ngắn hạn,Tài sản tài chính > Đầu tư tài chính ngắn hạn,Đầu tư tài chính ngắn hạn,1.140.307.114.085,,657.885.346.447,,1.140.307.114.085,657.885.346.447,1140307114085.0,,657885346447.0,,1140307114085.0,657885346447.0
Đầu tư tài chính dài hạn,Tài sản tài chính > Đầu tư tài chính dài hạn,Đầu tư tài chính dài hạn,299.495.000.000,(1.560.299.574),1.147.515.000.000,(1.560.299.574),297.934.700.426,1.145.954.700.426,299495000000.0,-1560299574.0,1147515000000.0,-1560299574.0,297934700426.0,1145954700426.0
Cộng,Tài sản tài chính > Cộng,Cộng,5.518.820.572.226,(69.230.867.469),5.734.373.527.305,(69.482.173.635),5.449.589.704.757,5.664.891.353.670,5518820572226.0,-69230867469.0,5734373527305.0,-69482173635.0,5449589704757.0,5664891353670.0
Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,,,,,,
Phải trả cho người bán,Nợ phải trả tài chính > Phải trả cho người bán,Phải trả cho người bán,1.855.218.770.521,,1.387.412.856.438,,1.855.218.770.521,1.387.412.856.438,1855218770521.0,,1387412856438.0,,1855218770521.0,1387412856438.0
Người mua trả tiền trước,Nợ phải trả tài chính > Người mua trả tiền trước,Người mua trả tiền trước,103.929.507.890,,313.882.115.348,,103.929.507.890,313.882.115.348,103929507890.0,,313882115348.0,,103929507890.0,313882115348.0
Vay và nợ,Nợ phải trả tài chính > Vay và nợ,Vay và nợ,8.377.512.682.752,,7.172.719.319.239,,8.377.512.682.752,7.172.719.319.239,8377512682752.0,,7172719319239.0,,8377512682752.0,7172719319239.0
Phải trả người lao động,Nợ phải trả tài chính > Phải trả người lao động,Phải trả người lao động,52.257.345.266,,47.708.504.774,,52.257.345.266,47.708.504.774,52257345266.0,,47708504774.0,,52257345266.0,47708504774.0
Trái phiếu chuyển đổi,Trái phiếu chuyển đổi,Trái phiếu chuyển đổi,,,,,,,,,,,,
Các khoản phải trả khác,Trái phiếu chuyển đổi > Các khoản phải trả khác,Các khoản phải trả khác,132.790.108.562,,247.496.527.143,,132.790.108.562,247.496.527.143,132790108562.0,,247496527143.0,,132790108562.0,247496527143.0
Cộng,Trái phiếu chuyển đổi > Cộng,Cộng,10.521.708.414.991,,9.169.219.322.942,,10.521.708.414.991,9.169.219.322.942,10521708414991.0,,9169219322942.0,,10521708414991.0,9169219322942.0
