row_label_raw,row_label_full,col_0,31/12/2020 > Giá gốc,31/12/2020 > Giá trị có thể thu hồi,01/01/2020 > Giá gốc,01/01/2020 > Giá trị có thể thu hồi,numeric__31/12/2020 > Giá gốc,numeric__31/12/2020 > Giá trị có thể thu hồi,numeric__01/01/2020 > Giá gốc,numeric__01/01/2020 > Giá trị có thể thu hồi
"+ LLC ""Sata Fish Ltd""","+ LLC ""Sata Fish Ltd""","+ LLC ""Sata Fish Ltd""",10.185.126.750,,10.185.126.750,,10185126750.0,,10185126750.0,
+ Alfredo Foods,+ Alfredo Foods,+ Alfredo Foods,9.254.821.599,,9.254.821.599,,9254821599.0,,9254821599.0,
+ Alliance Seafood Group,+ Alliance Seafood Group,+ Alliance Seafood Group,9.289.716.248,,9.289.716.248,,9289716248.0,,9289716248.0,
+ Lapson International Trading Ltd,+ Lapson International Trading Ltd,+ Lapson International Trading Ltd,7.023.674.404,,7.023.674.404,,7023674404.0,,7023674404.0,
+ Sarl Globe Alliance,+ Sarl Globe Alliance,+ Sarl Globe Alliance,7.246.670.926,,7.246.670.926,,7246670926.0,,7246670926.0,
+ Tian Ye Aquatic Products Co. Ltd,+ Tian Ye Aquatic Products Co. Ltd,+ Tian Ye Aquatic Products Co. Ltd,6.685.438.712,,6.685.438.712,,6685438712.0,,6685438712.0,
+ Công ty TNHH cơ điện tử Quang Huy BK,+ Công ty TNHH cơ điện tử Quang Huy BK,+ Công ty TNHH cơ điện tử Quang Huy BK,2.900.000.000,,2.900.000.000,,2900000000.0,,2900000000.0,
+ Công ty CP SATRA Thái Sơn,+ Công ty CP SATRA Thái Sơn,+ Công ty CP SATRA Thái Sơn,6.974.620.468,,6.974.620.468,,6974620468.0,,6974620468.0,
+ Đối tượng khác,+ Đối tượng khác,+ Đối tượng khác,8.110.498.788,,8.361.804.954,,8110498788.0,,8361804954.0,
Cộng,Cộng,Cộng,67.670.567.895,,67.921.874.061,,67670567895.0,,67921874061.0,
