row_label_raw,row_label_full,"a) Chi phí sản xuất, kinh doanh dở dang dài hạn","a) Chi phí sản xuất, kinh doanh dở dang dài hạn_1","a) Chi phí sản xuất, kinh doanh dở dang dài hạn_2","numeric__a) Chi phí sản xuất, kinh doanh dở dang dài hạn_1","numeric__a) Chi phí sản xuất, kinh doanh dở dang dài hạn_2"
b) Xây dựng cơ bản dở dang,b) Xây dựng cơ bản dở dang,b) Xây dựng cơ bản dở dang,1.036.863.496.844,232.378.343.640,1036863496844.0,232378343640.0
Mua sắm TSCĐ,Mua sắm TSCĐ,Mua sắm TSCĐ,74.818.127.231,,74818127231.0,
+ Kho lạnh 04,+ Kho lạnh 04,+ Kho lạnh 04,29.606.634.150,,29606634150.0,
+ Dây chuyển Shortening & Margarine,+ Dây chuyển Shortening & Margarine,+ Dây chuyển Shortening & Margarine,44.960.714.000,,44960714000.0,
+ Khác,+ Khác,+ Khác,250.779.081,,250779081.0,
Xây dựng cơ bản,Xây dựng cơ bản,Xây dựng cơ bản,962.045.369.613,232.378.343.640,962045369613.0,232378343640.0
- Đường GTGT BK3,- Đường GTGT BK3,- Đường GTGT BK3,1.147.923.083,1.147.923.083,1147923083.0,1147923083.0
- Khu dân cư Hoà Bình,- Khu dân cư Hoà Bình,- Khu dân cư Hoà Bình,1.653.591.160,1.653.591.160,1653591160.0,1653591160.0
- Khu văn phòng và nhà ở cao tầng - HCM,- Khu văn phòng và nhà ở cao tầng - HCM,- Khu văn phòng và nhà ở cao tầng - HCM,47.387.782.570,47.380.200.000,47387782570.0,47380200000.0
- Khu Đô Thị Mỹ Tho,- Khu Đô Thị Mỹ Tho,- Khu Đô Thị Mỹ Tho,882.034.099,882.034.099,882034099.0,882034099.0
- Khu Dân cư Cà Mau,- Khu Dân cư Cà Mau,- Khu Dân cư Cà Mau,15.960.163.500,15.960.163.500,15960163500.0,15960163500.0
- Kho lạnh 04,- Kho lạnh 04,- Kho lạnh 04,124.677.753.440,,124677753440.0,
- Dự án năng lượng mặt trời Tại Huyện Ea H'Leo - Đắk Lắk,- Dự án năng lượng mặt trời Tại Huyện Ea H'Leo - Đắk Lắk,- Dự án năng lượng mặt trời Tại Huyện Ea H'Leo - Đắk Lắk,174.000.000,,174000000.0,
- Nhà máy điện năng lượng mặt trời - Tịnh Biên An Giang (giai đoạn 2),- Nhà máy điện năng lượng mặt trời - Tịnh Biên An Giang (giai đoạn 2),- Nhà máy điện năng lượng mặt trời - Tịnh Biên An Giang (giai đoạn 2),254.022.644.206,68.026.492.331,254022644206.0,68026492331.0
- Chi phí đầu tư xây dựng Khu Du Lịch Trà Sư,- Chi phí đầu tư xây dựng Khu Du Lịch Trà Sư,- Chi phí đầu tư xây dựng Khu Du Lịch Trà Sư,37.956.886.790,,37956886790.0,
- Khu đô thị Bình Long,- Khu đô thị Bình Long,- Khu đô thị Bình Long,401.317.925.000,,401317925000.0,
- Xây dựng trụ sở làm việc 12 tầng,- Xây dựng trụ sở làm việc 12 tầng,- Xây dựng trụ sở làm việc 12 tầng,28.487.900.000,,28487900000.0,
- Khu Dân Cu Lam Sơn Sao Vàng,- Khu Dân Cu Lam Sơn Sao Vàng,- Khu Dân Cu Lam Sơn Sao Vàng,13.700.000.000,,13700000000.0,
- Công trình khác,- Công trình khác,- Công trình khác,34.676.765.765,97.327.939.467,34676765765.0,97327939467.0
Cộng,Cộng,Cộng,1.036.863.496.844,232.378.343.640,1036863496844.0,232378343640.0
