row_label_raw,row_label_full,05. PHẢI THU KHÁC,31/12/2020 > Giá trị,31/12/2020 > Dự phòng,01/01/2020 > Giá trị,01/01/2020 > Dự phòng,numeric__31/12/2020 > Giá trị,numeric__31/12/2020 > Dự phòng,numeric__01/01/2020 > Giá trị,numeric__01/01/2020 > Dự phòng
a) Ngắn hạn,a) Ngắn hạn,a) Ngắn hạn,411.220.840.966,,457.554.414.473,,411220840966.0,,457554414473.0,
Tạm ứng,Tạm ứng,Tạm ứng,186.789.145.305,,189.931.620.605,,186789145305.0,,189931620605.0,
Phải thu người lao động,Phải thu người lao động,Phải thu người lao động,,,,,,,,
"Ký cược, ký quỹ","Phải thu người lao động > Ký cược, ký quỹ","Ký cược, ký quỹ",39.549.130.000,,7.318.000.000,,39549130000.0,,7318000000.0,
Các khoản chỉ hộ,Các khoản chỉ hộ,Các khoản chỉ hộ,,,,,,,,
Phải thu khác,Các khoản chỉ hộ > Phải thu khác,Phải thu khác,184.882.565.661,,260.304.793.868,,184882565661.0,,260304793868.0,
b) Dài hạn,Các khoản chỉ hộ > b) Dài hạn,b) Dài hạn,31.035.111.008,,24.201.087.133,,31035111008.0,,24201087133.0,
Tạm ứng,Tạm ứng,Tạm ứng,,,,,,,,
"Ký cược, ký quỹ","Tạm ứng > Ký cược, ký quỹ","Ký cược, ký quỹ",29.352.284.008,,16.118.260.133,,29352284008.0,,16118260133.0,
Phải thu khác,Tạm ứng > Phải thu khác,Phải thu khác,1.682.827.000,,8.082.827.000,,1682827000.0,,8082827000.0,
Cộng,Tạm ứng > Cộng,Cộng,442.255.951.974,,481.755.501.606,,442255951974.0,,481755501606.0,
