row_label_raw,row_label_full,17. CHI PHÍ PHẢI TRẢ,17. CHI PHÍ PHẢI TRẢ_1,17. CHI PHÍ PHẢI TRẢ_2,numeric__17. CHI PHÍ PHẢI TRẢ_1,numeric__17. CHI PHÍ PHẢI TRẢ_2
,,,31/12/2020,01/01/2020,,
a) Ngắn hạn,a) Ngắn hạn,a) Ngắn hạn,35.073.534.113,19.076.242.654,35073534113.0,19076242654.0
Chi phi trích trước tạm tính giá vốn hàng hóa,Chi phi trích trước tạm tính giá vốn hàng hóa,Chi phi trích trước tạm tính giá vốn hàng hóa,33.275.556.889,17.500.108.054,33275556889.0,17500108054.0
Các khoản khác,Các khoản khác,Các khoản khác,1.797.977.224,1.576.134.600,1797977224.0,1576134600.0
b) Dài hạn,b) Dài hạn,b) Dài hạn,,,,
Cộng,b) Dài hạn > Cộng,Cộng,35.073.534.113,19.076.242.654,35073534113.0,19076242654.0
18. PHẢI TRẢ KHÁC,18. PHẢI TRẢ KHÁC,18. PHẢI TRẢ KHÁC,18. PHẢI TRẢ KHÁC,18. PHẢI TRẢ KHÁC,,
,,,31/12/2020,01/01/2020,,
a) Ngắn hạn,18. PHẢI TRẢ KHÁC > a) Ngắn hạn,a) Ngắn hạn,131.470.108.562,245.276.527.143,131470108562.0,245276527143.0
Tài sản thừa chờ giải quyết,Tài sản thừa chờ giải quyết,Tài sản thừa chờ giải quyết,,,,
Kinh phí công đoàn,Tài sản thừa chờ giải quyết > Kinh phí công đoàn,Kinh phí công đoàn,2.739.067.199,2.304.287.102,2739067199.0,2304287102.0
Bảo hiểm xã hội,Tài sản thừa chờ giải quyết > Bảo hiểm xã hội,Bảo hiểm xã hội,484.060.000,9.646.446,484060000.0,9646446.0
Bảo hiểm y tế,Tài sản thừa chờ giải quyết > Bảo hiểm y tế,Bảo hiểm y tế,5.850.000,1.045.315,5850000.0,1045315.0
Bảo hiểm thất nghiệp,Tài sản thừa chờ giải quyết > Bảo hiểm thất nghiệp,Bảo hiểm thất nghiệp,21.478.000,1.415.375,21478000.0,1415375.0
"Nhận ký quỹ, ký cược ngắn hạn","Tài sản thừa chờ giải quyết > Nhận ký quỹ, ký cược ngắn hạn","Nhận ký quỹ, ký cược ngắn hạn",15.660.117.500,9.401.117.500,15660117500.0,9401117500.0
"Cổ tức, lợi nhuận phải trả","Tài sản thừa chờ giải quyết > Cổ tức, lợi nhuận phải trả","Cổ tức, lợi nhuận phải trả",1.024.359.000,1.024.359.000,1024359000.0,1024359000.0
"Các khoản phải trả, phải nộp khác","Tài sản thừa chờ giải quyết > Các khoản phải trả, phải nộp khác","Các khoản phải trả, phải nộp khác",111.535.176.863,232.534.656.405,111535176863.0,232534656405.0
Võ Đức Thảo,Tài sản thừa chờ giải quyết > Võ Đức Thảo,Võ Đức Thảo,2.999.051.047,2.998.268.997,2999051047.0,2998268997.0
"Các khoản phải trả, phải nộp khác","Tài sản thừa chờ giải quyết > Các khoản phải trả, phải nộp khác","Các khoản phải trả, phải nộp khác",108.536.125.816,229.386.387.408,108536125816.0,229386387408.0
b) Dài hạn,Tài sản thừa chờ giải quyết > b) Dài hạn,b) Dài hạn,1.320.000.000,2.220.000.000,1320000000.0,2220000000.0
"Nhận ký quỹ, ký cược dài hạn","Tài sản thừa chờ giải quyết > Nhận ký quỹ, ký cược dài hạn","Nhận ký quỹ, ký cược dài hạn",1.320.000.000,2.220.000.000,1320000000.0,2220000000.0
"Các khoản phải trả, phải nộp khác","Các khoản phải trả, phải nộp khác","Các khoản phải trả, phải nộp khác",,,,
Cộng,"Các khoản phải trả, phải nộp khác > Cộng",Cộng,132.790.108.562,247.496.527.143,132790108562.0,247496527143.0
c) Số nợ quá hạn chưa thanh toán,c) Số nợ quá hạn chưa thanh toán,c) Số nợ quá hạn chưa thanh toán,c) Số nợ quá hạn chưa thanh toán,c) Số nợ quá hạn chưa thanh toán,,
19. DOANH THU CHU'A THỰC HIỆN,19. DOANH THU CHU'A THỰC HIỆN,19. DOANH THU CHU'A THỰC HIỆN,19. DOANH THU CHU'A THỰC HIỆN,19. DOANH THU CHU'A THỰC HIỆN,,
,,,31/12/2020,01/01/2020,,
a) Ngắn hạn,19. DOANH THU CHU'A THỰC HIỆN > a) Ngắn hạn,a) Ngắn hạn,8.704.601.693,7.163.525.936,8704601693.0,7163525936.0
Doanh thu nhận trước,Doanh thu nhận trước,Doanh thu nhận trước,,,,
Doanh thu từ chương trình khách hàng truyền thống,Doanh thu nhận trước > Doanh thu từ chương trình khách hàng truyền thống,Doanh thu từ chương trình khách hàng truyền thống,8.704.601.693,7.163.525.936,8704601693.0,7163525936.0
Các khoản doanh thu chưa thực hiện khác,Các khoản doanh thu chưa thực hiện khác,Các khoản doanh thu chưa thực hiện khác,,,,
b) Dài hạn,Các khoản doanh thu chưa thực hiện khác > b) Dài hạn,b) Dài hạn,12.077.519.372,11.385.882.076,12077519372.0,11385882076.0
Doanh thu nhận trước,Doanh thu nhận trước,Doanh thu nhận trước,,,,
Doanh thu từ chương trình khách hàng truyền thống,Doanh thu nhận trước > Doanh thu từ chương trình khách hàng truyền thống,Doanh thu từ chương trình khách hàng truyền thống,12.077.519.372,11.385.882.076,12077519372.0,11385882076.0
Các khoản doanh thu chưa thực hiện khác,Các khoản doanh thu chưa thực hiện khác,Các khoản doanh thu chưa thực hiện khác,,,,
Cộng,Các khoản doanh thu chưa thực hiện khác > Cộng,Cộng,20.782.121.065,18.549.408.012,20782121065.0,18549408012.0
