row_label_raw,row_label_full,HÀNG TÔN KHO,31/12/2020,31/12/2020_1,01/01/2020,01/01/2020_1,numeric__31/12/2020,numeric__31/12/2020_1,numeric__01/01/2020,numeric__01/01/2020_1
HÀNG TÔN KHO,HÀNG TÔN KHO,HÀNG TÔN KHO,Giá gốc,Dự phòng,Giá gốc,Dự phòng,,,,
- Hàng đang đi đường,- Hàng đang đi đường,- Hàng đang đi đường,,,,,,,,
"- Nguyên liệu, vật liệu","- Hàng đang đi đường > - Nguyên liệu, vật liệu","- Nguyên liệu, vật liệu",120.821.863.071,,153.041.653.635,,120821863071.0,,153041653635.0,
"- Công cụ, dụng cụ","- Hàng đang đi đường > - Công cụ, dụng cụ","- Công cụ, dụng cụ",4.589.846.761,,3.662.645.859,,4589846761.0,,3662645859.0,
- Chi phí sản xuất kinh doanhđở dang,- Hàng đang đi đường > - Chi phí sản xuất kinh doanhđở dang,- Chi phí sản xuất kinh doanhđở dang,291.093.240.205,,278.282.807.942,,291093240205.0,,278282807942.0,
- Thành phẩm,- Hàng đang đi đường > - Thành phẩm,- Thành phẩm,1.172.761.933.401,(49.506.058.883),1.289.253.126.790,(1.756.630.997),1172761933401.0,-49506058883.0,1289253126790.0,-1756630997.0
- Hàng hóa,- Hàng đang đi đường > - Hàng hóa,- Hàng hóa,1.084.841.270.579,,1.042.305.179.056,(15.555.000.000),1084841270579.0,,1042305179056.0,-15555000000.0
- Hàng gửi đi bán,- Hàng đang đi đường > - Hàng gửi đi bán,- Hàng gửi đi bán,21.288.735.278,,30.640.108.309,,21288735278.0,,30640108309.0,
- Hàng hóa bắt động sản,- Hàng đang đi đường > - Hàng hóa bắt động sản,- Hàng hóa bắt động sản,395.801.157.942,,119.342.895.693,,395801157942.0,,119342895693.0,
Cộng,- Hàng đang đi đường > Cộng,Cộng,3.091.198.047.237,(49.506.058.883),2.916.528.417.284,(17.311.630.997),3091198047237.0,-49506058883.0,2916528417284.0,-17311630997.0
