row_label_raw,row_label_full,Chỉ tiêu,"Nhà cửa, vật kiến trúc","Máy móc, thiết bị","Phương tiện vận tải,truyền dẫn",Thiết bị quản lý,Cộng,"numeric__Nhà cửa, vật kiến trúc","numeric__Máy móc, thiết bị","numeric__Phương tiện vận tải,truyền dẫn",numeric__Thiết bị quản lý,numeric__Cộng
I. Nguyên giá,I. Nguyên giá,I. Nguyên giá,I. Nguyên giá,I. Nguyên giá,I. Nguyên giá,I. Nguyên giá,I. Nguyên giá,,,,,
1. Số dư đầu năm,I. Nguyên giá > 1. Số dư đầu năm,1. Số dư đầu năm,24.753.843.683.964,22.383.257.596,60.224.436.604,26.695.715.747,24.863.147.093.911,24753843683964.0,22383257596.0,60224436604.0,26695715747.0,24863147093911.0
2. Số tăng trong năm,I. Nguyên giá > 2. Số tăng trong năm,2. Số tăng trong năm,5.628.476.919.272,152.000.000,-,58.090.909,5.628.687.010.181,5628476919272.0,152000000.0,,58090909.0,5628687010181.0
- Mua trong năm,I. Nguyên giá > - Mua trong năm,- Mua trong năm,-,152.000.000,-,58.090.909,210.090.909,,152000000.0,,58090909.0,210090909.0
- Đầu tư XDCB hoàn thành,I. Nguyên giá > - Đầu tư XDCB hoàn thành,- Đầu tư XDCB hoàn thành,5.627.197.528.364,-,-,-,5.627.197.528.364,5627197528364.0,,,,5627197528364.0
- Tăng khác,I. Nguyên giá > - Tăng khác,- Tăng khác,1.279.390.908,-,-,-,1.279.390.908,1279390908.0,,,,1279390908.0
3. Số giảm trong năm,I. Nguyên giá > 3. Số giảm trong năm,3. Số giảm trong năm,359.760.215.934,6.670.478.608,3.559.135.285,3.703.070.284,373.692.900.111,359760215934.0,6670478608.0,3559135285.0,3703070284.0,373692900111.0
- Chuyển sang BDS đầu tư,- Chuyển sang BDS đầu tư,- Chuyển sang BDS đầu tư,-,-,-,-,-,,,,,
"- Thanh lý, nhượng bán","- Chuyển sang BDS đầu tư > - Thanh lý, nhượng bán","- Thanh lý, nhượng bán",18.335.168.721,6.630.589.108,2.942.839.831,3.079.864.330,30.988.461.990,18335168721.0,6630589108.0,2942839831.0,3079864330.0,30988461990.0
- Giảm khác,- Chuyển sang BDS đầu tư > - Giảm khác,- Giảm khác,341.425.047.213,39.889.500,616.295.454,623.205.954,342.704.438.121,341425047213.0,39889500.0,616295454.0,623205954.0,342704438121.0
4. Số dư cuối năm,- Chuyển sang BDS đầu tư > 4. Số dư cuối năm,4. Số dư cuối năm,30.022.560.387.302,15.864.778.988,56.665.301.319,23.050.736.372,30.118.141.203.981,30022560387302.0,15864778988.0,56665301319.0,23050736372.0,30118141203981.0
II. Giá trị hao mòn luỹ kế,II. Giá trị hao mòn luỹ kế,II. Giá trị hao mòn luỹ kế,II. Giá trị hao mòn luỹ kế,II. Giá trị hao mòn luỹ kế,II. Giá trị hao mòn luỹ kế,II. Giá trị hao mòn luỹ kế,II. Giá trị hao mòn luỹ kế,,,,,
1. Số dư đầu năm,II. Giá trị hao mòn luỹ kế > 1. Số dư đầu năm,1. Số dư đầu năm,1.095.790.748.930,14.701.489.655,46.222.963.360,15.101.830.740,1.171.817.032.685,1095790748930.0,14701489655.0,46222963360.0,15101830740.0,1171817032685.0
2. Khấu hao trong năm,II. Giá trị hao mòn luỹ kế > 2. Khấu hao trong năm,2. Khấu hao trong năm,250.547.092.927,1.709.292.534,3.441.168.999,3.691.553.297,259.389.107.757,250547092927.0,1709292534.0,3441168999.0,3691553297.0,259389107757.0
- Khấu hao trong năm,II. Giá trị hao mòn luỹ kế > - Khấu hao trong năm,- Khấu hao trong năm,250.547.092.927,1.709.292.534,3.441.168.999,3.691.553.297,259.389.107.757,250547092927.0,1709292534.0,3441168999.0,3691553297.0,259389107757.0
- Tăng khác,- Tăng khác,- Tăng khác,-,-,-,-,-,,,,,
3. Giảm trong năm,- Tăng khác > 3. Giảm trong năm,3. Giảm trong năm,6.149.606.581,4.876.698.382,2.919.238.137,1.967.691.090,15.913.234.190,6149606581.0,4876698382.0,2919238137.0,1967691090.0,15913234190.0
"- Thanh lý, nhượng bán","- Tăng khác > - Thanh lý, nhượng bán","- Thanh lý, nhượng bán",6.149.606.581,4.876.698.382,2.919.238.137,1.967.691.090,15.913.234.190,6149606581.0,4876698382.0,2919238137.0,1967691090.0,15913234190.0
- Giảm khác,- Giảm khác,- Giảm khác,-,-,-,-,-,,,,,
4. Số dư cuối năm,- Giảm khác > 4. Số dư cuối năm,4. Số dư cuối năm,1.340.188.235.276,11.534.083.807,46.744.894.222,16.825.692.947,1.415.292.906.252,1340188235276.0,11534083807.0,46744894222.0,16825692947.0,1415292906252.0
III. Giá trị còn lại,III. Giá trị còn lại,III. Giá trị còn lại,III. Giá trị còn lại,III. Giá trị còn lại,III. Giá trị còn lại,III. Giá trị còn lại,III. Giá trị còn lại,,,,,
1. Tại ngày đầu năm,III. Giá trị còn lại > 1. Tại ngày đầu năm,1. Tại ngày đầu năm,23.658.052.935.034,7.681.767.941,14.001.473.244,11.593.885.007,23.691.330.061.226,23658052935034.0,7681767941.0,14001473244.0,11593885007.0,23691330061226.0
2. Tại ngày cuối năm,III. Giá trị còn lại > 2. Tại ngày cuối năm,2. Tại ngày cuối năm,28.682.372.152.026,4.330.695.181,9.920.407.097,6.225.043.425,28.702.848.297.729,28682372152026.0,4330695181.0,9920407097.0,6225043425.0,28702848297729.0
