row_label_raw,row_label_full,Bên liên quan,Mối quan hệ,Nội dung nghiệp vụ,31/12/2021,01/01/2021,numeric__Mối quan hệ,numeric__Nội dung nghiệp vụ,numeric__31/12/2021,numeric__01/01/2021
- PHẢI THU KHÁCH HÀNG NGẮN HẠN,- PHẢI THU KHÁCH HÀNG NGẮN HẠN,- PHẢI THU KHÁCH HÀNG NGẮN HẠN,- PHẢI THU KHÁCH HÀNG NGẮN HẠN,- PHẢI THU KHÁCH HÀNG NGẮN HẠN,- PHẢI THU KHÁCH HÀNG NGẮN HẠN,- PHẢI THU KHÁCH HÀNG NGẮN HẠN,,,,
Công ty Cổ phần Đầu tư và Xây dựng ICV Việt Nam,- PHẢI THU KHÁCH HÀNG NGẮN HẠN > Công ty Cổ phần Đầu tư và Xây dựng ICV Việt Nam,Công ty Cổ phần Đầu tư và Xây dựng ICV Việt Nam,Công ty liên kết,Phải thu,-,1.324.856.876,,,,1324856876.0
Công ty cổ phần tư vấn xây dựng A2Z,- PHẢI THU KHÁCH HÀNG NGẮN HẠN > Công ty cổ phần tư vấn xây dựng A2Z,Công ty cổ phần tư vấn xây dựng A2Z,Công ty có liên quan của Thành viên BKS Phan Thị Mai,Phải thu cho thuê xe,420.000.000,-,,,420000000.0,
Công ty cổ phần tư vấn xây dựng A2Z,- PHẢI THU KHÁCH HÀNG NGẮN HẠN > Công ty cổ phần tư vấn xây dựng A2Z,Công ty cổ phần tư vấn xây dựng A2Z,Công ty có liên quan của Thành viên BKS Phan Thị Mai,Phải thu cho thuê nhà,-,287.557.252,,,,287557252.0
Công ty cổ phần tư vấn xây dựng A2Z,- PHẢI THU KHÁCH HÀNG NGẮN HẠN > Công ty cổ phần tư vấn xây dựng A2Z,Công ty cổ phần tư vấn xây dựng A2Z,Công ty có liên quan của Thành viên BKS Phan Thị Mai,Phải thu cung cấp dịch vụ,6.236.906.673,2.506.939.600,,,6236906673.0,2506939600.0
Công ty cổ phần tư vấn xây dựng A2Z,- PHẢI THU KHÁCH HÀNG NGẮN HẠN > Công ty cổ phần tư vấn xây dựng A2Z,Công ty cổ phần tư vấn xây dựng A2Z,Công ty có liên quan của Thành viên BKS Phan Thị Mai,Cộng,6.656.906.673,2.794.496.852,,,6656906673.0,2794496852.0
Công ty cổ phần tư vấn xây dựng Hoàng Long,- PHẢI THU KHÁCH HÀNG NGẮN HẠN > Công ty cổ phần tư vấn xây dựng Hoàng Long,Công ty cổ phần tư vấn xây dựng Hoàng Long,"Công ty có liên quan của TGD, Thành viên HĐQT Nguyễn Quang Huy",Phải thu thuê xe,594.000.000,120.000.000,,,594000000.0,120000000.0
Công ty cổ phần tư vấn xây dựng Hoàng Long,- PHẢI THU KHÁCH HÀNG NGẮN HẠN > Công ty cổ phần tư vấn xây dựng Hoàng Long,Công ty cổ phần tư vấn xây dựng Hoàng Long,"Công ty có liên quan của TGD, Thành viên HĐQT Nguyễn Quang Huy",Phải thu cho thuê văn phòng,228.000.000,228.000.000,,,228000000.0,228000000.0
Công ty cổ phần tư vấn xây dựng Hoàng Long,- PHẢI THU KHÁCH HÀNG NGẮN HẠN > Công ty cổ phần tư vấn xây dựng Hoàng Long,Công ty cổ phần tư vấn xây dựng Hoàng Long,"Công ty có liên quan của TGD, Thành viên HĐQT Nguyễn Quang Huy",Cộng,822.000.000,348.000.000,,,822000000.0,348000000.0
Công ty cổ phần BOT Trung Lương - Mỹ Thuận,Công ty cổ phần BOT Trung Lương - Mỹ Thuận,Công ty cổ phần BOT Trung Lương - Mỹ Thuận,"Công ty có liên quan của Chủ tịch HĐQT Hồ Minh Hoàng, PCT HĐQT Nguyễn Tấn Đông, Trường BKS Nguyễn Minh Giang",Phải thu thuê xe,,,,,,
Công ty cổ phần BOT Trung Lương - Mỹ Thuận,Công ty cổ phần BOT Trung Lương - Mỹ Thuận > Công ty cổ phần BOT Trung Lương - Mỹ Thuận,Công ty cổ phần BOT Trung Lương - Mỹ Thuận,"Công ty có liên quan của Chủ tịch HĐQT Hồ Minh Hoàng, PCT HĐQT Nguyễn Tấn Đông, Trường BKS Nguyễn Minh Giang",,270.000.000,180.000.000,,,270000000.0,180000000.0
Công ty cổ phần BOT Trung Lương - Mỹ Thuận,Công ty cổ phần BOT Trung Lương - Mỹ Thuận > Công ty cổ phần BOT Trung Lương - Mỹ Thuận,Công ty cổ phần BOT Trung Lương - Mỹ Thuận,"Công ty có liên quan của Chủ tịch HĐQT Hồ Minh Hoàng, PCT HĐQT Nguyễn Tấn Đông, Trường BKS Nguyễn Minh Giang",Cộng,270.000.000,180.000.000,,,270000000.0,180000000.0
