row_label_raw,row_label_full,col_0,Vốn góp của CSH,Thặng dư vốn cổ phần,Quỹ đầu tư phát triển,Lợi nhuận chưa phân phối,Nguồn kinh phí và quỹ khác,Lợi ích cổ đông không kiểm soát,Cộng,numeric__Vốn góp của CSH,numeric__Thặng dư vốn cổ phần,numeric__Quỹ đầu tư phát triển,numeric__Lợi nhuận chưa phân phối,numeric__Nguồn kinh phí và quỹ khác,numeric__Lợi ích cổ đông không kiểm soát,numeric__Cộng
Số dư năm trước,Số dư năm trước,Số dư năm trước,2.270.090.900.000,-,3.200.097.043,209.068.996.126,3.452.924.767.484,1.048.278.923.830,6.983.563.684.483,2270090900000.0,,3200097043.0,209068996126.0,3452924767484.0,1048278923830.0,6983563684483.0
Tăng vốn trong năm trước,Tăng vốn trong năm trước,Tăng vốn trong năm trước,403.750.000.000,-,-,-,-,1.808.581.540,405.558.581.540,403750000000.0,,,,,1808581540.0,405558581540.0
Lãi trong năm trước,Lãi trong năm trước,Lãi trong năm trước,-,-,-,137.187.847.817,-,38.376.491.377,175.564.339.194,,,,137187847817.0,,38376491377.0,175564339194.0
Trich quỹ từ lợi nhuận,Trich quỹ từ lợi nhuận,Trich quỹ từ lợi nhuận,-,-,1.651.224.644,-,-,-,1.651.224.644,,,1651224644.0,,,,1651224644.0
Tăng khác,Tăng khác,Tăng khác,-,-,-,-,-,58.577.966.643,58.577.966.643,,,,,,58577966643.0,58577966643.0
Giảm khác,Giảm khác,Giảm khác,-,(208.000.000),-,(58.577.966.643),(181.152.454.682),(523.270.002),(240.461.691.327),,-208000000.0,,-58577966643.0,-181152454682.0,-523270002.0,-240461691327.0
Số dư đầu năm nay,Số dư đầu năm nay,Số dư đầu năm nay,2.673.840.900.000,(208.000.000),4.851.321.687,287.678.877.300,3.271.772.312.802,1.146.518.693.388,7.384.454.105.177,2673840900000.0,-208000000.0,4851321687.0,287678877300.0,3271772312802.0,1146518693388.0,7384454105177.0
Tăng vốn trong năm nay,Tăng vốn trong năm nay,Tăng vốn trong năm nay,-,-,-,-,-,-,-,,,,,,,
Lãi trong năm này,Tăng vốn trong năm nay > Lãi trong năm này,Lãi trong năm này,-,-,-,268.873.236.620,-,21.773.948.707,290.647.185.327,,,,268873236620.0,,21773948707.0,290647185327.0
Tăng khác,Tăng vốn trong năm nay > Tăng khác,Tăng khác,-,-,-,-,1.036.000.000,-,1.036.000.000,,,,,1036000000.0,,1036000000.0
Số dư cuối kỳ này,Tăng vốn trong năm nay > Số dư cuối kỳ này,Số dư cuối kỳ này,2.673.840.900.000,(208.000.000),4.851.321.687,556.552.113.920,3.272.808.312.802,1.168.292.642.095,7.676.137.290.504,2673840900000.0,-208000000.0,4851321687.0,556552113920.0,3272808312802.0,1168292642095.0,7676137290504.0
