row_label_raw,row_label_full,col_0,Giá trị,Số có khả năng trả nợ,Giá trị_1,Số có khả năng trả nợ_1,numeric__Giá trị,numeric__Số có khả năng trả nợ,numeric__Giá trị_1,numeric__Số có khả năng trả nợ_1
a) Ngắn hạn,a) Ngắn hạn,a) Ngắn hạn,1.129.432.579.788,1.129.432.579.788,1.066.861.291.201,1.066.861.291.201,1129432579788.0,1129432579788.0,1066861291201.0,1066861291201.0
Bên Khác,Bên Khác,Bên Khác,691.075.166.887,691.075.166.887,522.807.229.996,522.807.229.996,691075166887.0,691075166887.0,522807229996.0,522807229996.0
Công ty cổ phần tập đoàn EMTC3,Công ty cổ phần tập đoàn EMTC3,Công ty cổ phần tập đoàn EMTC3,10.000.000,10.000.000,15.344.365.177,15.344.365.177,10000000.0,10000000.0,15344365177.0,15344365177.0
Công ty Cổ phần Xây dựng Đèo cả (Tên cũ: Công ty CP ĐTXD Hải Thạch),Công ty Cổ phần Xây dựng Đèo cả (Tên cũ: Công ty CP ĐTXD Hải Thạch),Công ty Cổ phần Xây dựng Đèo cả (Tên cũ: Công ty CP ĐTXD Hải Thạch),24.473.155.816,24.473.155.816,-,-,24473155816.0,24473155816.0,,
Công ty TNHH Hòa Hiệp,Công ty TNHH Hòa Hiệp,Công ty TNHH Hòa Hiệp,56.746.314.256,56.746.314.256,47.652.786.937,47.652.786.937,56746314256.0,56746314256.0,47652786937.0,47652786937.0
Công ty TNHH Xây dựng Mỹ Đà,Công ty TNHH Xây dựng Mỹ Đà,Công ty TNHH Xây dựng Mỹ Đà,75.356.917.682,75.356.917.682,39.017.659.104,39.017.659.104,75356917682.0,75356917682.0,39017659104.0,39017659104.0
Công ty Cổ phần LICOGI 16,Công ty Cổ phần LICOGI 16,Công ty Cổ phần LICOGI 16,126.120.568.337,126.120.568.337,125.106.781.619,125.106.781.619,126120568337.0,126120568337.0,125106781619.0,125106781619.0
Công ty TNHH MTV Xây dựng 470,Công ty TNHH MTV Xây dựng 470,Công ty TNHH MTV Xây dựng 470,34.549.076.453,34.549.076.453,11.245.075.350,11.245.075.350,34549076453.0,34549076453.0,11245075350.0,11245075350.0
Công ty TNHH Xây dựng Tổng hợp Đồng Hới,Công ty TNHH Xây dựng Tổng hợp Đồng Hới,Công ty TNHH Xây dựng Tổng hợp Đồng Hới,24.033.539.459,24.033.539.459,3.342.365.050,3.342.365.050,24033539459.0,24033539459.0,3342365050.0,3342365050.0
Công ty Cổ phần Thương mại và Xây dựng Hoàng Long,Công ty Cổ phần Thương mại và Xây dựng Hoàng Long,Công ty Cổ phần Thương mại và Xây dựng Hoàng Long,6.605.075.302,6.605.075.302,22.619.448.065,22.619.448.065,6605075302.0,6605075302.0,22619448065.0,22619448065.0
