row_label_raw,row_label_full,a) Tài sản tài chính,Giá trị sổ sách > 31/12/2021 > Giá trị,Giá trị sổ sách > 31/12/2021 > Dự phòng,Giá trị sổ sách > 01/01/2021 > Giá trị,Giá trị sổ sách > 01/01/2021 > Dự phòng,Giá trị hợp lý > 31/12/2021,Giá trị hợp lý > 01/01/2021,numeric__Giá trị sổ sách > 31/12/2021 > Giá trị,numeric__Giá trị sổ sách > 31/12/2021 > Dự phòng,numeric__Giá trị sổ sách > 01/01/2021 > Giá trị,numeric__Giá trị sổ sách > 01/01/2021 > Dự phòng,numeric__Giá trị hợp lý > 31/12/2021,numeric__Giá trị hợp lý > 01/01/2021
Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,262.383.481.328,-,276.956.612.840,-,262.383.481.328,276.956.612.840,262383481328.0,,276956612840.0,,262383481328.0,276956612840.0
Phải thu khách hàng,Phải thu khách hàng,Phải thu khách hàng,404.339.772.954,(11.035.892.482),41.264.674.059,(11.035.892.482),393.303.880.472,30.228.781.577,404339772954.0,-11035892482.0,41264674059.0,-11035892482.0,393303880472.0,30228781577.0
Trả trước cho người bán,Trả trước cho người bán,Trả trước cho người bán,270.344.864.920,(1.301.620.413),366.991.300.016,(1.303.951.913),269.043.244.507,365.687.348.103,270344864920.0,-1301620413.0,366991300016.0,-1303951913.0,269043244507.0,365687348103.0
Phải thu về cho vay,Phải thu về cho vay,Phải thu về cho vay,1.000.000.000,-,-,-,-,-,1000000000.0,,,,,
Các khoản phải thu khác,Các khoản phải thu khác,Các khoản phải thu khác,341.992.963.056,(873.033.836),429.271.174.391,(1.032.556.836),341.119.929.220,428.238.617.555,341992963056.0,-873033836.0,429271174391.0,-1032556836.0,341119929220.0,428238617555.0
Đầu tư tài chính ngắn hạn,Đầu tư tài chính ngắn hạn,Đầu tư tài chính ngắn hạn,70.208.972.303,-,-,-,70.208.972.303,-,70208972303.0,,,,70208972303.0,
Đầu tư tài chính dài hạn,Đầu tư tài chính dài hạn,Đầu tư tài chính dài hạn,478.373.903.946,-,456.987.446.758,-,478.373.903.946,456.987.446.758,478373903946.0,,456987446758.0,,478373903946.0,456987446758.0
Cộng,Cộng,Cộng,1.828.643.958.507,(13.210.546.731),1.571.471.208.064,(13.372.401.231),1.814.433.411.776,1.558.098.806.833,1828643958507.0,-13210546731.0,1571471208064.0,-13372401231.0,1814433411776.0,1558098806833.0
b) Nợ phải trả tài chính,b) Nợ phải trả tài chính,b) Nợ phải trả tài chính,Giá trị sổ sách,Giá trị sổ sách,Giá trị sổ sách,Giá trị sổ sách,Giá trị hợp lý,Giá trị hợp lý,,,,,,
b) Nợ phải trả tài chính,b) Nợ phải trả tài chính,b) Nợ phải trả tài chính,31/12/2021,31/12/2021,01/01/2021,01/01/2021,31/12/2021,01/01/2021,,,,,,
b) Nợ phải trả tài chính,b) Nợ phải trả tài chính,b) Nợ phải trả tài chính,Giá trị,Dự phòng,Giá trị,Dự phòng,,,,,,,,
Phải trả cho người bán,b) Nợ phải trả tài chính > Phải trả cho người bán,Phải trả cho người bán,1.580.798.650.818,-,1.491.266.846.996,-,1.580.798.650.818,1.491.266.846.996,1580798650818.0,,1491266846996.0,,1580798650818.0,1491266846996.0
Người mua trả tiền trước,b) Nợ phải trả tài chính > Người mua trả tiền trước,Người mua trả tiền trước,7.648.775.163,-,108.803.239.940,-,7.648.775.163,108.803.239.940,7648775163.0,,108803239940.0,,7648775163.0,108803239940.0
Vay và nợ,b) Nợ phải trả tài chính > Vay và nợ,Vay và nợ,21.107.662.002.452,-,21.085.612.802.532,-,21.107.662.002.452,21.085.612.802.532,21107662002452.0,,21085612802532.0,,21107662002452.0,21085612802532.0
Phải trả người lao động,b) Nợ phải trả tài chính > Phải trả người lao động,Phải trả người lao động,11.610.951.228,-,15.131.354.050,-,11.610.951.228,15.131.354.050,11610951228.0,,15131354050.0,,11610951228.0,15131354050.0
Các khoản phải trả khác,b) Nợ phải trả tài chính > Các khoản phải trả khác,Các khoản phải trả khác,652.449.941.249,-,1.083.227.356.603,-,652.449.941.249,1.083.227.356.603,652449941249.0,,1083227356603.0,,652449941249.0,1083227356603.0
Cộng,b) Nợ phải trả tài chính > Cộng,Cộng,23.360.170.320.910,-,23.784.041.600.121,-,23.360.170.320.910,23.784.041.600.121,23360170320910.0,,23784041600121.0,,23360170320910.0,23784041600121.0
