row_label_raw,row_label_full,b) Dài hạn
"Ký cược, ký quỹ","Ký cược, ký quỹ","Ký cược, ký quỹ"
Phải thu khác,Phải thu khác,Phải thu khác
+ Trung tâm phát triển quỹ đất huyện Chi Lăng,+ Trung tâm phát triển quỹ đất huyện Chi Lăng,+ Trung tâm phát triển quỹ đất huyện Chi Lăng
+ Trung tâm phát triển quỹ đất và Cụm công nghiệp huyện Lạng Giang,+ Trung tâm phát triển quỹ đất và Cụm công nghiệp huyện Lạng Giang,+ Trung tâm phát triển quỹ đất và Cụm công nghiệp huyện Lạng Giang
+ Trung tâm phát triển quỹ đất huyện Hữu Lũng,+ Trung tâm phát triển quỹ đất huyện Hữu Lũng,+ Trung tâm phát triển quỹ đất huyện Hữu Lũng
"+ Phải thu tiền sửa chữa, bảo hành dự án","+ Phải thu tiền sửa chữa, bảo hành dự án","+ Phải thu tiền sửa chữa, bảo hành dự án"
+ Phải thu khác,+ Phải thu khác,+ Phải thu khác
Phải thu tạm ứng cổ tức,Phải thu tạm ứng cổ tức,Phải thu tạm ứng cổ tức
Bên khác,Bên khác,Bên khác
+ Công ty Cổ phần Đầu tư và Xây dựng Việt Thành,+ Công ty Cổ phần Đầu tư và Xây dựng Việt Thành,+ Công ty Cổ phần Đầu tư và Xây dựng Việt Thành
+ Công ty Cổ phần Đầu tư TMQT Hà Thành,+ Công ty Cổ phần Đầu tư TMQT Hà Thành,+ Công ty Cổ phần Đầu tư TMQT Hà Thành
Bên liên quan,Bên liên quan,Bên liên quan
+ Công ty Cổ phần Đầu tư TMQT Hà Thành,+ Công ty Cổ phần Đầu tư TMQT Hà Thành,+ Công ty Cổ phần Đầu tư TMQT Hà Thành
+ Công ty Cổ phần BOT Hưng Phát,+ Công ty Cổ phần BOT Hưng Phát,+ Công ty Cổ phần BOT Hưng Phát
Cộng,Cộng,Cộng
