row_label_raw,row_label_full,col_0,31/12/2021 > Trích lập dự phòng,31/12/2021 > Giá trị,01/01/2021 > Trích lập dự phòng,01/01/2021 > Giá trị,numeric__31/12/2021 > Trích lập dự phòng,numeric__31/12/2021 > Giá trị,numeric__01/01/2021 > Trích lập dự phòng,numeric__01/01/2021 > Giá trị
a) Ngắn hạn,a) Ngắn hạn,a) Ngắn hạn,11.035.892.482,404.339.772.954,11.035.892.482,41.264.674.059,11035892482.0,404339772954.0,11035892482.0,41264674059.0
Bên Khác,Bên Khác,Bên Khác,11.035.892.482,247.391.026.620,11.035.892.482,33.559.114.520,11035892482.0,247391026620.0,11035892482.0,33559114520.0
Công ty Quản lý và Sửa chữa đường bộ Đắc Lắc,Công ty Quản lý và Sửa chữa đường bộ Đắc Lắc,Công ty Quản lý và Sửa chữa đường bộ Đắc Lắc,3.399.652.533,3.399.652.533,3.399.652.533,3.399.652.533,3399652533.0,3399652533.0,3399652533.0,3399652533.0
Công ty Cổ phần Xây dựng Đẻo cả (Tên cũ: Công ty CP ĐTXD Hải Thạch),Công ty Cổ phần Xây dựng Đẻo cả (Tên cũ: Công ty CP ĐTXD Hải Thạch),Công ty Cổ phần Xây dựng Đẻo cả (Tên cũ: Công ty CP ĐTXD Hải Thạch),-,177.848.367.430,-,-,,177848367430.0,,
Công ty Cổ phần Xây dựng Cầu đường 19,Công ty Cổ phần Xây dựng Cầu đường 19,Công ty Cổ phần Xây dựng Cầu đường 19,5.159.490.529,5.159.490.529,5.159.490.529,5.159.490.529,5159490529.0,5159490529.0,5159490529.0,5159490529.0
Công ty Cổ phần Sông Đà 10,Công ty Cổ phần Sông Đà 10,Công ty Cổ phần Sông Đà 10,-,5.082.418.376,-,5.082.418.376,,5082418376.0,,5082418376.0
Công ty TNHH thu phí tự động VECT,Công ty TNHH thu phí tự động VECT,Công ty TNHH thu phí tự động VECT,-,907.780.000,-,558.010.000,,907780000.0,,558010000.0
Nguyễn Tuấn Phong,Nguyễn Tuấn Phong,Nguyễn Tuấn Phong,-,-,-,400.000.000,,,,400000000.0
Công ty CTGT 503 Đà Nẵng,Công ty CTGT 503 Đà Nẵng,Công ty CTGT 503 Đà Nẵng,215.066.430,215.066.430,215.066.430,215.066.430,215066430.0,215066430.0,215066430.0,215066430.0
Công ty TNHH MTV kiểm định KTAT đầu khí Việt Nam - PVEIC,Công ty TNHH MTV kiểm định KTAT đầu khí Việt Nam - PVEIC,Công ty TNHH MTV kiểm định KTAT đầu khí Việt Nam - PVEIC,354.000.000,354.000.000,354.000.000,354.000.000,354000000.0,354000000.0,354000000.0,354000000.0
Công ty Cổ phần QL & XD ĐB QNĐN,Công ty Cổ phần QL & XD ĐB QNĐN,Công ty Cổ phần QL & XD ĐB QNĐN,249.999.800,249.999.800,249.999.800,249.999.800,249999800.0,249999800.0,249999800.0,249999800.0
Tổng đội Thanh niên xung phong Nông nghiệp 4,Tổng đội Thanh niên xung phong Nông nghiệp 4,Tổng đội Thanh niên xung phong Nông nghiệp 4,219.676.656,219.676.656,219.676.656,219.676.656,219676656.0,219676656.0,219676656.0,219676656.0
