row_label_raw,row_label_full,a) Vay ngắn hạn,31/12/2021 > Giá trị,31/12/2021 > Số có khả năng trả nợ,Trong năm > Tăng,Trong năm > Giảm,01/01/2021 > Giá trị,01/01/2021 > Số có khả năng trả nợ,numeric__31/12/2021 > Giá trị,numeric__31/12/2021 > Số có khả năng trả nợ,numeric__Trong năm > Tăng,numeric__Trong năm > Giảm,numeric__01/01/2021 > Giá trị,numeric__01/01/2021 > Số có khả năng trả nợ
Vay ngắn hạn - VND,Vay ngắn hạn - VND,Vay ngắn hạn - VND,235.859.659.318,235.859.659.318,497.275.344.574,602.571.980.064,341.156.294.808,341.156.294.808,235859659318.0,235859659318.0,497275344574.0,602571980064.0,341156294808.0,341156294808.0
Bên khác,Bên khác,Bên khác,194.527.763.715,194.527.763.715,377.675.344.574,341.071.980.064,157.924.399.205,157.924.399.205,194527763715.0,194527763715.0,377675344574.0,341071980064.0,157924399205.0,157924399205.0
- Ngân hàng Công Thương - CN Đà Nẵng,- Ngân hàng Công Thương - CN Đà Nẵng,- Ngân hàng Công Thương - CN Đà Nẵng,139.125.695.101,139.125.695.101,283.384.389.708,298.413.674.123,154.154.979.516,154.154.979.516,139125695101.0,139125695101.0,283384389708.0,298413674123.0,154154979516.0,154154979516.0
- Ngân hàng TP Bank - CN Thăng Long Hà Nội,- Ngân hàng TP Bank - CN Thăng Long Hà Nội,- Ngân hàng TP Bank - CN Thăng Long Hà Nội,52.341.293.512,52.341.293.512,94.290.954.866,41.949.661.354,-,-,52341293512.0,52341293512.0,94290954866.0,41949661354.0,,
"- Cán bộ, công nhân viên","- Cán bộ, công nhân viên","- Cán bộ, công nhân viên",3.060.775.102,3.060.775.102,-,708.644.587,3.769.419.689,3.769.419.689,3060775102.0,3060775102.0,,708644587.0,3769419689.0,3769419689.0
Bên liên quan,Bên liên quan,Bên liên quan,41.331.895.603,41.331.895.603,119.600.000.000,261.500.000.000,183.231.895.603,183.231.895.603,41331895603.0,41331895603.0,119600000000.0,261500000000.0,183231895603.0,183231895603.0
- Công ty Cổ phần Tập đoàn Đèo cả,- Công ty Cổ phần Tập đoàn Đèo cả,- Công ty Cổ phần Tập đoàn Đèo cả,36.731.895.603,36.731.895.603,119.600.000.000,261.500.000.000,178.631.895.603,178.631.895.603,36731895603.0,36731895603.0,119600000000.0,261500000000.0,178631895603.0,178631895603.0
- Công ty Cổ phần Đầu tư Hải Thạch B.O.T,- Công ty Cổ phần Đầu tư Hải Thạch B.O.T,- Công ty Cổ phần Đầu tư Hải Thạch B.O.T,2.000.000.000,2.000.000.000,-,-,2.000.000.000,2.000.000.000,2000000000.0,2000000000.0,,,2000000000.0,2000000000.0
- Công ty Cổ phần BOT Hưng Phát,- Công ty Cổ phần BOT Hưng Phát,- Công ty Cổ phần BOT Hưng Phát,2.600.000.000,2.600.000.000,-,-,2.600.000.000,2.600.000.000,2600000000.0,2600000000.0,,,2600000000.0,2600000000.0
Cộng,Cộng,Cộng,235.859.659.318,235.859.659.318,497.275.344.574,602.571.980.064,341.156.294.808,341.156.294.808,235859659318.0,235859659318.0,497275344574.0,602571980064.0,341156294808.0,341156294808.0
