row_label_raw,row_label_full,Mã số,Chỉ tiêu,Thuyết minh,Cả năm > 2021,Cả năm > 2020,numeric__Chỉ tiêu,numeric__Thuyết minh,numeric__Cả năm > 2021,numeric__Cả năm > 2020
,,,III. Lưu chuyển tiền từ hoạt động tài chính,,,,,,,
31,31,31,"- Tiền thu từ phát hành cổ phiếu, nhận vốn góp của chủ sở hữu",,-,-,,,,
33,31 > 33,33,- Tiền thu từ đi vay,,799.719.015.674,2.244.489.547.189,,,799719015674.0,2244489547189.0
34,31 > 34,34,- Tiền trả nợ gốc vay,,(777.669.815.754),(1.463.571.838.391),,,-777669815754.0,-1463571838391.0
35,35,35,- Tiền trả nợ gốc thuê tài chính,,-,-,,,,
36,36,36,"- Cổ tức, lợi nhuận đã trả cho chủ sở hữu",,-,-,,,,
40,36 > 40,40,Lưu chuyển tiền thuần từ hoạt động tài chính,,22.049.199.920,780.917.708.798,,,22049199920.0,780917708798.0
50,36 > 50,50,Lưu chuyển tiền thuần trong năm,,(14.573.131.512),(535.534.146.602),,,-14573131512.0,-535534146602.0
60,36 > 60,60,Tiền và tương đương tiền đầu năm,,276.956.612.840,812.490.759.442,,,276956612840.0,812490759442.0
61,61,61,Ảnh hưởng của thay đổi tỷ giá hối đoái quy đổi ngoại tệ,,,,,,,
70,61 > 70,70,Tiền và tương đương tiền cuối năm,,262.383.481.328,276.956.612.840,,,262383481328.0,276956612840.0
