row_label_raw,row_label_full,Năm 2021,"Thu phí, vận hành các trạm",Hoạt động xây lắp,Dịch vụ trung chuyển,"Duy tu bảo dưỡng cầu, đường",Hoạt động khác,Tổng cộng,"numeric__Thu phí, vận hành các trạm",numeric__Hoạt động xây lắp,numeric__Dịch vụ trung chuyển,"numeric__Duy tu bảo dưỡng cầu, đường",numeric__Hoạt động khác,numeric__Tổng cộng
Doanh thu thuần về bán hàng và cung cấp dịch vụ ra bên ngoài,Doanh thu thuần về bán hàng và cung cấp dịch vụ ra bên ngoài,Doanh thu thuần về bán hàng và cung cấp dịch vụ ra bên ngoài,1.264.579.806.368,552.023.885.005,8.702.727.273,2.512.359.092,33.521.400.893,1.861.340.178.631,1264579806368.0,552023885005.0,8702727273.0,2512359092.0,33521400893.0,1861340178631.0
Tổng doanh thu thuần bán hàng và cung cấp dịch vụ,Tổng doanh thu thuần bán hàng và cung cấp dịch vụ,Tổng doanh thu thuần bán hàng và cung cấp dịch vụ,1.264.579.806.368,552.023.885.005,8.702.727.273,2.512.359.092,33.521.400.893,1.861.340.178.631,1264579806368.0,552023885005.0,8702727273.0,2512359092.0,33521400893.0,1861340178631.0
Kết quả kinh doanh theo bộ phận,Kết quả kinh doanh theo bộ phận,Kết quả kinh doanh theo bộ phận,805.394.275.115,104.509.792.317,119.434.872,717.979.192,14.266.295.150,925.007.776.646,805394275115.0,104509792317.0,119434872.0,717979192.0,14266295150.0,925007776646.0
Lợi nhuận từ hoạt động kinh doanh,Lợi nhuận từ hoạt động kinh doanh,Lợi nhuận từ hoạt động kinh doanh,805.394.275.115,104.509.792.317,119.434.872,717.979.192,14.266.295.150,925.007.776.646,805394275115.0,104509792317.0,119434872.0,717979192.0,14266295150.0,925007776646.0
Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,,,,,,(94.936.165.786),,,,,,-94936165786.0
Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,,,,,,21.826.327.951,,,,,,21826327951.0
Chi phí tài chính,Chi phí tài chính,Chi phí tài chính,,,,,,(550.795.413.210),,,,,,-550795413210.0
"Phần lãi hoặc lỗ trong công ty liên kết, liên doanh","Phần lãi hoặc lỗ trong công ty liên kết, liên doanh","Phần lãi hoặc lỗ trong công ty liên kết, liên doanh",,,,,,11.386.457.188,,,,,,11386457188.0
Thu nhập khác,Thu nhập khác,Thu nhập khác,,,,,,21.170.634.855,,,,,,21170634855.0
Chi phí khác,Chi phí khác,Chi phí khác,,,,,,(471.664.486),,,,,,-471664486.0
Chi phí thuế thu nhập doanh nghiệp hiện hành,Chi phí thuế thu nhập doanh nghiệp hiện hành,Chi phí thuế thu nhập doanh nghiệp hiện hành,,,,,,(50.178.806.699),,,,,,-50178806699.0
Chi phí thuế thu nhập doanh nghiệp hoãn lại,Chi phí thuế thu nhập doanh nghiệp hoãn lại,Chi phí thuế thu nhập doanh nghiệp hoãn lại,,,,,,7.638.038.868,,,,,,7638038868.0
Lợi nhuận sau thuế thu nhập doanh nghiệp,Lợi nhuận sau thuế thu nhập doanh nghiệp,Lợi nhuận sau thuế thu nhập doanh nghiệp,,,,,,290.647.185.327,,,,,,290647185327.0
Tổng chi phí đã phát sinh để mua tài sản cố định và các tài sản dài hạn khác,Tổng chi phí đã phát sinh để mua tài sản cố định và các tài sản dài hạn khác,Tổng chi phí đã phát sinh để mua tài sản cố định và các tài sản dài hạn khác,,,,,,(238.841.815.462),,,,,,-238841815462.0
Tổng chi phí khấu hao và phân bổ chi phí trả trước dài hạn,Tổng chi phí khấu hao và phân bổ chi phí trả trước dài hạn,Tổng chi phí khấu hao và phân bổ chi phí trả trước dài hạn,,,,,,(262.008.692.262),,,,,,-262008692262.0
