row_label_raw,row_label_full,Bên liên quan,Môi quan hệ,Nội dung nghiệp vụ,31/12/2021,01/01/2021,numeric__Môi quan hệ,numeric__Nội dung nghiệp vụ,numeric__31/12/2021,numeric__01/01/2021
- PHẢI TRẢ NGƯỜI BÁN NGẮN HẠN,- PHẢI TRẢ NGƯỜI BÁN NGẮN HẠN,- PHẢI TRẢ NGƯỜI BÁN NGẮN HẠN,- PHẢI TRẢ NGƯỜI BÁN NGẮN HẠN,- PHẢI TRẢ NGƯỜI BÁN NGẮN HẠN,- PHẢI TRẢ NGƯỜI BÁN NGẮN HẠN,- PHẢI TRẢ NGƯỜI BÁN NGẮN HẠN,,,,
Công ty Cổ phần Quản lý và Khai thác Đường Cao tốc Đèo Cả,- PHẢI TRẢ NGƯỜI BÁN NGẮN HẠN > Công ty Cổ phần Quản lý và Khai thác Đường Cao tốc Đèo Cả,Công ty Cổ phần Quản lý và Khai thác Đường Cao tốc Đèo Cả,Công ty có liên quan của Thành viên BKS Phan Thị Mai,"Phải tra dịch vụ quản lý, khai thác cao tốc",8.256.472.379,-,,,8256472379.0,
Công ty Cổ phần Tư vấn Xây dựng Hoàng Long,- PHẢI TRẢ NGƯỜI BÁN NGẮN HẠN > Công ty Cổ phần Tư vấn Xây dựng Hoàng Long,Công ty Cổ phần Tư vấn Xây dựng Hoàng Long,"Công ty có liên quan của TGD, TV HĐQT Nguyễn Quang Huy",Phải trả cung cấp dịch vụ,1.796.396.412,-,,,1796396412.0,
Công ty Cổ phần Tư vấn Xây dựng A2Z,- PHẢI TRẢ NGƯỜI BÁN NGẮN HẠN > Công ty Cổ phần Tư vấn Xây dựng A2Z,Công ty Cổ phần Tư vấn Xây dựng A2Z,Công ty có liên quan của Thành viên BKS Phan Thị Mai,Phải trả cung cấp dịch vụ,18.157.601.457,-,,,18157601457.0,
Công ty Cổ phần Đầu tư Hải Thạch B.O.T,- PHẢI TRẢ NGƯỜI BÁN NGẮN HẠN > Công ty Cổ phần Đầu tư Hải Thạch B.O.T,Công ty Cổ phần Đầu tư Hải Thạch B.O.T,Cổ đông lớn,Phải trả,-,120.292.417,,,,120292417.0
Công ty Cổ phần Đầu tư Hải Thạch B.O.T,- PHẢI TRẢ NGƯỜI BÁN NGẮN HẠN > Công ty Cổ phần Đầu tư Hải Thạch B.O.T,Công ty Cổ phần Đầu tư Hải Thạch B.O.T,Cổ đông lớn,Tổng cộng,438.357.412.901,544.054.061.205,,,438357412901.0,544054061205.0
- PHẢI TRẢ NGƯỜI BÁN DÀI HẠN,- PHẢI TRẢ NGƯỜI BÁN DÀI HẠN,- PHẢI TRẢ NGƯỜI BÁN DÀI HẠN,- PHẢI TRẢ NGƯỜI BÁN DÀI HẠN,- PHẢI TRẢ NGƯỜI BÁN DÀI HẠN,- PHẢI TRẢ NGƯỜI BÁN DÀI HẠN,- PHẢI TRẢ NGƯỜI BÁN DÀI HẠN,,,,
Công ty Cổ phần Tư vấn Xây dựng Hoàng Long,- PHẢI TRẢ NGƯỜI BÁN DÀI HẠN > Công ty Cổ phần Tư vấn Xây dựng Hoàng Long,Công ty Cổ phần Tư vấn Xây dựng Hoàng Long,"Công ty có liên quan của TGD, Thành viên HĐQT Nguyễn Quang Huy",Dịch vụ tư vấn,18.758.222.245,22.966.302.717,,,18758222245.0,22966302717.0
Công ty Cổ phần Tư vấn Xây dựng A2Z,- PHẢI TRẢ NGƯỜI BÁN DÀI HẠN > Công ty Cổ phần Tư vấn Xây dựng A2Z,Công ty Cổ phần Tư vấn Xây dựng A2Z,Công ty có liên quan của Thành viên BKS Phan Thị Mai,"Thí công công trình, thuê văn phòng, thuê xe",32.328.941.346,27.704.014.102,,,32328941346.0,27704014102.0
Công ty Cổ phần Đầu tư và Xây dựng ICV Việt Nam,- PHẢI TRẢ NGƯỜI BÁN DÀI HẠN > Công ty Cổ phần Đầu tư và Xây dựng ICV Việt Nam,Công ty Cổ phần Đầu tư và Xây dựng ICV Việt Nam,Công ty liên kết,Phải trả,2.719.148.000,-,,,2719148000.0,
Công ty Cổ phần Đầu tư và Xây dựng ICV Việt Nam,- PHẢI TRẢ NGƯỜI BÁN DÀI HẠN > Công ty Cổ phần Đầu tư và Xây dựng ICV Việt Nam,Công ty Cổ phần Đầu tư và Xây dựng ICV Việt Nam,Công ty liên kết,Tổng cộng,53.806.311.591,50.670.316.819,,,53806311591.0,50670316819.0
