row_label_raw,row_label_full,col_0,Cả năm > 2021,Cả năm > 2020,numeric__Cả năm > 2021,numeric__Cả năm > 2020
1. Chi phí bán hàng,1. Chi phí bán hàng,1. Chi phí bán hàng,-,-,,
2. Chi phí quản lý doanh nghiệp,1. Chi phí bán hàng > 2. Chi phí quản lý doanh nghiệp,2. Chi phí quản lý doanh nghiệp,94.936.165.786,101.735.107.247,94936165786.0,101735107247.0
"Chi phí nguyên, vật liệu","1. Chi phí bán hàng > Chi phí nguyên, vật liệu","Chi phí nguyên, vật liệu",23.282.286,39.912.504,23282286.0,39912504.0
"Chi phí công cụ, dụng cụ","1. Chi phí bán hàng > Chi phí công cụ, dụng cụ","Chi phí công cụ, dụng cụ",389.098.578,538.333.748,389098578.0,538333748.0
Chi phí nhân viên,1. Chi phí bán hàng > Chi phí nhân viên,Chi phí nhân viên,29.774.684.049,24.680.946.835,29774684049.0,24680946835.0
Chi phí khấu hao,1. Chi phí bán hàng > Chi phí khấu hao,Chi phí khấu hao,6.858.547.801,2.733.517.515,6858547801.0,2733517515.0
Chi phí dịch vụ mua ngoài,1. Chi phí bán hàng > Chi phí dịch vụ mua ngoài,Chi phí dịch vụ mua ngoài,38.953.625.829,49.356.251.786,38953625829.0,49356251786.0
"Thuế, phí, lệ phí","1. Chi phí bán hàng > Thuế, phí, lệ phí","Thuế, phí, lệ phí",225.078.113,180.787.234,225078113.0,180787234.0
Dự phòng nợ phải thu khó đòi,1. Chi phí bán hàng > Dự phòng nợ phải thu khó đòi,Dự phòng nợ phải thu khó đòi,-,72.000.000,,72000000.0
Hoàn nhập dự phòng nợ phải thu khó đòi,1. Chi phí bán hàng > Hoàn nhập dự phòng nợ phải thu khó đòi,Hoàn nhập dự phòng nợ phải thu khó đòi,(161.854.500),(14.000.000),-161854500.0,-14000000.0
Các khoản chi khác,1. Chi phí bán hàng > Các khoản chi khác,Các khoản chi khác,18.873.703.630,24.147.357.625,18873703630.0,24147357625.0
Cộng,1. Chi phí bán hàng > Cộng,Cộng,94.936.165.786,101.735.107.247,94936165786.0,101735107247.0
