row_label_raw,row_label_full,Bên liên quan > Công ty Cổ phần Đầu tư và Xây dựng ICV Việt Nam,Môi quan hệ > Công ty liên kết,"Nội dung nghiệp vụ > Doanh thu bán hàng hóa, dịch vụ > Doanh thu bán thép > Doanh thu nước uống đóng chai > Doanh thu thuê văn phòng > Doanh thu đầu > Cộng > Mua hàng hóa, dịch vụ > Chi phí thuê thiết bị, thuê xe > Chi phí mua vật tư đá > Chi phí bề tông các loại > Cộng",Năm 2021 > 28.110.390 > 1.196.364 > - > 29.306.754 > 522.727.274 > - > 522.727.274,Năm 2020 > - > 24.359.090 > 113.636.363 > 33.843.264 > 171.838.717 > 1.619.863.591 > 7.373.947.636 > 7.214.393.208 > 16.208.204.435,numeric__Môi quan hệ > Công ty liên kết,"numeric__Nội dung nghiệp vụ > Doanh thu bán hàng hóa, dịch vụ > Doanh thu bán thép > Doanh thu nước uống đóng chai > Doanh thu thuê văn phòng > Doanh thu đầu > Cộng > Mua hàng hóa, dịch vụ > Chi phí thuê thiết bị, thuê xe > Chi phí mua vật tư đá > Chi phí bề tông các loại > Cộng",numeric__Năm 2021 > 28.110.390 > 1.196.364 > - > 29.306.754 > 522.727.274 > - > 522.727.274,numeric__Năm 2020 > - > 24.359.090 > 113.636.363 > 33.843.264 > 171.838.717 > 1.619.863.591 > 7.373.947.636 > 7.214.393.208 > 16.208.204.435
Công ty Cổ phần Đầu tư BOT Đẻo Cả Khánh Hòa,Công ty Cổ phần Đầu tư BOT Đẻo Cả Khánh Hòa,Công ty Cổ phần Đầu tư BOT Đẻo Cả Khánh Hòa,Công ty liên kết,"Doanh thu bán hàng hóa, dịch vụ",,,,,,
Công ty Cổ phần Đầu tư BOT Đẻo Cả Khánh Hòa,Công ty Cổ phần Đầu tư BOT Đẻo Cả Khánh Hòa > Công ty Cổ phần Đầu tư BOT Đẻo Cả Khánh Hòa,Công ty Cổ phần Đầu tư BOT Đẻo Cả Khánh Hòa,Công ty liên kết,"Doanh thu duy tu báo dưỡng hầm, đường",2.512.359.092,5.088.431.818,,,2512359092.0,5088431818.0
Công ty Cổ phần Đầu tư BOT Đẻo Cả Khánh Hòa,Công ty Cổ phần Đầu tư BOT Đẻo Cả Khánh Hòa > Công ty Cổ phần Đầu tư BOT Đẻo Cả Khánh Hòa,Công ty Cổ phần Đầu tư BOT Đẻo Cả Khánh Hòa,Công ty liên kết,Doanh thu vận hành trạm thu phí,8.575.953.635,8.107.520.814,,,8575953635.0,8107520814.0
Công ty Cổ phần Đầu tư BOT Đẻo Cả Khánh Hòa,Công ty Cổ phần Đầu tư BOT Đẻo Cả Khánh Hòa > Công ty Cổ phần Đầu tư BOT Đẻo Cả Khánh Hòa,Công ty Cổ phần Đầu tư BOT Đẻo Cả Khánh Hòa,Công ty liên kết,Doanh thu trung tu,27.866.059.308,-,,,27866059308.0,
Công ty Cổ phần Đầu tư BOT Đẻo Cả Khánh Hòa,Công ty Cổ phần Đầu tư BOT Đẻo Cả Khánh Hòa > Công ty Cổ phần Đầu tư BOT Đẻo Cả Khánh Hòa,Công ty Cổ phần Đầu tư BOT Đẻo Cả Khánh Hòa,Công ty liên kết,Cộng,38.954.372.035,13.195.952.632,,,38954372035.0,13195952632.0
Công ty Cổ phần Đầu tư BOT Đẻo Cả Khánh Hòa,Công ty Cổ phần Đầu tư BOT Đẻo Cả Khánh Hòa,Công ty Cổ phần Đầu tư BOT Đẻo Cả Khánh Hòa,Công ty liên kết,Doanh thu hoạt động tài chính,,,,,,
Công ty Cổ phần Đầu tư BOT Đẻo Cả Khánh Hòa,Công ty Cổ phần Đầu tư BOT Đẻo Cả Khánh Hòa > Công ty Cổ phần Đầu tư BOT Đẻo Cả Khánh Hòa,Công ty Cổ phần Đầu tư BOT Đẻo Cả Khánh Hòa,Công ty liên kết,Chia cổ tức,15.000.000.000,-,,,15000000000.0,
Công ty Cổ phần Đầu tư BOT Đẻo Cả Khánh Hòa,Công ty Cổ phần Đầu tư BOT Đẻo Cả Khánh Hòa > Công ty Cổ phần Đầu tư BOT Đẻo Cả Khánh Hòa,Công ty Cổ phần Đầu tư BOT Đẻo Cả Khánh Hòa,Công ty liên kết,Cộng,15.000.000.000,,,,15000000000.0,
Công ty Cổ phần BOT Bắc Giang Lạng Sơn Hữu Nghị,Công ty Cổ phần Đầu tư BOT Đẻo Cả Khánh Hòa > Công ty Cổ phần BOT Bắc Giang Lạng Sơn Hữu Nghị,Công ty Cổ phần BOT Bắc Giang Lạng Sơn Hữu Nghị,Công ty liên kết,Góp vốn,10.000.000.000,30.000.000.000,,,10000000000.0,30000000000.0
Công ty Cổ phần BOT Bắc Giang Lạng Sơn Hữu Nghị,Công ty Cổ phần Đầu tư BOT Đẻo Cả Khánh Hòa > Công ty Cổ phần BOT Bắc Giang Lạng Sơn Hữu Nghị,Công ty Cổ phần BOT Bắc Giang Lạng Sơn Hữu Nghị,Công ty liên kết,Cộng,10.000.000.000,,,,10000000000.0,
