row_label_raw,row_label_full,a) Ngân hạn (tiếp theo),Giá trị,Số có khả năng trả nợ,Giá trị_1,Số có khả năng trả nợ_1,numeric__Giá trị,numeric__Số có khả năng trả nợ,numeric__Giá trị_1,numeric__Số có khả năng trả nợ_1
Bên liên quan (*),Bên liên quan (*),Bên liên quan (*),438.357.412.901,438.357.412.901,544.054.061.205,544.054.061.205,438357412901.0,438357412901.0,544054061205.0,544054061205.0
Công ty Cổ phần An Ninh Đẻo Cả,Công ty Cổ phần An Ninh Đẻo Cả,Công ty Cổ phần An Ninh Đẻo Cả,17.409.382.266,17.409.382.266,15.706.059.300,15.706.059.300,17409382266.0,17409382266.0,15706059300.0,15706059300.0
Công ty Cổ phần Tập đoàn Đẻo cả,Công ty Cổ phần Tập đoàn Đẻo cả,Công ty Cổ phần Tập đoàn Đẻo cả,392.737.560.387,392.737.560.387,507.513.916.466,507.513.916.466,392737560387.0,392737560387.0,507513916466.0,507513916466.0
Công ty Cổ phần Đầu tư và XD ICV Việt Nam,Công ty Cổ phần Đầu tư và XD ICV Việt Nam,Công ty Cổ phần Đầu tư và XD ICV Việt Nam,-,-,20.713.793.022,20.713.793.022,,,20713793022.0,20713793022.0
Công ty Cổ phần Tập đoàn Hải Thạch,Công ty Cổ phần Tập đoàn Hải Thạch,Công ty Cổ phần Tập đoàn Hải Thạch,-,-,120.292.417,120.292.417,,,120292417.0,120292417.0
Công ty Cổ phần Tư vấn Xây dựng Hoàng Long,Công ty Cổ phần Tư vấn Xây dựng Hoàng Long,Công ty Cổ phần Tư vấn Xây dựng Hoàng Long,1.796.396.412,1.796.396.412,-,-,1796396412.0,1796396412.0,,
Công ty Cổ phần Quản lý và Khai thác Dương Cao tốc Đẻo Cả,Công ty Cổ phần Quản lý và Khai thác Dương Cao tốc Đẻo Cả,Công ty Cổ phần Quản lý và Khai thác Dương Cao tốc Đẻo Cả,8.256.472.379,8.256.472.379,-,-,8256472379.0,8256472379.0,,
Công ty Cổ phần Tư Vấn Xây dựng A2Z,Công ty Cổ phần Tư Vấn Xây dựng A2Z,Công ty Cổ phần Tư Vấn Xây dựng A2Z,18.157.601.457,18.157.601.457,-,-,18157601457.0,18157601457.0,,
b) Dài hạn,b) Dài hạn,b) Dài hạn,451.366.071.030,451.366.071.030,424.405.555.795,424.405.555.795,451366071030.0,451366071030.0,424405555795.0,424405555795.0
Bên khác,Bên khác,Bên khác,397.559.759.439,397.559.759.439,373.735.238.976,373.735.238.976,397559759439.0,397559759439.0,373735238976.0,373735238976.0
Chi nhánh Công ty TNHH MTV BCA - Thăng Long tại TP Hồ Chí Minh,Chi nhánh Công ty TNHH MTV BCA - Thăng Long tại TP Hồ Chí Minh,Chi nhánh Công ty TNHH MTV BCA - Thăng Long tại TP Hồ Chí Minh,22.066.275.015,22.066.275.015,22.066.275.015,22.066.275.015,22066275015.0,22066275015.0,22066275015.0,22066275015.0
Công ty Cổ phần kỹ thuật công nghiệp Á Châu,Công ty Cổ phần kỹ thuật công nghiệp Á Châu,Công ty Cổ phần kỹ thuật công nghiệp Á Châu,18.019.220.715,18.019.220.715,18.019.220.715,18.019.220.715,18019220715.0,18019220715.0,18019220715.0,18019220715.0
Công ty Cổ phần Công nghệ Sao Bắc Đầu,Công ty Cổ phần Công nghệ Sao Bắc Đầu,Công ty Cổ phần Công nghệ Sao Bắc Đầu,63.324.714.138,63.324.714.138,63.586.665.138,63.586.665.138,63324714138.0,63324714138.0,63586665138.0,63586665138.0
Công ty Cổ phần Xây dựng và Nhân lực Việt Nam,Công ty Cổ phần Xây dựng và Nhân lực Việt Nam,Công ty Cổ phần Xây dựng và Nhân lực Việt Nam,6.649.125.023,6.649.125.023,6.649.125.023,6.649.125.023,6649125023.0,6649125023.0,6649125023.0,6649125023.0
Công ty TNHH APAVE Châu Á - Thái Bình Dương,Công ty TNHH APAVE Châu Á - Thái Bình Dương,Công ty TNHH APAVE Châu Á - Thái Bình Dương,20.646.941.214,20.646.941.214,20.646.941.214,20.646.941.214,20646941214.0,20646941214.0,20646941214.0,20646941214.0
Công ty TNHH MTV BCA-Thăng Long,Công ty TNHH MTV BCA-Thăng Long,Công ty TNHH MTV BCA-Thăng Long,34.783.028.365,34.783.028.365,22.039.842.365,22.039.842.365,34783028365.0,34783028365.0,22039842365.0,22039842365.0
Công ty TNHH NIPPON KOEI Việt Nam Internationallc,Công ty TNHH NIPPON KOEI Việt Nam Internationallc,Công ty TNHH NIPPON KOEI Việt Nam Internationallc,13.569.057.653,13.569.057.653,13.950.086.253,13.950.086.253,13569057653.0,13569057653.0,13950086253.0,13950086253.0
Công ty Cổ phần Xây dựng và Đầu tư 492,Công ty Cổ phần Xây dựng và Đầu tư 492,Công ty Cổ phần Xây dựng và Đầu tư 492,8.594.572.647,8.594.572.647,5.132.599.283,5.132.599.283,8594572647.0,8594572647.0,5132599283.0,5132599283.0
Chi nhánh Công ty TNHH MTV BCA Thăng Long - Xí nghiệp Đại Việt,Chi nhánh Công ty TNHH MTV BCA Thăng Long - Xí nghiệp Đại Việt,Chi nhánh Công ty TNHH MTV BCA Thăng Long - Xí nghiệp Đại Việt,114.873.463.105,114.873.463.105,114.873.463.105,114.873.463.105,114873463105.0,114873463105.0,114873463105.0,114873463105.0
