row_label_raw,row_label_full,col_0,col_1,Thuyết minh,31/12/2021 Triệu VND,31/12/2020 Triệu VND,numeric__col_1,numeric__Thuyết minh,numeric__31/12/2021 Triệu VND,numeric__31/12/2020 Triệu VND
A,A,A,TÀI SẢN,,,,,,,
I,A > I,I,Tiền mặt và vàng,5,1.814.838,1.554.080,,5.0,1814838.0,1554080.0
II,A > II,II,Tiền gửi tại Ngân hàng Nhà nước Việt Nam,6,13.409.016,13.997.150,,6.0,13409016.0,13997150.0
III,A > III,III,Tiền gửi và cho vay các tổ chức tín dụng khác,7,71.382.069,36.909.903,,7.0,71382069.0,36909903.0
1,A > 1,1,Tiền gửi tại các tổ chức tín dụng khác,,63.158.410,36.909.227,,,63158410.0,36909227.0
2,A > 2,2,Cho vay các tổ chức tín dụng khác,,8.263.453,676,,,8263453.0,676.0
3,A > 3,3,Dự phòng rủi ro,,(39.794),-,,,-39794.0,
V,A > V,V,Các công cụ tài chính phải sinh và các tài sản tài chính khác,8,253.465,134.441,,8.0,253465.0,134441.0
VI,A > VI,VI,Cho vay khách hàng,,342.478.148,289.435.406,,,342478148.0,289435406.0
1,A > 1,1,Cho vay khách hàng,9,346.841.553,292.768.355,,9.0,346841553.0,292768355.0
2,A > 2,2,Dự phòng rủi ro cho vay khách hàng,10,(4.363.405),(3.332.949),,10.0,-4363405.0,-3332949.0
VIII,A > VIII,VIII,Chứng khoán đầu tư,,23.775.839,28.639.598,,,23775839.0,28639598.0
1,A > 1,1,Chứng khoán đầu tư sẵn sàng để bán,11,9.703.885,16.386.007,,11.0,9703885.0,16386007.0
2,A > 2,2,Chứng khoán đầu tư giữ đến ngày đáo hạn,12,14.117.820,13.132.592,,12.0,14117820.0,13132592.0
3,A > 3,3,Dự phòng rủi ro chứng khoán đầu tư,13,(45.866),(879.001),,13.0,-45866.0,-879001.0
IX,A > IX,IX,"Góp vốn, đầu tư dài hạn",14,4.091.584,4.001.401,,14.0,4091584.0,4001401.0
1,A > 1,1,Đầu tư vào công ty con,,3.959.932,3.868.261,,,3959932.0,3868261.0
4,A > 4,4,Đầu tư dài hạn khác,,164.391,165.891,,,164391.0,165891.0
5,A > 5,5,Dự phòng giảm giá đầu tư dài hạn,,(32.739),(32.751),,,-32739.0,-32751.0
X,A > X,X,Tài sản cố định,,4.917.444,4.811.078,,,4917444.0,4811078.0
1,A > 1,1,Tài sản cố định hữu hình,15,487.757,485.781,,15.0,487757.0,485781.0
a,A > a,a,Nguyên giá,,1.200.808,1.182.567,,,1200808.0,1182567.0
b,A > b,b,Giá trị hao mòn lũy kế,,(713.051),(696.786),,,-713051.0,-696786.0
3,A > 3,3,Tài sản cố định vô hình,16,4.429.687,4.325.297,,16.0,4429687.0,4325297.0
a,A > a,a,Nguyên giá,,4.715.644,4.599.119,,,4715644.0,4599119.0
b,A > b,b,Giá trị hao mòn lũy kế,,(285.957),(273.822),,,-285957.0,-273822.0
XII,A > XII,XII,Tài sản Có khác,17,36.899.313,27.965.746,,17.0,36899313.0,27965746.0
1,A > 1,1,Các khoản phải thu,,30.517.262,19.470.691,,,30517262.0,19470691.0
2,A > 2,2,"Các khoản lãi, phí phải thu",,6.002.735,7.453.170,,,6002735.0,7453170.0
4,A > 4,4,Tài sản Có khác,,627.653,1.378.263,,,627653.0,1378263.0
5,A > 5,5,Các khoản dự phòng rủi ro cho các tài sản Có nội bằng khác,,(248.337),(336.378),,,-248337.0,-336378.0
,,,TỔNG TÀI SẢN,,499.021.716,407.448.803,,,499021716.0,407448803.0
