row_label_raw,row_label_full,col_0,Quyền sử dụng đất Triệu VND,Phần mềm máy vi tính Triệu VND,Tài sản cố định vô hình khác Triệu VND,Tổng cộng Triệu VND,numeric__Quyền sử dụng đất Triệu VND,numeric__Phần mềm máy vi tính Triệu VND,numeric__Tài sản cố định vô hình khác Triệu VND,numeric__Tổng cộng Triệu VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,4.280.840,298.217,20.062,4.599.119,4280840.0,298217.0,20062.0,4599119.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,46.808,49.785,-,96.593,46808.0,49785.0,,96593.0
Phân loại lại,Nguyên giá > Phân loại lại,Phân loại lại,20.058,(126),-,19.932,20058.0,-126.0,,19932.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,4.347.706,347.876,20.062,4.715.644,4347706.0,347876.0,20062.0,4715644.0
Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,,,,
Số dư đầu năm,Hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,6.279,254.479,13.064,273.822,6279.0,254479.0,13064.0,273822.0
Khấu hao trong năm,Hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,158,10.978,999,12.135,158.0,10978.0,999.0,12135.0
Số dư cuối,Hao mòn lũy kế > Số dư cuối,Số dư cuối,6.437,265.457,14.063,285.957,6437.0,265457.0,14063.0,285957.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,4.274.561,43.738,6.998,4.325.297,4274561.0,43738.0,6998.0,4325297.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,4.341.269,82.419,5.999,4.429.687,4341269.0,82419.0,5999.0,4429687.0
