row_label_raw,row_label_full,"Ngân hàng Thương mại Cổ phần Sài Gòn - Hà NộiSố 77 Trần Hưng Đạo, Quận Hoàn Kiểm, Hà Nội, Việt NamThuyết minh báo cáo tài chính riêng cho năm kết thúc ngày 31 tháng 12 năm 2021 (tiếp theo) > Tại ngày 31 tháng 12 năm 2021(Triệu VND)","Ngân hàng Thương mại Cổ phần Sài Gòn - Hà NộiSố 77 Trần Hưng Đạo, Quận Hoàn Kiểm, Hà Nội, Việt NamThuyết minh báo cáo tài chính riêng cho năm kết thúc ngày 31 tháng 12 năm 2021 (tiếp theo) > Quá hạn > Trên 3 tháng","Ngân hàng Thương mại Cổ phần Sài Gòn - Hà NộiSố 77 Trần Hưng Đạo, Quận Hoàn Kiểm, Hà Nội, Việt NamThuyết minh báo cáo tài chính riêng cho năm kết thúc ngày 31 tháng 12 năm 2021 (tiếp theo) > Quá hạn > Dưới3 tháng","Ngân hàng Thương mại Cổ phần Sài Gòn - Hà NộiSố 77 Trần Hưng Đạo, Quận Hoàn Kiểm, Hà Nội, Việt NamThuyết minh báo cáo tài chính riêng cho năm kết thúc ngày 31 tháng 12 năm 2021 (tiếp theo) > Trong hạn > Đến 1 tháng","Ngân hàng Thương mại Cổ phần Sài Gòn - Hà NộiSố 77 Trần Hưng Đạo, Quận Hoàn Kiểm, Hà Nội, Việt NamThuyết minh báo cáo tài chính riêng cho năm kết thúc ngày 31 tháng 12 năm 2021 (tiếp theo) > Trong hạn > Từ 1 đến3 tháng","Ngân hàng Thương mại Cổ phần Sài Gòn - Hà NộiSố 77 Trần Hưng Đạo, Quận Hoàn Kiểm, Hà Nội, Việt NamThuyết minh báo cáo tài chính riêng cho năm kết thúc ngày 31 tháng 12 năm 2021 (tiếp theo) > Trong hạn > Từ 3 đến12 tháng","Ngân hàng Thương mại Cổ phần Sài Gòn - Hà NộiSố 77 Trần Hưng Đạo, Quận Hoàn Kiểm, Hà Nội, Việt NamThuyết minh báo cáo tài chính riêng cho năm kết thúc ngày 31 tháng 12 năm 2021 (tiếp theo) > Trong hạn > Từ 1 đến5 năm","Ngân hàng Thương mại Cổ phần Sài Gòn - Hà NộiSố 77 Trần Hưng Đạo, Quận Hoàn Kiểm, Hà Nội, Việt NamThuyết minh báo cáo tài chính riêng cho năm kết thúc ngày 31 tháng 12 năm 2021 (tiếp theo) > Trong hạn > Trên 5 năm",Mẫu B05/TCTD(Ban hành theo Thông tư số49/2014/TT-NHNN ngày 31 tháng 12 năm 2014của Ngân hàng Nhà nước Việt Nam) > Tổng cộng,"numeric__Ngân hàng Thương mại Cổ phần Sài Gòn - Hà NộiSố 77 Trần Hưng Đạo, Quận Hoàn Kiểm, Hà Nội, Việt NamThuyết minh báo cáo tài chính riêng cho năm kết thúc ngày 31 tháng 12 năm 2021 (tiếp theo) > Quá hạn > Trên 3 tháng","numeric__Ngân hàng Thương mại Cổ phần Sài Gòn - Hà NộiSố 77 Trần Hưng Đạo, Quận Hoàn Kiểm, Hà Nội, Việt NamThuyết minh báo cáo tài chính riêng cho năm kết thúc ngày 31 tháng 12 năm 2021 (tiếp theo) > Quá hạn > Dưới3 tháng","numeric__Ngân hàng Thương mại Cổ phần Sài Gòn - Hà NộiSố 77 Trần Hưng Đạo, Quận Hoàn Kiểm, Hà Nội, Việt NamThuyết minh báo cáo tài chính riêng cho năm kết thúc ngày 31 tháng 12 năm 2021 (tiếp theo) > Trong hạn > Đến 1 tháng","numeric__Ngân hàng Thương mại Cổ phần Sài Gòn - Hà NộiSố 77 Trần Hưng Đạo, Quận Hoàn Kiểm, Hà Nội, Việt NamThuyết minh báo cáo tài chính riêng cho năm kết thúc ngày 31 tháng 12 năm 2021 (tiếp theo) > Trong hạn > Từ 1 đến3 tháng","numeric__Ngân hàng Thương mại Cổ phần Sài Gòn - Hà NộiSố 77 Trần Hưng Đạo, Quận Hoàn Kiểm, Hà Nội, Việt NamThuyết minh báo cáo tài chính riêng cho năm kết thúc ngày 31 tháng 12 năm 2021 (tiếp theo) > Trong hạn > Từ 3 đến12 tháng","numeric__Ngân hàng Thương mại Cổ phần Sài Gòn - Hà NộiSố 77 Trần Hưng Đạo, Quận Hoàn Kiểm, Hà Nội, Việt NamThuyết minh báo cáo tài chính riêng cho năm kết thúc ngày 31 tháng 12 năm 2021 (tiếp theo) > Trong hạn > Từ 1 đến5 năm","numeric__Ngân hàng Thương mại Cổ phần Sài Gòn - Hà NộiSố 77 Trần Hưng Đạo, Quận Hoàn Kiểm, Hà Nội, Việt NamThuyết minh báo cáo tài chính riêng cho năm kết thúc ngày 31 tháng 12 năm 2021 (tiếp theo) > Trong hạn > Trên 5 năm",numeric__Mẫu B05/TCTD(Ban hành theo Thông tư số49/2014/TT-NHNN ngày 31 tháng 12 năm 2014của Ngân hàng Nhà nước Việt Nam) > Tổng cộng
Tài sản,Tài sản,Tài sản,,,,,,,,,,,,,,,,
Tiền mặt và vàng,Tài sản > Tiền mặt và vàng,Tiền mặt và vàng,-,-,1.814.838,-,-,-,-,1.814.838,,,1814838.0,,,,,1814838.0
Tiền gửi tại NHNNVN,Tài sản > Tiền gửi tại NHNNVN,Tiền gửi tại NHNNVN,-,-,13.409.016,-,-,-,-,13.409.016,,,13409016.0,,,,,13409016.0
Tiền gửi và cho vay các TCTD khác,Tài sản > Tiền gửi và cho vay các TCTD khác,Tiền gửi và cho vay các TCTD khác,-,-,64.042.530,6.979.379,300.160,99.794,-,71.421.863,,,64042530.0,6979379.0,300160.0,99794.0,,71421863.0
Các công cụ tài chính phải sinh vàcác tài sản tài chính khác,Tài sản > Các công cụ tài chính phải sinh vàcác tài sản tài chính khác,Các công cụ tài chính phải sinh vàcác tài sản tài chính khác,-,-,(31.054),26.357,258.162,-,-,253.465,,,-31054.0,26357.0,258162.0,,,253465.0
Cho vay khách hàng - gộp,Tài sản > Cho vay khách hàng - gộp,Cho vay khách hàng - gộp,5.469.437,1.862.345,22.667.699,42.022.126,99.999.504,74.458.776,100.361.666,346.841.553,5469437.0,1862345.0,22667699.0,42022126.0,99999504.0,74458776.0,100361666.0,346841553.0
Chứng khoán đầu tư - gộp,Tài sản > Chứng khoán đầu tư - gộp,Chứng khoán đầu tư - gộp,-,-,-,26.692,2.524.391,2.737.134,18.533.488,23.821.705,,,,26692.0,2524391.0,2737134.0,18533488.0,23821705.0
"Góp vốn, đầu tư dài hạn - gộp","Tài sản > Góp vốn, đầu tư dài hạn - gộp","Góp vốn, đầu tư dài hạn - gộp",-,-,-,-,-,-,4.124.323,4.124.323,,,,,,,4124323.0,4124323.0
Tài sản cố định,Tài sản > Tài sản cố định,Tài sản cố định,-,-,1.670.804,19,651,52.925,3.193.045,4.917.444,,,1670804.0,19.0,651.0,52925.0,3193045.0,4917444.0
Tài sản Có khác - gộp,Tài sản > Tài sản Có khác - gộp,Tài sản Có khác - gộp,187.500,-,21.203.123,4.009.095,11.683.060,62.111,2.761,37.147.650,187500.0,,21203123.0,4009095.0,11683060.0,62111.0,2761.0,37147650.0
,,,5.656.937,1.862.345,124.776.956,53.063.668,114.765.928,77.410.740,126.215.283,503.751.857,5656937.0,1862345.0,124776956.0,53063668.0,114765928.0,77410740.0,126215283.0,503751857.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,,,,,,,,,,,,,
Các khoản nợ Chính phủ và NHNN,Nợ phải trả > Các khoản nợ Chính phủ và NHNN,Các khoản nợ Chính phủ và NHNN,-,-,-,10.077,1.500.906,-,-,1.510.983,,,,10077.0,1500906.0,,,1510983.0
Tiền gửi và vay các TCTD khác,Nợ phải trả > Tiền gửi và vay các TCTD khác,Tiền gửi và vay các TCTD khác,-,-,55.329.310,6.358.153,15.151.117,698.375,71.188,77.608.143,,,55329310.0,6358153.0,15151117.0,698375.0,71188.0,77608143.0
Tiền gửi của khách hàng,Nợ phải trả > Tiền gửi của khách hàng,Tiền gửi của khách hàng,-,-,85.112.511,65.580.691,160.753.652,12.839.565,1.378,324.287.797,,,85112511.0,65580691.0,160753652.0,12839565.0,1378.0,324287797.0
"Vốn tải trợ, ủy thác đầu tư, cho vayTCTD chịu rủi ro","Nợ phải trả > Vốn tải trợ, ủy thác đầu tư, cho vayTCTD chịu rủi ro","Vốn tải trợ, ủy thác đầu tư, cho vayTCTD chịu rủi ro",-,-,72.569,49.819,813.905,3.060.007,955.870,4.952.170,,,72569.0,49819.0,813905.0,3060007.0,955870.0,4952170.0
Phát hành giấy tờ có giá,Nợ phải trả > Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,-,-,2.173,2.984.849,9.109.534,22.020.509,10.564.849,44.681.914,,,2173.0,2984849.0,9109534.0,22020509.0,10564849.0,44681914.0
Các khoản nợ khác,Nợ phải trả > Các khoản nợ khác,Các khoản nợ khác,-,-,10.938.004,-,-,-,-,10.938.004,,,10938004.0,,,,,10938004.0
,,,-,-,151.454.567,74.983.589,187.329.114,38.618.456,11.593.285,463.979.011,,,151454567.0,74983589.0,187329114.0,38618456.0,11593285.0,463979011.0
Mức chênh thanh khoản thuần,Nợ phải trả > Mức chênh thanh khoản thuần,Mức chênh thanh khoản thuần,5.656.937,1.862.345,(26.677.611),(21.919.921),(72.563.186),38.792.284,114.621.998,39.772.846,5656937.0,1862345.0,-26677611.0,-21919921.0,-72563186.0,38792284.0,114621998.0,39772846.0
