row_label_raw,row_label_full,col_0,Quyền sử dụng đất Triệu VND,Phần mềm máy vi tính Triệu VND,Tài sản cố định vô hình khác Triệu VND,Tổng cộng Triệu VND,numeric__Quyền sử dụng đất Triệu VND,numeric__Phần mềm máy vi tính Triệu VND,numeric__Tài sản cố định vô hình khác Triệu VND,numeric__Tổng cộng Triệu VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,4.280.834,266.976,23.011,4.570.821,4280834.0,266976.0,23011.0,4570821.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,6,15.682,-,15.688,6.0,15682.0,,15688.0
"Thanh lý, nhượng bán","Nguyên giá > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,(934),-,(934),,-934.0,,-934.0
Biến động khác,Nguyên giá > Biến động khác,Biến động khác,-,16.493,(2.949),13.544,,16493.0,-2949.0,13544.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,4.280.840,298.217,20.062,4.599.119,4280840.0,298217.0,20062.0,4599119.0
Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,,,,
Số dư đầu năm,Hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,6.121,238.893,12.193,257.207,6121.0,238893.0,12193.0,257207.0
Khấu hao trong năm,Hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,158,7.918,1.002,9.078,158.0,7918.0,1002.0,9078.0
"Thanh lý, nhượng bán","Hao mòn lũy kế > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,(934),-,(934),,-934.0,,-934.0
Biến động khác,Hao mòn lũy kế > Biến động khác,Biến động khác,-,8.602,(131),8.471,,8602.0,-131.0,8471.0
Số dư cuối,Hao mòn lũy kế > Số dư cuối,Số dư cuối,6.279,254.479,13.064,273.822,6279.0,254479.0,13064.0,273822.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,4.274.713,28.083,10.818,4.313.614,4274713.0,28083.0,10818.0,4313614.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,4.274.561,43.738,6.998,4.325.297,4274561.0,43738.0,6998.0,4325297.0
