row_label_raw,row_label_full,"Ngân hàng Thương mại Cổ phần Sài Gòn - Hà NộiSố 77 Trần Hưng Đạo, Quận Hoàn Kiểm, Hà Nội, Việt NamThuyết minh báo cáo tài chính riêng cho năm kết thúc ngày 31 tháng 12 năm 2021 (tiếp theo)\( ^{-} \) > Tại ngày 31 tháng 12 năm 2020(Tương đương Triệu VND)","Ngân hàng Thương mại Cổ phần Sài Gòn - Hà NộiSố 77 Trần Hưng Đạo, Quận Hoàn Kiểm, Hà Nội, Việt NamThuyết minh báo cáo tài chính riêng cho năm kết thúc ngày 31 tháng 12 năm 2021 (tiếp theo)\( ^{-} \) > USD","Ngân hàng Thương mại Cổ phần Sài Gòn - Hà NộiSố 77 Trần Hưng Đạo, Quận Hoàn Kiểm, Hà Nội, Việt NamThuyết minh báo cáo tài chính riêng cho năm kết thúc ngày 31 tháng 12 năm 2021 (tiếp theo)\( ^{-} \) > EUR","Ngân hàng Thương mại Cổ phần Sài Gòn - Hà NộiSố 77 Trần Hưng Đạo, Quận Hoàn Kiểm, Hà Nội, Việt NamThuyết minh báo cáo tài chính riêng cho năm kết thúc ngày 31 tháng 12 năm 2021 (tiếp theo)\( ^{-} \) > Mẫu B05/TCTD(Ban hành theo Thông tư số49/2014/TT-NHNN ngày 31 tháng 12 năm 2014của Ngân hàng Nhà nước Việt Nam) > Tiền tệ khác","Ngân hàng Thương mại Cổ phần Sài Gòn - Hà NộiSố 77 Trần Hưng Đạo, Quận Hoàn Kiểm, Hà Nội, Việt NamThuyết minh báo cáo tài chính riêng cho năm kết thúc ngày 31 tháng 12 năm 2021 (tiếp theo)\( ^{-} \) > Mẫu B05/TCTD(Ban hành theo Thông tư số49/2014/TT-NHNN ngày 31 tháng 12 năm 2014của Ngân hàng Nhà nước Việt Nam) > Tổng cộng","numeric__Ngân hàng Thương mại Cổ phần Sài Gòn - Hà NộiSố 77 Trần Hưng Đạo, Quận Hoàn Kiểm, Hà Nội, Việt NamThuyết minh báo cáo tài chính riêng cho năm kết thúc ngày 31 tháng 12 năm 2021 (tiếp theo)\( ^{-} \) > USD","numeric__Ngân hàng Thương mại Cổ phần Sài Gòn - Hà NộiSố 77 Trần Hưng Đạo, Quận Hoàn Kiểm, Hà Nội, Việt NamThuyết minh báo cáo tài chính riêng cho năm kết thúc ngày 31 tháng 12 năm 2021 (tiếp theo)\( ^{-} \) > EUR","numeric__Ngân hàng Thương mại Cổ phần Sài Gòn - Hà NộiSố 77 Trần Hưng Đạo, Quận Hoàn Kiểm, Hà Nội, Việt NamThuyết minh báo cáo tài chính riêng cho năm kết thúc ngày 31 tháng 12 năm 2021 (tiếp theo)\( ^{-} \) > Mẫu B05/TCTD(Ban hành theo Thông tư số49/2014/TT-NHNN ngày 31 tháng 12 năm 2014của Ngân hàng Nhà nước Việt Nam) > Tiền tệ khác","numeric__Ngân hàng Thương mại Cổ phần Sài Gòn - Hà NộiSố 77 Trần Hưng Đạo, Quận Hoàn Kiểm, Hà Nội, Việt NamThuyết minh báo cáo tài chính riêng cho năm kết thúc ngày 31 tháng 12 năm 2021 (tiếp theo)\( ^{-} \) > Mẫu B05/TCTD(Ban hành theo Thông tư số49/2014/TT-NHNN ngày 31 tháng 12 năm 2014của Ngân hàng Nhà nước Việt Nam) > Tổng cộng"
Tài sản,Tài sản,Tài sản,,,,,,,,
Tiền mặt và vàng,Tài sản > Tiền mặt và vàng,Tiền mặt và vàng,464.163,31.448,15.733,511.344,464163.0,31448.0,15733.0,511344.0
Tiền gửi tại NHNN,Tài sản > Tiền gửi tại NHNN,Tiền gửi tại NHNN,5.070.152,568,-,5.070.720,5070152.0,568.0,,5070720.0
Tiền gửi và cho vay các TCTD khác - gộp,Tài sản > Tiền gửi và cho vay các TCTD khác - gộp,Tiền gửi và cho vay các TCTD khác - gộp,10.091.067,178.840,78.062,10.347.969,10091067.0,178840.0,78062.0,10347969.0
Các công cụ tài chính phải sinh và các tài sản tài chính khác,Tài sản > Các công cụ tài chính phải sinh và các tài sản tài chính khác,Các công cụ tài chính phải sinh và các tài sản tài chính khác,(3.586.655),1.420,(19.659),(3.604.894),-3586655.0,1420.0,-19659.0,-3604894.0
Cho vay khách hàng - gộp,Tài sản > Cho vay khách hàng - gộp,Cho vay khách hàng - gộp,2.857.869,1.890.270,-,4.748.139,2857869.0,1890270.0,,4748139.0
"Gớp vốn, đầu tư dài hạn - gộp","Tài sản > Gớp vốn, đầu tư dài hạn - gộp","Gớp vốn, đầu tư dài hạn - gộp",2.848.261,-,-,2.848.261,2848261.0,,,2848261.0
Tài sản Có khác - gộp,Tài sản > Tài sản Có khác - gộp,Tài sản Có khác - gộp,13.085.127,319,22,13.085.468,13085127.0,319.0,22.0,13085468.0
,,,30.829.984,2.102.865,74.158,33.007.007,30829984.0,2102865.0,74158.0,33007007.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,,,,,
Tiền gửi và vay các tổ chức tín dụng khác,Nợ phải trả > Tiền gửi và vay các tổ chức tín dụng khác,Tiền gửi và vay các tổ chức tín dụng khác,16.508.496,5,-,16.508.501,16508496.0,5.0,,16508501.0
Tiền gửi của khách hàng,Nợ phải trả > Tiền gửi của khách hàng,Tiền gửi của khách hàng,10.135.114,219.349,46.228,10.400.691,10135114.0,219349.0,46228.0,10400691.0
"Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro","Nợ phải trả > Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro","Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro",462.400,1.890.270,-,2.352.670,462400.0,1890270.0,,2352670.0
Các khoản nợ khác,Nợ phải trả > Các khoản nợ khác,Các khoản nợ khác,811.711,15.903,169,827.783,811711.0,15903.0,169.0,827783.0
,,,27.917.721,2.125.527,46.397,30.089.645,27917721.0,2125527.0,46397.0,30089645.0
Trạng thái tiền tệ nội bằng,Nợ phải trả > Trạng thái tiền tệ nội bằng,Trạng thái tiền tệ nội bằng,2.912.263,(22.662),27.761,2.917.362,2912263.0,-22662.0,27761.0,2917362.0
