row_label_raw,row_label_full,col_0,31/12/2021Triệu VND,%,31/12/2020Triệu VND,%_1,numeric__31/12/2021Triệu VND,numeric__%,numeric__31/12/2020Triệu VND,numeric__%_1
"Bán buôn, bán lẻ; sửa chữa ô tô, xe máy và xe có động cơ khác","Bán buôn, bán lẻ; sửa chữa ô tô, xe máy và xe có động cơ khác","Bán buôn, bán lẻ; sửa chữa ô tô, xe máy và xe có động cơ khác",93.630.260,"27,00",68.526.272,"23,41",93630260.0,27.0,68526272.0,23.41
"Nông lâm nghiệp, thủy sản","Nông lâm nghiệp, thủy sản","Nông lâm nghiệp, thủy sản",48.007.935,"13,84",47.503.963,"16,23",48007935.0,13.84,47503963.0,16.23
"Công nghiệp chế biến, chế tạo","Công nghiệp chế biến, chế tạo","Công nghiệp chế biến, chế tạo",45.562.521,"13,14",37.957.746,"12,97",45562521.0,13.14,37957746.0,12.97
Xây dựng,Xây dựng,Xây dựng,47.053.908,"13,57",41.469.088,"14,16",47053908.0,13.57,41469088.0,14.16
Hoạt động kinh doanh bất động sản,Hoạt động kinh doanh bất động sản,Hoạt động kinh doanh bất động sản,23.339.824,"6,73",16.865.935,"5,76",23339824.0,6.73,16865935.0,5.76
"Sản xuất và phân phối điện, khí đốt, nước nóng, hơi nước và điều hòa không khí","Sản xuất và phân phối điện, khí đốt, nước nóng, hơi nước và điều hòa không khí","Sản xuất và phân phối điện, khí đốt, nước nóng, hơi nước và điều hòa không khí",18.449.733,"5,32",22.602.530,"7,72",18449733.0,5.32,22602530.0,7.72
"Hoạt động làm thuê các công việc trong các hộ gia đình, sản xuất sản phẩm vật chất và dịch vụ tự tiêu dùng của hộ gia đình","Hoạt động làm thuê các công việc trong các hộ gia đình, sản xuất sản phẩm vật chất và dịch vụ tự tiêu dùng của hộ gia đình","Hoạt động làm thuê các công việc trong các hộ gia đình, sản xuất sản phẩm vật chất và dịch vụ tự tiêu dùng của hộ gia đình",5.160.103,"1,49",4.080.963,"1,39",5160103.0,1.49,4080963.0,1.39
Khai khoáng,Khai khoáng,Khai khoáng,1.680.040,"0,48",2.632.518,"0,90",1680040.0,0.48,2632518.0,0.9
"Vận tải, kho bãi","Vận tải, kho bãi","Vận tải, kho bãi",12.869.204,"3,71",6.254.843,"2,14",12869204.0,3.71,6254843.0,2.14
Dịch vụ lưu trú và ăn uống,Dịch vụ lưu trú và ăn uống,Dịch vụ lưu trú và ăn uống,1.714.552,"0,49",1.716.336,"0,59",1714552.0,0.49,1716336.0,0.59
"Hoạt động tài chính, bảo hiểm","Hoạt động tài chính, bảo hiểm","Hoạt động tài chính, bảo hiểm",2.362.987,"0,68",996.051,"0,34",2362987.0,0.68,996051.0,0.34
Hoạt động hành chính và dịch vụ hỗ trợ,Hoạt động hành chính và dịch vụ hỗ trợ,Hoạt động hành chính và dịch vụ hỗ trợ,626.389,"0,18",90.537,"0,03",626389.0,0.18,90537.0,0.03
Thông tin và truyền thông,Thông tin và truyền thông,Thông tin và truyền thông,344.957,"0,10",138.481,"0,05",344957.0,0.1,138481.0,0.05
"Cung cấp nước, quản lý và xử lý rác thải, nước thải","Cung cấp nước, quản lý và xử lý rác thải, nước thải","Cung cấp nước, quản lý và xử lý rác thải, nước thải",269.072,"0,08",1.181.738,"0,4",269072.0,0.08,1181738.0,0.4
"Hoạt động chuyên môn, khoa học và công nghệ","Hoạt động chuyên môn, khoa học và công nghệ","Hoạt động chuyên môn, khoa học và công nghệ",244.807,"0,07",197.529,"0,07",244807.0,0.07,197529.0,0.07
"Nghệ thuật, vui chơi, giải trí","Nghệ thuật, vui chơi, giải trí","Nghệ thuật, vui chơi, giải trí",81.359,"0,02",72.447,"0,02",81359.0,0.02,72447.0,0.02
Giáo dục và đào tạo,Giáo dục và đào tạo,Giáo dục và đào tạo,75.061,"0,02",47.654,"0,02",75061.0,0.02,47654.0,0.02
Y tế và hoạt động trợ giúp xã hội,Y tế và hoạt động trợ giúp xã hội,Y tế và hoạt động trợ giúp xã hội,46.113,"0,01",19.678,"0,01",46113.0,0.01,19678.0,0.01
"Hoạt động của Đảng, tổ chức chính trị xã hội, quản lý Nhà nước, an ninh quốc phòng, bảo đảm xã hội bắt buộc","Hoạt động của Đảng, tổ chức chính trị xã hội, quản lý Nhà nước, an ninh quốc phòng, bảo đảm xã hội bắt buộc","Hoạt động của Đảng, tổ chức chính trị xã hội, quản lý Nhà nước, an ninh quốc phòng, bảo đảm xã hội bắt buộc",23.204,"0,01",50.488,"0,02",23204.0,0.01,50488.0,0.02
Hoạt động dịch vụ khác,Hoạt động dịch vụ khác,Hoạt động dịch vụ khác,45.299.524,"13,06",40.363.558,"13,77",45299524.0,13.06,40363558.0,13.77
,,,346.841.553,"100,00",292.768.355,"100,00",346841553.0,100.0,292768355.0,100.0
