row_label_raw,row_label_full,Tại ngày 31 tháng 12 năm 2021 (Triệu VND),Chưa quá hạn và chưa phải TLDP,Đã quá hạn nhưng chưa phải TLDP > Quá hạn từ 10 đến 90 ngày,Đã quá hạn nhưng chưa phải TLDP > Quá hạn từ 91 đến 180 ngày,Đã quá hạn nhưng chưa phải TLDP > Quá hạn từ 181 đến 360 ngày,Đã quá hạn nhưng chưa phải TLDP > Quá hạn trên 360 ngày,Quá hạn và đã được TLDP,Tổng cộng,numeric__Chưa quá hạn và chưa phải TLDP,numeric__Đã quá hạn nhưng chưa phải TLDP > Quá hạn từ 10 đến 90 ngày,numeric__Đã quá hạn nhưng chưa phải TLDP > Quá hạn từ 91 đến 180 ngày,numeric__Đã quá hạn nhưng chưa phải TLDP > Quá hạn từ 181 đến 360 ngày,numeric__Đã quá hạn nhưng chưa phải TLDP > Quá hạn trên 360 ngày,numeric__Quá hạn và đã được TLDP,numeric__Tổng cộng
Tiền gửi tại NHNNVN,Tiền gửi tại NHNNVN,Tiền gửi tại NHNNVN,13.409.016,-,-,-,-,-,13.409.016,13409016.0,,,,,,13409016.0
Tiền gửi và cho vay các tổ chức tín dụng khác,Tiền gửi và cho vay các tổ chức tín dụng khác,Tiền gửi và cho vay các tổ chức tín dụng khác,71.382.069,-,-,-,-,-,71.382.069,71382069.0,,,,,,71382069.0
Các công cụ tài chính phải sinh và các tài sản tài chính khác,Các công cụ tài chính phải sinh và các tài sản tài chính khác,Các công cụ tài chính phải sinh và các tài sản tài chính khác,253.465,-,-,-,-,-,253.465,253465.0,,,,,,253465.0
Cho vay khách hàng - thuần,Cho vay khách hàng - thuần,Cho vay khách hàng - thuần,334.184.696,290.322,126.636,80.009,453.017,7.343.468,342.478.148,334184696.0,290322.0,126636.0,80009.0,453017.0,7343468.0,342478148.0
Chứng khoán đầu tư - thuần,Chứng khoán đầu tư - thuần,Chứng khoán đầu tư - thuần,23.746.786,-,-,-,-,-,23.746.786,23746786.0,,,,,,23746786.0
Tài sản tài chính khác - thuần,Tài sản tài chính khác - thuần,Tài sản tài chính khác - thuần,35.805.269,-,-,-,-,-,35.805.269,35805269.0,,,,,,35805269.0
,,,478.781.301,290.322,126.636,80.009,453.017,7.343.468,487.074.753,478781301.0,290322.0,126636.0,80009.0,453017.0,7343468.0,487074753.0
Tại ngày 31 tháng 12 năm 2020 (Triệu VND),Tại ngày 31 tháng 12 năm 2020 (Triệu VND),Tại ngày 31 tháng 12 năm 2020 (Triệu VND),Chưa quá hạn và chưa phải TLDP,Đã quá hạn nhưng chưa phải TLDP,Đã quá hạn nhưng chưa phải TLDP,Đã quá hạn nhưng chưa phải TLDP,Đã quá hạn nhưng chưa phải TLDP,Quá hạn và đã được TLDP,Tổng cộng,,,,,,,
Tại ngày 31 tháng 12 năm 2020 (Triệu VND),Tại ngày 31 tháng 12 năm 2020 (Triệu VND),Tại ngày 31 tháng 12 năm 2020 (Triệu VND),Chưa quá hạn và chưa phải TLDP,Quá hạn từ 10 đến 90 ngày,Quá hạn từ 91 đến 180 ngày,Quá hạn từ 181 đến 360 ngày,Quá hạn trên 360 ngày,Quá hạn và đã được TLDP,Tổng cộng,,,,,,,
Tiền gửi tại NHNNVN,Tại ngày 31 tháng 12 năm 2020 (Triệu VND) > Tiền gửi tại NHNNVN,Tiền gửi tại NHNNVN,13.997.150,-,-,-,-,-,13.997.150,13997150.0,,,,,,13997150.0
Tiền gửi và cho vay các tổ chức tín dụng khác,Tại ngày 31 tháng 12 năm 2020 (Triệu VND) > Tiền gửi và cho vay các tổ chức tín dụng khác,Tiền gửi và cho vay các tổ chức tín dụng khác,36.909.903,-,-,-,-,-,36.909.903,36909903.0,,,,,,36909903.0
Các công cụ tài chính phải sinh và các tài sản tài chính khác,Tại ngày 31 tháng 12 năm 2020 (Triệu VND) > Các công cụ tài chính phải sinh và các tài sản tài chính khác,Các công cụ tài chính phải sinh và các tài sản tài chính khác,134.441,-,-,-,-,-,134.441,134441.0,,,,,,134441.0
Cho vay khách hàng - thuần,Tại ngày 31 tháng 12 năm 2020 (Triệu VND) > Cho vay khách hàng - thuần,Cho vay khách hàng - thuần,279.213.467,3.083.233,60.266,179.591,436.894,6.461.955,289.435.406,279213467.0,3083233.0,60266.0,179591.0,436894.0,6461955.0,289435406.0
Chứng khoán đầu tư - thuần,Tại ngày 31 tháng 12 năm 2020 (Triệu VND) > Chứng khoán đầu tư - thuần,Chứng khoán đầu tư - thuần,27.982.071,-,-,-,-,629.066,28.611.137,27982071.0,,,,,629066.0,28611137.0
Tài sản tài chính khác - thuần,Tại ngày 31 tháng 12 năm 2020 (Triệu VND) > Tài sản tài chính khác - thuần,Tài sản tài chính khác - thuần,27.965.746,-,-,-,-,-,27.965.746,27965746.0,,,,,,27965746.0
,,,386.202.778,3.083.233,60.266,179.591,436.894,7.091.021,397.053.783,386202778.0,3083233.0,60266.0,179591.0,436894.0,7091021.0,397053783.0
