row_label_raw,row_label_full,col_0,Dự phòngrủi ro các tài sảnCó khácTriệu VND,numeric__Dự phòngrủi ro các tài sảnCó khácTriệu VND
Số dư đầu năm,Số dư đầu năm,Số dư đầu năm,336.378,336378.0
Dự phòng trích lập trong năm,Dự phòng trích lập trong năm,Dự phòng trích lập trong năm,478,478.0
Sử dụng dự phòng trong năm,Sử dụng dự phòng trong năm,Sử dụng dự phòng trong năm,(88.519),-88519.0
Số dư cuối năm,Số dư cuối năm,Số dư cuối năm,248.337,248337.0
