row_label_raw,row_label_full,col_0,col_1,Thuyết minh,31/12/2021 Triệu VND,31/12/2020 Triệu VND,numeric__col_1,numeric__Thuyết minh,numeric__31/12/2021 Triệu VND,numeric__31/12/2020 Triệu VND
B,B,B,NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU NỘ PHẢI TRẢ,,,,,,,
I,B > I,I,Các khoản nợ Chính phủ và Ngân hàng Nhà nước Việt Nam,18,1.510.983,609.712,,18.0,1510983.0,609712.0
II,B > II,II,Tiền gửi và vay các tổ chức tín dụng khác,19,77.608.143,38.873.349,,19.0,77608143.0,38873349.0
1,B > 1,1,Tiền gửi của các tổ chức tín dụng khác,,72.461.138,21.864.328,,,72461138.0,21864328.0
2,B > 2,2,Vay các tổ chức tín dụng khác,,5.147.005,17.009.021,,,5147005.0,17009021.0
III,B > III,III,Tiền gửi của khách hàng,20,324.287.797,301.327.326,,20.0,324287797.0,301327326.0
V,B > V,V,"Vốn tài trợ, ủy thác đầu tư, cho vay tổ chức tín dụng chịu rủi ro",21,4.952.170,3.512.967,,21.0,4952170.0,3512967.0
VI,B > VI,VI,Phát hành giấy tờ có giá,22,44.681.914,29.096.059,,22.0,44681914.0,29096059.0
VII,B > VII,VII,Các khoản nợ khác,23,10.938.004,10.534.431,,23.0,10938004.0,10534431.0
1,B > 1,1,"Các khoản lãi, phí phải trả",,7.534.305,8.490.677,,,7534305.0,8490677.0
3,B > 3,3,Các khoản phải trả và công nợ khác,,3.403.699,2.043.754,,,3403699.0,2043754.0
,,,TỔNG NỘ PHẢI TRẢ,,463.979.011,383.953.844,,,463979011.0,383953844.0
,,,VỐN CHỦ SỞ HỮU,,,,,,,
VIII,B > VIII,VIII,Vốn và các quỹ,24,35.042.705,23.494.959,,24.0,35042705.0,23494959.0
1,B > 1,1,Vốn,,28.118.041,17.606.547,,,28118041.0,17606547.0
a,B > a,a,Vốn điều lệ,,26.673.698,17.510.091,,,26673698.0,17510091.0
c,B > c,c,Thặng dư vốn cổ phần,,1.449.603,101.716,,,1449603.0,101716.0
d,B > d,d,Cổ phiếu quỹ,,(5.260),(5.260),,,-5260.0,-5260.0
2,B > 2,2,Các quỹ của tổ chức tín dụng,,2.837.181,2.127.570,,,2837181.0,2127570.0
5,B > 5,5,Lợi nhuận chưa phân phối,,4.087.483,3.760.842,,,4087483.0,3760842.0
,,,TỔNG VỐN CHỦ SỞ HỮU,,35.042.705,23.494.959,,,35042705.0,23494959.0
,,,TỔNG NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,,499.021.716,407.448.803,,,499021716.0,407448803.0
