row_label_raw,row_label_full,"Chứng khoán chưa được niêm yết trên Sở giao dịch chứng khoán, giấy tờ có giá (trừ các chứng khoán và giấy tờ có giá được quy định tại Điểm c, Khoản 6, Điều 12, Thông tư 11), do tổ chức tín dụng không có đăng ký niêm yết chứng khoán trên Sở giao dịch chứng khoán phát hành",30%,numeric__30%
"Chứng khoán chưa được niêm yết trên Sở giao dịch chứng khoán, giấy tờ có giá do doanh nghiệp có đăng ký niêm yết chứng khoán trên Sở giao dịch chứng khoán phát hành","Chứng khoán chưa được niêm yết trên Sở giao dịch chứng khoán, giấy tờ có giá do doanh nghiệp có đăng ký niêm yết chứng khoán trên Sở giao dịch chứng khoán phát hành","Chứng khoán chưa được niêm yết trên Sở giao dịch chứng khoán, giấy tờ có giá do doanh nghiệp có đăng ký niêm yết chứng khoán trên Sở giao dịch chứng khoán phát hành",30%,0.3
"Chứng khoán chưa được niêm yết trên Sở giao dịch chứng khoán, giấy tờ có giá do doanh nghiệp không có đăng ký niêm yết chứng khoán trên Sở giao dịch chứng khoán phát hành","Chứng khoán chưa được niêm yết trên Sở giao dịch chứng khoán, giấy tờ có giá do doanh nghiệp không có đăng ký niêm yết chứng khoán trên Sở giao dịch chứng khoán phát hành","Chứng khoán chưa được niêm yết trên Sở giao dịch chứng khoán, giấy tờ có giá do doanh nghiệp không có đăng ký niêm yết chứng khoán trên Sở giao dịch chứng khoán phát hành",10%,0.1
Bất động sản,Bất động sản,Bất động sản,50%,0.5
"Vàng miếng không có giá niêm yết, vàng khác và các loại tài sản bảo đảm khác","Vàng miếng không có giá niêm yết, vàng khác và các loại tài sản bảo đảm khác","Vàng miếng không có giá niêm yết, vàng khác và các loại tài sản bảo đảm khác",30%,0.3
