row_label_raw,row_label_full,Tại ngày 31 tháng 12 năm2021 (Triệu VND),Quá hạn,Khônghuống lãi,Dưới1 tháng,Từ 1 đến3 tháng,Từ 3 đến6 tháng,Từ 6 đến12 tháng,Từ 1 đến5 năm,Trên 5 năm,Tổng cộng,numeric__Quá hạn,numeric__Khônghuống lãi,numeric__Dưới1 tháng,numeric__Từ 1 đến3 tháng,numeric__Từ 3 đến6 tháng,numeric__Từ 6 đến12 tháng,numeric__Từ 1 đến5 năm,numeric__Trên 5 năm,numeric__Tổng cộng
Tài sản,Tài sản,Tài sản,,,,,,,,,,,,,,,,,,
Tiền mặt và vàng,Tài sản > Tiền mặt và vàng,Tiền mặt và vàng,-,1.814.838,-,-,-,-,-,-,1.814.838,,1814838.0,,,,,,,1814838.0
Tiền gửi tại NHNNVN,Tài sản > Tiền gửi tại NHNNVN,Tiền gửi tại NHNNVN,-,-,13.409.016,-,-,-,-,-,13.409.016,,,13409016.0,,,,,,13409016.0
Tiền gửi và cho vaycác TCTD khác - gộp,Tài sản > Tiền gửi và cho vaycác TCTD khác - gộp,Tiền gửi và cho vaycác TCTD khác - gộp,-,-,64.042.530,6.979.379,300.160,-,99.794,-,71.421.863,,,64042530.0,6979379.0,300160.0,,99794.0,,71421863.0
Các công cụ tài chính pháisinh và các tài sản tài chínhkhác,Tài sản > Các công cụ tài chính pháisinh và các tài sản tài chínhkhác,Các công cụ tài chính pháisinh và các tài sản tài chínhkhác,-,253.465,-,-,-,-,-,-,253.465,,253465.0,,,,,,,253465.0
Cho vay khách hàng - gộp,Tài sản > Cho vay khách hàng - gộp,Cho vay khách hàng - gộp,7.331.782,-,103.306.855,198.731.071,14.344.096,13.552.908,4.423.504,5.151.337,346.841.553,7331782.0,,103306855.0,198731071.0,14344096.0,13552908.0,4423504.0,5151337.0,346841553.0
Chứng khoán đầu tư - gộp,Tài sản > Chứng khoán đầu tư - gộp,Chứng khoán đầu tư - gộp,-,29.454,-,1.310.531,4.572.473,788.000,2.217.214,14.904.033,23.821.705,,29454.0,,1310531.0,4572473.0,788000.0,2217214.0,14904033.0,23821705.0
"Góp vốn, đầu tư dài hạn - gộp","Tài sản > Góp vốn, đầu tư dài hạn - gộp","Góp vốn, đầu tư dài hạn - gộp",-,4.124.323,-,-,-,-,-,-,4.124.323,,4124323.0,,,,,,,4124323.0
Tài sản cố định,Tài sản > Tài sản cố định,Tài sản cố định,-,4.917.444,-,-,-,-,-,-,4.917.444,,4917444.0,,,,,,,4917444.0
Tài sản Có khác - gộp,Tài sản > Tài sản Có khác - gộp,Tài sản Có khác - gộp,187.500,18.960.845,2.463.270,3.990.018,7.351.287,4.194.730,-,-,37.147.650,187500.0,18960845.0,2463270.0,3990018.0,7351287.0,4194730.0,,,37147650.0
,,,7.519.282,30.100.369,183.221.671,211.010.999,26.568.016,18.535.638,6.740.512,20.055.370,503.751.857,7519282.0,30100369.0,183221671.0,211010999.0,26568016.0,18535638.0,6740512.0,20055370.0,503751857.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,,,,,,,,,,,,,,,
Các khoản nợ Chính phủ vàNHNNVN,Nợ phải trả > Các khoản nợ Chính phủ vàNHNNVN,Các khoản nợ Chính phủ vàNHNNVN,-,-,-,10.078,255.809,1.245.096,-,-,1.510.983,,,,10078.0,255809.0,1245096.0,,,1510983.0
